l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
63971,9377,46346,400000,3,,,,,,47926.3240384982,,,,,"","SRID=4326;LINESTRING(20.0623376578879 41.0899021797799,19.6979105868858 41.3575552930244)"
70193,16094,50073,,,,,,,,29202.3383352016,,,,,"","SRID=4326;LINESTRING(19.8200807740262 42.1014725470911,20.0398083185555 42.2489367707612)"
3857,27825,22013,220000,3,,,,,,5695.54166963509,,,,,"","SRID=4326;LINESTRING(19.6993039976473 41.3651603991758,19.7623814431119 41.3479322054811)"
71362,50072,50627,220000,3,,,,,,27558.1734466342,,,,,"","SRID=4326;LINESTRING(19.6375126318399 42.012323053832,19.4562934133366 42.2123432095166)"
70192,18735,50072,220000,6,,,,,,76645.7890796949,,,,,"","SRID=4326;LINESTRING(19.8150987753028 41.3474802567889,19.6375126318399 42.012323053832)"
74526,52501,18736,220000,3,,,,,,79317.3725194086,,,,,"","SRID=4326;LINESTRING(19.551573512328 40.6995334585094,19.5015930319934 41.3318437816438)"
74525,44962,18735,220000,6,,,,,,38375.0425121787,,,,,"","SRID=4326;LINESTRING(20.0261438325173 41.1024204500027,19.8150987753028 41.3474802567889)"
3856,39117,22013,,,,,,,,1555.7364118112,,,,,"","SRID=4326;LINESTRING(19.7450233808123 41.3549399546666,19.7623814431119 41.3479322054811)"
70191,16094,50072,220000,3,,,,,,20712.6100113371,,,,,"","SRID=4326;LINESTRING(19.8200807740262 42.1014725470911,19.6375126318399 42.012323053832)"
61947,9377,44962,220000,3,,,,,,3607.38355457199,,,,,"","SRID=4326;LINESTRING(20.0623376578879 41.0899021797799,20.0261438325173 41.1024204500027)"
61946,9377,44962,220000,3,,,,,,3450.33359514522,,,,,"","SRID=4326;LINESTRING(20.0623376578879 41.0899021797799,20.0261438325173 41.1024204500027)"
52986,46346,27825,220000,6,,,,,,650.362099894489,,,,,"","SRID=4326;LINESTRING(19.6979105868858 41.3575552930244,19.6993039976473 41.3651603991758)"
70109,44962,16053,220000,3,,,,,,60986.3669814867,,,,,"","SRID=4326;LINESTRING(20.0261438325173 41.1024204500027,19.9725276215843 41.5852835471651)"
68253,9377,15080,400000,3,,,,,,100816.264861809,,,,,"","SRID=4326;LINESTRING(20.0623376578879 41.0899021797799,20.884147830159 40.7013087863858)"
63970,5022,46346,220000,6,,,,,,9713.56548193264,,,,,"","SRID=4326;LINESTRING(19.7610235683433 41.3033521187831,19.6979105868858 41.3575552930244)"
3858,18735,22013,220000,3,,,,,,4849.49208350887,,,,,"","SRID=4326;LINESTRING(19.8150987753028 41.3474802567889,19.7623814431119 41.3479322054811)"
74524,44962,52501,220000,3,,,,,,68040.7330653478,,,,,"","SRID=4326;LINESTRING(20.0261438325173 41.1024204500027,19.551573512328 40.6995334585094)"
78862,9377,5022,220000,6,,,,,,38136.7755037594,,,,,"","SRID=4326;LINESTRING(20.0623376578879 41.0899021797799,19.7610235683433 41.3033521187831)"
52985,18736,27825,220000,3,,,,,,19163.2913205188,,,,,"","SRID=4326;LINESTRING(19.5015930319934 41.3318437816438,19.6993039976473 41.3651603991758)"
