l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
1958,34127,62641,,,,,,,,3612.01353284716,,,,,"","SRID=4326;LINESTRING(13.1056542713556 47.7609674873173,13.1333506128083 47.7566819838044)"
79416,20212,39472,220000,6,1,,Tauern - Weißenbach,Austrian Power Grid AG,221;222,68271.6566621199,,,,,"","SRID=4326;LINESTRING(14.2077767395965 47.5745696342458,13.4246375129952 47.3739204359248)"
15426,62164,28229,220000,6,1,,,,235;238,73.3744381578058,,,,,"","SRID=4326;LINESTRING(13.4447647876811 48.4344366625363,13.4446206979096 48.4351015086884)"
58911,2598,9027,220000,6,2;1,,Silz - Thaur,TIWAG,273C;274C,8322.30093382731,,,,,"","SRID=4326;LINESTRING(11.4713646981203 47.2728413155732,11.3924360409839 47.2363390016823)"
70515,9766,2850,110000,6,1,,Bösdornau - Zell,Austrian Power Grid AG,161/1;161/2,9194.03756096669,,,,,"","SRID=4326;LINESTRING(11.8975829407087 47.2337133094852,11.8507831799385 47.1624922817622)"
9081,36664,20602,380000,12;3;3;3;3,2,,Dürnrohr - Bisamberg;Bisamberg - Sarasdorf;Bisamberg - Wien-Südost,Austrian Power Grid AG,435A;436A;443A;444A,50653.4099070348,,,,,"","SRID=4326;LINESTRING(16.3783148540565 48.3577221916502,15.8831179904958 48.3291702890694)"
8912,4603,55240,380000;220000;220000;380000;220000;380000;220000,12;9;3;9;3;3,2;3;2;2;2,,,Austrian Power Grid AG,457;289;290,2703.76262220311,,,,,"","SRID=4326;LINESTRING(12.7397306068716 47.2776054706245,12.7417429762565 47.2593962492561)"
67392,2770,48546,380000,12,2,,,Austrian Power Grid AG,431;491;492;494,418.846834725954,,,,,"","SRID=4326;LINESTRING(14.4737614443022 48.1249388385863,14.4694319502259 48.1164324490658)"
56961,39789,41843,220000,6,2,,Kops - Bürs,Vorarlberger Illwerke AG,,17579.9981514048,,,,,"","SRID=4326;LINESTRING(10.0298182872673 46.9831039315263,9.8810582808706 47.0844446974371)"
79867,5653,39717,110000,3;6,1,,Hermagor - Würmlach;Tröpolach - Oberdrauburg,KELAG,113/7,16719.5351916489,,,,,"","SRID=4326;LINESTRING(13.0708880229198 46.6490946595299,13.278955102891 46.6177395963054)"
55040,5607,62083,220000,6,2,,,Austrian Power Grid AG,267B;268,46003.882186802,,,,,"","SRID=4326;LINESTRING(14.6815950076545 46.6683523744942,14.1721582515119 46.5484640695875)"
72984,33949,37116,220000;110000;220000;110000;0;110000,12;3,2;1;1,,Werben - Walgauwerk violett;Bürs - Meiningen grün;Brederis - Bürs VKW blau;Frastanz - Meiningen gelb;Werben - Walgauwerk violett;Bürs - Meiningen grün;Brederis - Bürs VKW blau;Meiningen - Frastanz gelb,,,7757.69026346155,,,,,"","SRID=4326;LINESTRING(9.612982527806 47.2788766975789,9.64266953803423 47.2220561951493)"
3653,9766,55895,380000,6,2,,Tauern - Zell am Ziller,Austrian Power Grid AG,417;418,19964.7538290649,,,,,"","SRID=4326;LINESTRING(11.8975829407087 47.2337133094852,12.1332231089594 47.2508319271332)"
40537,2773,66243,220000,6,2,,,Austrian Power Grid AG,227;228A,1629.073987983,,,,,"","SRID=4326;LINESTRING(16.4200684722551 48.1239040598091,16.4267170732557 48.1399688888686)"
56536,36851,7512,380000,,,,,,,4358.09875439729,,,,,"","SRID=4326;LINESTRING(16.3112355223476 48.2051448492885,16.3307601036586 48.1651943086094)"
56910,2773,7756,110000,6,1,,Ebenfurth - Wien Südost;Ebreichsdorf - Wien Südost,Austrian Power Grid AG,124/1;124/2B,17589.9576549678,,,,,"","SRID=4326;LINESTRING(16.4200684722551 48.1239040598091,16.3747569145135 47.9724093325132)"
69923,54275,36851,380000,,,,,,,9415.23037264885,,,,,"","SRID=4326;LINESTRING(16.434654845336 48.1825263395477,16.3112355223476 48.2051448492885)"
59994,8710,9766,,,,,,,,5676.67117222497,,,,,"","SRID=4326;LINESTRING(11.8704152935816 47.1935288729857,11.8975829407087 47.2337133094852)"
9075,2939,20602,380000,6;3;3;3;3,2,,Ernsthofen - Dürnrohr;Etzersdorf - Dürnrohr,Austrian Power Grid AG,433;434B,13634.7293033376,,,,,"","SRID=4326;LINESTRING(15.7373595361959 48.2687459493671,15.8831179904958 48.3291702890694)"
60515,39711,10077,220000,6,2,,Malta Hauptstufe - Lienz,Austrian Power Grid AG,269;270,48325.0328790655,,,,,"","SRID=4326;LINESTRING(13.3277697130247 46.8709567718437,12.8057594137622 46.8250590173521)"
54939,44352,28109,380000,6,3,,,Austrian Power Grid AG,475M;476M,319.826544403015,,,,,"","SRID=4326;LINESTRING(15.4899970326394 46.9100668399168,15.4874351985823 46.9154378900532)"
47817,61068,33101,220000,6,2,,Bürs - Walgauwerk orange;Walgauwerk - Meiningen,,406A;406B,1071.81074842924,,,,,"","SRID=4326;LINESTRING(9.6716285919721 47.199715500835,9.68455948116089 47.2036542856565)"
16780,41616,63750,220000,9,1,,,Austrian Power Grid AG,215A;215B;215C,3754.06744728655,,,,,"","SRID=4326;LINESTRING(15.8551225329165 48.3731809850628,15.8829704250393 48.3465521134791)"
