v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
40431,14.6951771497719,48.1642069673468,substation,110000,50,Umspannwerk Wallsee,Austrian Power Grid AG,,SRID=4326;POINT(14.6951771497719 48.1642069673468)
9766,11.8975829407087,47.2337133094852,substation,380000;220000;110000,50,Umspannwerk Zell am Ziller,Austrian Power Grid AG,,SRID=4326;POINT(11.8975829407087 47.2337133094852)
28726,13.1549635439835,47.8321560718088,joint,220000;3000;220000,,Tauern - Salzburg,Austrian Power Grid AG,231A;232A,SRID=4326;POINT(13.1549635439835 47.8321560718088)
64163,11.8702958537055,47.1908470837432,joint,,,,,,SRID=4326;POINT(11.8702958537055 47.1908470837432)
55232,13.0818484268162,48.25645104092,merge,110000,50,Umspannwerk Jahrsdorf;Umspannwerk St. Peter,Energie AG,,SRID=4326;POINT(13.0818484268162 48.25645104092)
32778,12.9037482992762,47.2904551815401,joint,,,,,,SRID=4326;POINT(12.9037482992762 47.2904551815401)
48546,14.4694319502259,48.1164324490658,substation,380000,,Schaltwerk Kronstorf,Austrian Power Grid AG,,SRID=4326;POINT(14.4694319502259 48.1164324490658)
22048,14.2454474045183,47.8856986043898,joint,220000,,Pyhrn - Ernsthofen;Weißenbach - Ernsthofen,Austrian Power Grid AG,201B;202,SRID=4326;POINT(14.2454474045183 47.8856986043898)
39463,15.0655973601818,48.1894848628921,substation,220000,50,,Verbund,,SRID=4326;POINT(15.0655973601818 48.1894848628921)
56641,9.87351992151237,47.0876341781742,joint,220000,,Kops - Bürs;Rodund II - Bürs;Kops - Bürs; Rodund II - Bürs,Vorarlberger Illwerke AG,255,SRID=4326;POINT(9.87351992151237 47.0876341781742)
61068,9.6716285919721,47.199715500835,joint,220000,,Bürs - Dellmensingen Ost;Bürs - Walgauwerk orange;Walgauwerk - Meiningen,,403;404,SRID=4326;POINT(9.6716285919721 47.199715500835)
56337,14.3279813681682,47.6779582960999,joint,220000,,Pyhrn - Ernsthofen;Weißenbach - Ernsthofen;Weißenbach - Pyhrn;Weißenbach - Ernsthofen,Austrian Power Grid AG,201B;202,SRID=4326;POINT(14.3279813681682 47.6779582960999)
28943,12.6609834329279,47.272362558682,joint,380000,,Tauern - Lienz,Austrian Power Grid AG,451;452,SRID=4326;POINT(12.6609834329279 47.272362558682)
44605,16.9949411708862,47.9380217029138,substation,380000;110000,,Umspannwerk Zurndorf,Austrian Power Grid AG;Energie Burgenland AG,,SRID=4326;POINT(16.9949411708862 47.9380217029138)
5668,12.5915302434418,46.9235717587792,substation,110000,50,UW Kienburg,,,SRID=4326;POINT(12.5915302434418 46.9235717587792)
5211,9.59185774628973,47.3124872532619,substation,380000;220000,,Umspannwerk Meiningen,Vorarlberger Energienetze GmbH,,SRID=4326;POINT(9.59185774628973 47.3124872532619)
22217,14.8084447588904,46.7772414959293,joint,220000,,Zeltweg - Obersielach;Hessenberg - St. Andrä;St. Andrä - Obersielach;Zeltweg - Obersielach;St. Andrä - Obersielach;Hessenberg - St. Andrä,Austrian Power Grid AG,285;286,SRID=4326;POINT(14.8084447588904 46.7772414959293)
39789,10.0298182872673,46.9831039315263,plant,,,Biomasse Heizwerk,,,SRID=4326;POINT(10.0298182872673 46.9831039315263)
40247,14.0196050529158,48.3852084263282,substation,220000,50,,,,SRID=4326;POINT(14.0196050529158 48.3852084263282)
56478,15.4833175009829,46.9142562932033,joint,380000;110000;380000;110000,,Kainachtal - Oststeiermark;Kainachtal - Südburgenland;Werndorf - Zwaring;Kainachtal - Oststeiermark;Kainachtal - Südburgenland,Austrian Power Grid AG,475;476;133/7,SRID=4326;POINT(15.4833175009829 46.9142562932033)
34216,14.0294617669448,48.0972296855509,sub_station,,,,,,SRID=4326;POINT(14.0294617669448 48.0972296855509)
37116,9.64266953803423,47.2220561951493,substation,110000,,Umspannwerk Frastanz,,,SRID=4326;POINT(9.64266953803423 47.2220561951493)
5607,14.6815950076545,46.6683523744942,substation,380000;220000;110000,50,Umspannwerk Obersielach,Verbund Austrian Power Grid AG,,SRID=4326;POINT(14.6815950076545 46.6683523744942)
51387,12.8912129105194,47.290046245352,substation,,,,Salzburg AG,,SRID=4326;POINT(12.8912129105194 47.290046245352)
6713,10.6654203652161,47.0694219514563,substation,220000;110000,,Kraftwerk Prutz,,,SRID=4326;POINT(10.6654203652161 47.0694219514563)
23100,14.2491470154645,47.890777682745,joint,,,,,,SRID=4326;POINT(14.2491470154645 47.890777682745)
27935,14.0249895043029,46.5608098678824,joint,220000,,,Austrian Power Grid AG,266C;267B,SRID=4326;POINT(14.0249895043029 46.5608098678824)
22047,13.4861151682574,48.2217442426362,joint,220000,,,Austrian Power Grid AG,203A;204A,SRID=4326;POINT(13.4861151682574 48.2217442426362)
62640,13.1276842590945,47.7244762578356,joint,220000,,Tauern - Salzburg,Austrian Power Grid AG,231A;232A,SRID=4326;POINT(13.1276842590945 47.7244762578356)
20602,15.8831179904958,48.3291702890694,merge,380000;380000;220000;110000,,Umspannwerk Dürnrohr;Ehemaliges Oberwellenfilter der GK Dürnrohr;Ehemaliges Oberwellenfilter der GK Dürnrohr;Ehemaliges Oberwellenfilter der GK Dürnrohr;Ehemaliges Oberwellenfilter der GK Dürnrohr;Ehemaliges Oberwellenfilter der GK Dürnrohr;Ehemaliges Oberwellenfilter der GK Dürnrohr;Umspannwerk Dürnrohr,Verbund,,SRID=4326;POINT(15.8831179904958 48.3291702890694)
34127,13.1056542713556,47.7609674873173,joint,,,,,,SRID=4326;POINT(13.1056542713556 47.7609674873173)
42593,13.1528209045309,47.8033365799573,substation,,,,Salzburg AG,,SRID=4326;POINT(13.1528209045309 47.8033365799573)
51485,12.583374819682,47.278516899059,substation,,,Umspannwerk Schwarzenbach,Austrian Power Grid AG;Österreichische Bundesbahnen,,SRID=4326;POINT(12.583374819682 47.278516899059)
31848,16.4166169551902,48.3535653156004,joint,110000;220000;110000;220000,,,EVN,227;228B,SRID=4326;POINT(16.4166169551902 48.3535653156004)
39690,16.0646665007157,47.7071950373398,substation,220000;110000,50,Umspannwerk Ternitz,Verbund Austrian Power Grid AG,,SRID=4326;POINT(16.0646665007157 47.7071950373398)
41843,9.8810582808706,47.0844446974371,substation,,,Umspannwerk Rodund I,Vorarlberger Illwerke AG,,SRID=4326;POINT(9.8810582808706 47.0844446974371)
35688,12.5648778127946,46.9481876809479,sub_station,,,,,,SRID=4326;POINT(12.5648778127946 46.9481876809479)
39645,16.8380326685428,47.9604756221563,substation,220000;110000,,Umspannwerk Neusiedl,BEWAG;Verbund Austrian Power Grid AG,,SRID=4326;POINT(16.8380326685428 47.9604756221563)
56146,11.8624643491201,47.1717509451625,joint,220000,,Mayrhofen - Zell,Austrian Power Grid AG,219;220,SRID=4326;POINT(11.8624643491201 47.1717509451625)
44352,15.4899970326394,46.9100668399168,substation,,,Mellach,,,SRID=4326;POINT(15.4899970326394 46.9100668399168)
56601,15.9900061284466,47.2570240872088,joint,110000;380000;110000;380000,,Wünschendorf - Hartberg;Oststeiermark - Südburgenland,Austrian Power Grid AG,136/7,SRID=4326;POINT(15.9900061284466 47.2570240872088)
9027,11.3924360409839,47.2363390016823,substation,110000,50,Umspannwerk Vill,TIWAG,,SRID=4326;POINT(11.3924360409839 47.2363390016823)
56158,16.448366724554,48.3586399264451,joint,,,,,,SRID=4326;POINT(16.448366724554 48.3586399264451)
36664,16.3783148540565,48.3577221916502,substation,380000;220000;110000,,Umspannwerk Bisamberg,Austrian Power Grid AG,,SRID=4326;POINT(16.3783148540565 48.3577221916502)
27592,12.7325499775431,47.2725089597132,joint,380000,,Tauern - Zell am Ziller;Tauern - Lienz,Austrian Power Grid AG,417B;418,SRID=4326;POINT(12.7325499775431 47.2725089597132)
3103,16.240790378366,48.3567020311625,substation,220000,50,Umspannwerk Greifenstein,,,SRID=4326;POINT(16.240790378366 48.3567020311625)
39696,16.3830616326814,47.7225119837493,substation,110000,50,UW Mattersburg,BEWAG,,SRID=4326;POINT(16.3830616326814 47.7225119837493)
56479,15.7912282698496,47.1372122913293,joint,110000;380000;110000,,Oststeiermark - Südburgenland,Austrian Power Grid AG,136/7C,SRID=4326;POINT(15.7912282698496 47.1372122913293)
39711,13.3277697130247,46.8709567718437,substation,220000;110000,50,KW Malta-Hauptstufe,,,SRID=4326;POINT(13.3277697130247 46.8709567718437)
36851,16.3112355223476,48.2051448492885,substation,110000,50,Umspannwerk Kendlerstraße,,,SRID=4326;POINT(16.3112355223476 48.2051448492885)
4603,12.7397306068716,47.2776054706245,substation,380000;220000,,Tauern,Austrian Power Grid AG,,SRID=4326;POINT(12.7397306068716 47.2776054706245)
32232,13.4738897861598,48.2284721710492,joint,,,,,,SRID=4326;POINT(13.4738897861598 48.2284721710492)
4962,13.7106901435785,48.5193051781923,substation,220000,,Jochenstein,,,SRID=4326;POINT(13.7106901435785 48.5193051781923)
2710,16.3899197391595,48.2575889853378,substation,380000;110000,,Umspannwerk Wien Nord,,,SRID=4326;POINT(16.3899197391595 48.2575889853378)
56698,13.1043705788146,48.2268316865563,joint,220000;220000;110000;110000,,,Austrian Power Grid AG,455;456,SRID=4326;POINT(13.1043705788146 48.2268316865563)
28069,14.1645678466872,47.8210898841574,joint,220000,,Pyhrn - Ernsthofen;Weißenbach - Ernsthofen,Austrian Power Grid AG,201B;202,SRID=4326;POINT(14.1645678466872 47.8210898841574)
22365,14.7835997835829,47.1445313594083,joint,220000,,Zeltweg - Obersielach;Hessenberg - St. Andrä;Hessenberg - St Andrä;Hessenberg - Zeltweg;Zeltweg - Obersielach;Hessenberg - Zeltweg,Austrian Power Grid AG,285;286,SRID=4326;POINT(14.7835997835829 47.1445313594083)
11310,13.6798316843275,46.5431945744021,substation,220000,,Umspannwerk Greuth,,,SRID=4326;POINT(13.6798316843275 46.5431945744021)
63547,16.410302158069,47.5484447769865,joint,110000;380000;380000;110000,,,Energie Burgenland AG,127/0,SRID=4326;POINT(16.410302158069 47.5484447769865)
62164,13.4447647876811,48.4344366625363,joint,220000,,,Austrian Power Grid AG,235;238,SRID=4326;POINT(13.4447647876811 48.4344366625363)
55240,12.7417429762565,47.2593962492561,merge,380000;220000;110000,50,Kraftwerk Kaprun Hauptstufe;Umspannwerk Kaprun,VERBUND Hydro Power AG,,SRID=4326;POINT(12.7417429762565 47.2593962492561)
32681,11.1027178726071,47.2939608590108,joint,220000,,Silz - Thaur;Oberbrunn - Silz,TIWAG,273C;274C,SRID=4326;POINT(11.1027178726071 47.2939608590108)
20603,10.0548313335359,46.9690087431588,merge,,,,,,SRID=4326;POINT(10.0548313335359 46.9690087431588)
28947,12.5280496385766,47.0236741400388,joint,380000,,Tauern - Lienz,Austrian Power Grid AG,451;452,SRID=4326;POINT(12.5280496385766 47.0236741400388)
