l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
77769,29208,53686,,,,,,,,6028.01055318563,,,,,"","SRID=4326;LINESTRING(29.0694992921714 53.1736667170418,29.1016147076461 53.2154159721769)"
71284,50574,50575,,,,,,,,6978.1631389865,,,,,"","SRID=4326;LINESTRING(25.1333584749522 53.808101200092,25.1615305182646 53.8547973896447)"
44573,32221,32723,330000;110000;330000,3,,,,,Слуцк - ТЭЦ-4,6608.13442157267,,,,,"","SRID=4326;LINESTRING(27.4007548746738 53.8673308158728,27.4241326316278 53.8264730802773)"
71645,48852,16865,,,,,,,,2573.85608867699,,,,,"","SRID=4326;LINESTRING(26.387180049725 54.5525407182068,26.3627128059106 54.5437943092275)"
1593,28666,62585,,,,,,,,3193.58697997731,,,,,"","SRID=4326;LINESTRING(23.7828460098469 53.6660975547795,23.7537935795268 53.686110392129)"
43347,48852,32595,,,,,,,,60.7030986129532,,,,,"","SRID=4326;LINESTRING(26.387180049725 54.5525407182068,26.3831425123395 54.5514306909996)"
1596,14069,62586,,,,,,,,3327.37884523488,,,,,"","SRID=4326;LINESTRING(23.9324543047562 53.7646783919037,23.9251086045063 53.736874404236)"
24493,65513,30283,,,,,,,,2185.629541508,,,,,"","SRID=4326;LINESTRING(28.6358751489422 55.5097515800635,28.6178939312261 55.526530804765)"
3330,26574,28893,,,,,,,,5946.7080634262,,,,,"","SRID=4326;LINESTRING(31.6739959451292 53.7154984772733,31.6048248161413 53.6897351694659)"
1489,5297,28649,,,,,,,,2381.73857883741,,,,,"","SRID=4326;LINESTRING(23.7357277722412 53.744166293802,23.7418504597291 53.7642231754985)"
4862,48939,22085,330000,3,,,,,,7467.27379932316,,,,,"","SRID=4326;LINESTRING(26.7498306745481 54.3022427097324,26.7554289036757 54.2665908402822)"
1595,5994,62586,,,,,,,,22377.4348162316,,,,,"","SRID=4326;LINESTRING(24.1317669452943 53.8795178394976,23.9251086045063 53.736874404236)"
42785,50083,60403,,,,,,,,11370.078239293,,,,,"","SRID=4326;LINESTRING(25.2468818593186 53.9088607878803,25.1653424754012 53.8528506083414)"
854,15647,62488,220000,3,,,,,,9993.61534827865,,,,,"","SRID=4326;LINESTRING(30.9041183161796 52.4264124556807,30.9722969801203 52.4823059390439)"
