v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
5098,29.1697877575,53.1347874045374,substation,,,,,,SRID=4326;POINT(29.1697877575 53.1347874045374)
48272,30.0002528353016,52.8527826918165,substation,,,,,,SRID=4326;POINT(30.0002528353016 52.8527826918165)
3134,23.7937860191516,53.7095522415786,substation,,,Форты,,,SRID=4326;POINT(23.7937860191516 53.7095522415786)
13948,23.7019987353322,53.6854511398181,substation,,,,,,SRID=4326;POINT(23.7019987353322 53.6854511398181)
47823,28.7265612480435,55.496046548112,sub_station,,,,,,SRID=4326;POINT(28.7265612480435 55.496046548112)
7313,30.5098159095228,53.8569025784349,substation,,,Подстанция 330,,,SRID=4326;POINT(30.5098159095228 53.8569025784349)
55836,31.1299215968394,52.5421238867091,joint,330000,,,,ГСМ 330 - Гомель-330,SRID=4326;POINT(31.1299215968394 52.5421238867091)
28649,23.7418504597291,53.7642231754985,joint,,,,,,SRID=4326;POINT(23.7418504597291 53.7642231754985)
62585,23.7537935795268,53.686110392129,joint,,,,,,SRID=4326;POINT(23.7537935795268 53.686110392129)
50509,29.6956037213211,52.6280178099704,substation,,,,,,SRID=4326;POINT(29.6956037213211 52.6280178099704)
21725,29.0695696847926,53.1725302302431,joint,,,,,,SRID=4326;POINT(29.0695696847926 53.1725302302431)
30283,28.6178939312261,55.526530804765,joint,,,,,,SRID=4326;POINT(28.6178939312261 55.526530804765)
62586,23.9251086045063,53.736874404236,joint,,,,,,SRID=4326;POINT(23.9251086045063 53.736874404236)
55632,26.3148361234896,52.9929244542266,joint,220000;110000;220000;220000;220000;220000;220000,,,,,SRID=4326;POINT(26.3148361234896 52.9929244542266)
50518,30.3014115740052,55.0465976782487,substation,330000,50,,,,SRID=4326;POINT(30.3014115740052 55.0465976782487)
28893,31.6048248161413,53.6897351694659,joint,,,,,,SRID=4326;POINT(31.6048248161413 53.6897351694659)
48404,27.6444384325942,52.7289216030088,substation,,,"ПС-330 ""Калийная""","РУП ""Минсэнерго""",,SRID=4326;POINT(27.6444384325942 52.7289216030088)
61679,23.7536056907635,53.6865245923181,joint,,,,,,SRID=4326;POINT(23.7536056907635 53.6865245923181)
66452,25.1790154628462,52.4555146818596,joint,220000,,,,,SRID=4326;POINT(25.1790154628462 52.4555146818596)
53583,29.2385062871873,53.1369104598606,substation,,,,,,SRID=4326;POINT(29.2385062871873 53.1369104598606)
66879,29.7501764192413,52.6179146740411,joint,,,,,,SRID=4326;POINT(29.7501764192413 52.6179146740411)
16345,24.7127121710318,52.4874282287837,substation,,,,,,SRID=4326;POINT(24.7127121710318 52.4874282287837)
61691,23.7826821802168,53.7195140795686,joint,,,,,,SRID=4326;POINT(23.7826821802168 53.7195140795686)
64957,27.8544835940568,53.6192156027366,joint,110000,,,,,SRID=4326;POINT(27.8544835940568 53.6192156027366)
8911,27.4495230341408,53.954376104269,station,,,,,,SRID=4326;POINT(27.4495230341408 53.954376104269)
16872,29.0374435690505,53.2143968852774,substation,,,,,,SRID=4326;POINT(29.0374435690505 53.2143968852774)
24900,24.4526447309664,53.2044126003408,joint,220000,50,220kV Białystok - Рось,,,SRID=4326;POINT(24.4526447309664 53.2044126003408)
21722,31.3409741084799,52.2192531244677,joint,330000,50,,,Чернигов - Гомель-330,SRID=4326;POINT(31.3409741084799 52.2192531244677)
14176,27.6995580530601,53.6862679286241,sub_station,,,,,,SRID=4326;POINT(27.6995580530601 53.6862679286241)
51201,25.974521896285,52.3412391086714,substation,,,,,,SRID=4326;POINT(25.974521896285 52.3412391086714)
62399,23.7960376746439,53.7496549084004,joint,,,,,,SRID=4326;POINT(23.7960376746439 53.7496549084004)
16160,25.3800568751346,53.7933107950432,substation,330000,,,,,SRID=4326;POINT(25.3800568751346 53.7933107950432)
4605,23.7939717753017,53.6629943754248,substation,,,Фолюш,,,SRID=4326;POINT(23.7939717753017 53.6629943754248)
22085,26.7554289036757,54.2665908402822,joint,330000,,,,,SRID=4326;POINT(26.7554289036757 54.2665908402822)
17915,31.5084395374537,54.0075352799228,substation,,,,,,SRID=4326;POINT(31.5084395374537 54.0075352799228)
50699,30.8974994650079,52.4580285148447,substation,,,ГСМ-330,,,SRID=4326;POINT(30.8974994650079 52.4580285148447)
