l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
80674,56406,6103,220000,3,,50,,,,29294.803497783,,,,,"","SRID=4326;LINESTRING(5.54382009477616 50.2104585143912,5.66297177449568 49.9756976131534)"
14676,46997,63492,220000,6,,,,,,3901.47822702063,,,,,"","SRID=4326;LINESTRING(5.52164653616452 50.6147741731168,5.5358750350773 50.5821842825139)"
11130,21699,20285,220000,6;3;3;3,,,,,,1987.09206727941,,,,,"","SRID=4326;LINESTRING(5.69457369334782 50.7462449599731,5.66978256837406 50.7535124960447)"
80677,6104,40172,70000,,,,,,,9235.51413159827,,,,,"","SRID=4326;LINESTRING(5.51601311965978 50.2897571264333,5.55005771332038 50.2100350314653)"
13688,39892,22315,380000,6,,,,,,28055.3342427698,,,,,"","SRID=4326;LINESTRING(5.28694855781921 50.5120394867154,4.92197131064408 50.5104583661653)"
80116,54331,39847,150000,6,,,,,,11480.3791173924,,,,,"","SRID=4326;LINESTRING(5.42041080663116 50.58591552249,5.52320488775329 50.6547224940176)"
80217,55177,39892,380000,6,,,,,,2115.11883313485,,,,,"","SRID=4326;LINESTRING(5.27355401832494 50.5336995582458,5.28694855781921 50.5120394867154)"
64869,2483,46940,380000,6,,50,,Elia,,3513.84321297074,,,,,"","SRID=4326;LINESTRING(4.13500258844532 51.1415582034448,4.18624946812861 51.1388046135853)"
37507,36589,25815,220000;380000;380000,3,,,,,,496.427304773491,,,,,"","SRID=4326;LINESTRING(5.56148169598635 50.8019200924647,5.55867966687995 50.8072291004239)"
16213,22315,29726,380000,3,,,,,,444.024918695629,,,,,"","SRID=4326;LINESTRING(4.92197131064408 50.5104583661653,4.91573448728949 50.5109140107154)"
22492,57548,23668,380000,3,,50,,Elia,,806.686696173576,,,,,"","SRID=4326;LINESTRING(4.26745385390053 51.3535238692661,4.27223199289676 51.3494848689851)"
64865,39888,13031,150000,6,,50,,Elia,,340.312740816553,,,,,"","SRID=4326;LINESTRING(3.7754398364663 51.1320905448623,3.78173160155618 51.128626159662)"
13672,56268,56270,380000,6,,50,,Elia,,14149.424383779,,,,,"","SRID=4326;LINESTRING(3.60535398733832 51.1152302688784,3.78044749397496 51.1327259923634)"
15753,56273,22654,380000,3,,,,,,419.516631148451,,,,,"","SRID=4326;LINESTRING(4.52060547900393 50.4947803960257,4.52653409038453 50.4946937051712)"
80621,54331,40132,70000,,,,,,,6579.69626087734,,,,,"","SRID=4326;LINESTRING(5.42041080663116 50.58591552249,5.47207051273864 50.5402302910395)"
11126,36589,20285,220000;380000;380000,3,,,,,,9318.13443087443,,,,,"","SRID=4326;LINESTRING(5.56148169598635 50.8019200924647,5.66978256837406 50.7535124960447)"
14674,6104,56406,220000,,,,,,,8954.76017888417,,,,,"","SRID=4326;LINESTRING(5.51601311965978 50.2897571264333,5.54382009477616 50.2104585143912)"
80218,39886,5811,380000,6,,,,,,1394.36900244505,,,,,"","SRID=4326;LINESTRING(4.33235415396554 50.4824849772809,4.34754661134088 50.4945472437925)"
51259,61517,27566,380000,3,2,,,,,599.331447638806,,,,,"","SRID=4326;LINESTRING(4.23050219367744 51.022845768322,4.23215671076774 51.0175489722465)"
37636,2474,59711,380000,6,2,,,,,14750.6429970104,,,,,"","SRID=4326;LINESTRING(4.24693390517617 51.1540799441445,4.22979845348387 51.0265385036592)"
60815,62654,2416,380000;150000;380000;380000,9;12;9;3;3;6,,,,,,5897.93893122937,,,,,"","SRID=4326;LINESTRING(4.42235135809756 51.1123065132085,4.50867718639398 51.1176654576155)"
