v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
22929,5.79828613480328,50.1499684118195,joint,220000;380000;220000;380000;220000,50,,,,SRID=4326;POINT(5.79828613480328 50.1499684118195)
2477,4.23165273101819,50.880963446267,substation,380000,,380kV Bruegel,,,SRID=4326;POINT(4.23165273101819 50.880963446267)
21699,5.69457369334782,50.7462449599731,joint,220000;150000;220000;220000,,,,,SRID=4326;POINT(5.69457369334782 50.7462449599731)
21516,5.49128041842212,50.6032267833993,merge,220000,,Centrale TGV Seraing,SPE,,SRID=4326;POINT(5.49128041842212 50.6032267833993)
54485,4.24404192688348,51.2279352369258,merge,150000,,,ELIA,,SRID=4326;POINT(4.24404192688348 51.2279352369258)
29523,5.60185781983186,50.6065647903789,joint,70000;220000;70000;220000,,,,,SRID=4326;POINT(5.60185781983186 50.6065647903789)
56268,3.60535398733832,51.1152302688784,joint,380000,50,,Elia,,SRID=4326;POINT(3.60535398733832 51.1152302688784)
56394,5.56395861664708,50.5987610101488,joint,,,,,,SRID=4326;POINT(5.56395861664708 50.5987610101488)
5887,5.05565561739038,50.2606025454432,sub_station,380000;70000,,Achêne,Elia,,SRID=4326;POINT(5.05565561739038 50.2606025454432)
41754,5.50653758876867,49.5494274994496,sub_station,,,Rouvroy,,,SRID=4326;POINT(5.50653758876867 49.5494274994496)
39888,3.7754398364663,51.1320905448623,substation,380000;150000,,380/150kV Rodenhuize,,,SRID=4326;POINT(3.7754398364663 51.1320905448623)
25820,4.2201801917368,50.7567234819308,joint,380000,,,,,SRID=4326;POINT(4.2201801917368 50.7567234819308)
40147,5.66036232662491,50.6139326754384,sub_station,220000;150000,,220 kV Romsée,,,SRID=4326;POINT(5.66036232662491 50.6139326754384)
36604,4.30129640342698,50.8036883912149,substation,380000;150000,,Elia Drogenbos,,,SRID=4326;POINT(4.30129640342698 50.8036883912149)
54723,4.42386726194241,50.9420314705301,merge,150000;380000;150000,,,Elia,,SRID=4326;POINT(4.42386726194241 50.9420314705301)
7668,5.79576382939092,49.5666051612906,substation,380000;220000,,Aubange,Elia,,SRID=4326;POINT(5.79576382939092 49.5666051612906)
61517,4.23050219367744,51.022845768322,joint,380000,,,,,SRID=4326;POINT(4.23050219367744 51.022845768322)
26066,5.41411621365787,50.5823304768161,joint,220000,,,,,SRID=4326;POINT(5.41411621365787 50.5823304768161)
13031,3.78173160155618,51.128626159662,substation,150000,,,,,SRID=4326;POINT(3.78173160155618 51.128626159662)
40628,4.56791868306702,50.4368289070047,sub_station,380000;150000,,380kV Tergnée,,,SRID=4326;POINT(4.56791868306702 50.4368289070047)
22654,4.52653409038453,50.4946937051712,joint,380000,,,,,SRID=4326;POINT(4.52653409038453 50.4946937051712)
54331,5.42041080663116,50.58591552249,merge,220000;150000,,Cenrale électrique des Awirs;Awirs,,,SRID=4326;POINT(5.42041080663116 50.58591552249)
62654,4.42235135809756,51.1123065132085,joint,380000;230,,,,,SRID=4326;POINT(4.42235135809756 51.1123065132085)
40132,5.47207051273864,50.5402302910395,sub_station,380000;220000;70000,,Rimière,,,SRID=4326;POINT(5.47207051273864 50.5402302910395)
5816,5.06315048847907,51.1072214985866,substation,380000;150000,,,,,SRID=4326;POINT(5.06315048847907 51.1072214985866)
29726,4.91573448728949,50.5109140107154,joint,380000,,,,,SRID=4326;POINT(4.91573448728949 50.5109140107154)
36580,4.27870585241112,51.2695030364285,substation,150000,,Elia Ketenisse,,,SRID=4326;POINT(4.27870585241112 51.2695030364285)
25821,4.23544400571844,51.0233971970604,joint,380000,50,,,,SRID=4326;POINT(4.23544400571844 51.0233971970604)
46997,5.52164653616452,50.6147741731168,sub_station,220000;70000,,,,,SRID=4326;POINT(5.52164653616452 50.6147741731168)
39874,3.46925223414062,50.7825668855143,substation,380000,,380kV Avelgem,Elia,,SRID=4326;POINT(3.46925223414062 50.7825668855143)
41280,5.47142591938784,50.5950153978804,sub_station,,,,,,SRID=4326;POINT(5.47142591938784 50.5950153978804)
40349,5.55973457505769,50.5903344787361,sub_station,,,,,,SRID=4326;POINT(5.55973457505769 50.5903344787361)
6103,5.66297177449568,49.9756976131534,sub_station,220000;70000,,Villeroux,,,SRID=4326;POINT(5.66297177449568 49.9756976131534)
41459,5.79542334994583,50.150025636652,sub_station,220000;70000,,Mont-lez-Houffalize,,,SRID=4326;POINT(5.79542334994583 50.150025636652)
65906,4.3035132175519,50.7919037674506,joint,380000;380000;150000;150000,,,,,SRID=4326;POINT(4.3035132175519 50.7919037674506)
39978,5.84333552634567,50.3755038174335,substation,380000;220000,,Brume,Elia,,SRID=4326;POINT(5.84333552634567 50.3755038174335)
22315,4.92197131064408,50.5104583661653,joint,380000,,,,,SRID=4326;POINT(4.92197131064408 50.5104583661653)
20623,4.25756930210698,51.3242438591872,merge,380000;150000,,Kerncentrale van Doel;Elia Doel 380;Elia Doel 150,Electrabel,,SRID=4326;POINT(4.25756930210698 51.3242438591872)
