l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
71660,5998,50800,220000,3,,,,,,3357.37535286746,,,,,"","SRID=4326;LINESTRING(17.7697157029328 43.3031110583648,17.8004641765989 43.2815971747183)"
71659,5998,50800,220000,,,,,,,3251.67205483288,,,,,"","SRID=4326;LINESTRING(17.7697157029328 43.3031110583648,17.8004641765989 43.2815971747183)"
11256,45652,54128,400000,3,,,,,,135675.27970496,,,,,"","SRID=4326;LINESTRING(18.6063833026348 44.4811888154904,17.1604398214917 44.8594586252161)"
66360,45652,47937,400000,3,,,,,,41207.1359779658,,,,,"","SRID=4326;LINESTRING(18.6063833026348 44.4811888154904,18.9658949820161 44.6864563899796)"
71658,16871,50800,220000,3,,,,,,1594.60198010396,,,,,"","SRID=4326;LINESTRING(17.822138187344 43.2823522619314,17.8004641765989 43.2815971747183)"
70173,45652,16084,400000,3,,,,,,44079.7767986796,,,,,"","SRID=4326;LINESTRING(18.6063833026348 44.4811888154904,19.0734608393587 44.4043183368514)"
68087,14714,15004,400000,3,,,,,,65610.6848558575,,,,,"","SRID=4326;LINESTRING(18.5144388623469 43.1742808696662,18.3332792185072 42.6772808649942)"
61988,5998,10993,400000,3,,,,,,96208.6360014925,,,,,"","SRID=4326;LINESTRING(17.7697157029328 43.3031110583648,18.3155333924149 43.8827641738413)"
77951,10993,53798,400000;380000,3;6,,,,,,30303.1100528551,,,,,"","SRID=4326;LINESTRING(18.3155333924149 43.8827641738413,18.383651574067 43.8258462446695)"
56999,45652,41863,220000,3,,,,,,4883.42468142896,,,,,"","SRID=4326;LINESTRING(18.6063833026348 44.4811888154904,18.6055070803658 44.5213924665007)"
80519,14714,5998,400000,3,,,,,,69240.9210216182,,,,,"","SRID=4326;LINESTRING(18.5144388623469 43.1742808696662,17.7697157029328 43.3031110583648)"
61989,45652,10993,400000,3,,,Sarajevo - Tuzla,,,86941.7190392426,,,,,"","SRID=4326;LINESTRING(18.6063833026348 44.4811888154904,18.3155333924149 43.8827641738413)"
