v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
15004,18.3332792185072,42.6772808649942,substation,400000,,Trebinje,,,SRID=4326;POINT(18.3332792185072 42.6772808649942)
53798,18.383651574067,43.8258462446695,substation,,,TS Sarajevo 20 - Lukavica,Elektroprenos BiH,,SRID=4326;POINT(18.383651574067 43.8258462446695)
54924,19.3024660526831,44.1564064684781,merge,,,,,,SRID=4326;POINT(19.3024660526831 44.1564064684781)
54128,17.1604398214917,44.8594586252161,merge,,,TS Banja Luka 6;Elektroprenos BiH - OPBanja Luka,Elektroprenos BiH,,SRID=4326;POINT(17.1604398214917 44.8594586252161)
16871,17.822138187344,43.2823522619314,substation,,,,,,SRID=4326;POINT(17.822138187344 43.2823522619314)
5998,17.7697157029328,43.3031110583648,substation,,,TS Mostar,,,SRID=4326;POINT(17.7697157029328 43.3031110583648)
50800,17.8004641765989,43.2815971747183,substation,,,Mostar 3,,,SRID=4326;POINT(17.8004641765989 43.2815971747183)
47937,18.9658949820161,44.6864563899796,station,400000,,TS Ugljevik,,,SRID=4326;POINT(18.9658949820161 44.6864563899796)
16084,19.0734608393587,44.4043183368514,substation,,,,,,SRID=4326;POINT(19.0734608393587 44.4043183368514)
10993,18.3155333924149,43.8827641738413,station,,,,,,SRID=4326;POINT(18.3155333924149 43.8827641738413)
45652,18.6063833026348,44.4811888154904,substation,,,TS Tuzla 4,Elektroprenos BiH,,SRID=4326;POINT(18.6063833026348 44.4811888154904)
41863,18.6055070803658,44.5213924665007,plant,,,TE Tuzla,,,SRID=4326;POINT(18.6055070803658 44.5213924665007)
14714,18.5144388623469,43.1742808696662,substation,,,TS TE Gacko,,,SRID=4326;POINT(18.5144388623469 43.1742808696662)
