l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
67366,11107,14600,400000,6;3;3;3;3;3;6;6;3;6;6;6;3;3,,,,,,74617.3426609414,,,,,"","SRID=4326;LINESTRING(23.0046649291308 42.5287561706021,23.1024071887942 41.9645650613906)"
41668,32400,32399,220000,,,,,,,6300.07550836369,,,,,"","SRID=4326;LINESTRING(24.4116033107493 41.9526206015733,24.4117085933006 41.9523149564437)"
3571,28924,62887,,3,1,,Самоков - Казичене,,,1145.83497482061,,,,,"","SRID=4326;LINESTRING(23.5386193958494 42.3397056396574,23.540568038557 42.350261161062)"
2881,40671,28835,220000,3,,,Шипка,,,922.119562274011,,,,,"","SRID=4326;LINESTRING(24.3183869872543 42.1510103709662,24.3301356591595 42.1557739275689)"
62163,8981,11109,400000,3;1;1;1;3,2,,Черно море,,,89896.3198125329,,,,,"","SRID=4326;LINESTRING(27.506949992732 43.3146759188856,27.356574246573 42.6168050583864)"
77142,67584,38608,220000,3,,,,,,691.076653543317,,,,,"","SRID=4326;LINESTRING(23.5251103049264 42.7360034592085,23.525770388679 42.7429233812318)"
8135,26973,21112,110000,,,,,,,11867.7484737839,,,,,"","SRID=4326;LINESTRING(23.2457442228649 42.7862210984413,23.3629355687061 42.8172836301081)"
47777,52636,67159,,,,,,,,413.279238866748,,,,,"","SRID=4326;LINESTRING(23.5458029246311 42.7220961289431,23.55241711327 42.7224771635089)"
58121,40745,8551,,,,,,,,818.667011983709,,,,,"","SRID=4326;LINESTRING(25.2142024102913 42.1081566194921,25.213173991031 42.0993803037293)"
30818,63418,65058,400000,3,,,Люлин,,,1580.47556320239,,,,,"","SRID=4326;LINESTRING(22.9996824613099 42.6150560702656,22.9982626740033 42.6044689786932)"
51358,33566,67584,220000,3,,,,,,2089.24870040864,,,,,"","SRID=4326;LINESTRING(23.545470620841 42.7246515813887,23.5251103049264 42.7360034592085)"
