l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
13213,54378,55537,220000,3,,,DV Pehlin - Melina,,,13426.7711472475,,,,,"","SRID=4326;LINESTRING(14.5640241726802 45.316279602188,14.4089446139301 45.3547737371992)"
69730,55358,49855,220000,3,2,,DV Mraclin - Prijedor;DV Mraclin - Brinje,,,117500.982389299,,,,,"","SRID=4326;LINESTRING(16.1118966535668 45.6674575578459,15.1052665132389 44.9929999573544)"
39813,55537,1782,220000,3,,,DV Pehlin - Divača,,,946.498716890698,,,,,"","SRID=4326;LINESTRING(14.4089446139301 45.3547737371992,14.3986193125566 45.3614305861509)"
5205,54378,29169,400000,3,2,50,DV Melina - Velebit,,,115905.351439386,,,,,"","SRID=4326;LINESTRING(14.5640241726802 45.316279602188,15.4370600334119 44.6012978942072)"
12697,21159,20868,220000,6,3,,DV Konjsko - Bilice,,,52734.5744644856,,,,,"","SRID=4326;LINESTRING(15.9031616423204 43.7563713824627,16.5009965029605 43.6002844471585)"
10237,55358,54101,220000,3,,,DV TE Sisak - Mraclin,,,43841.9436438952,,,,,"","SRID=4326;LINESTRING(16.1118966535668 45.6674575578459,16.413903178687 45.4535643443988)"
80517,29487,5997,400000,3,2,50,DV Žerjavinec - Ernestinovo,,,201189.951804197,,,,,"","SRID=4326;LINESTRING(16.2408933702133 45.6651887999494,18.663323261579 45.4731696487969)"
13131,29487,55357,400000,3,2,50,DV Tumbri - Žerjavinec,,,31579.109204981,,,,,"","SRID=4326;LINESTRING(16.2408933702133 45.6651887999494,15.8692401743535 45.6815389647535)"
5130,22114,56028,220000,3,,,DV Melina - HE Senj,,,8623.0230513721,,,,,"","SRID=4326;LINESTRING(14.7812216956258 45.1403243491899,14.7019256217469 45.1939113514134)"
80510,55358,40067,220000,3,1,50,DV Mraclin - Žerjavinec,,,26258.6686197948,,,,,"","SRID=4326;LINESTRING(16.1118966535668 45.6674575578459,16.1627306958623 45.8760847017595)"
5204,44120,29169,400000,3,2,50,DV Melina - Velebit,,,63715.2276605138,,,,,"","SRID=4326;LINESTRING(15.7547644663753 44.207427368773,15.4370600334119 44.6012978942072)"
80508,29487,40067,400000,3;6,2,50,DV Žerjavinec - Ernestinovo;DV Žerjavinec - Tumbri;DV Žerjavinec - Ernestinovo - Tumbri,,,29344.9701832198,,,,,"","SRID=4326;LINESTRING(16.2408933702133 45.6651887999494,16.1627306958623 45.8760847017595)"
13129,55358,55357,110000,6,,,DV Tumbri - Mraclin,,,20408.559536839,,,,,"","SRID=4326;LINESTRING(16.1118966535668 45.6674575578459,15.8692401743535 45.6815389647535)"
12695,49855,20868,220000,3,,,DV Brinje - Konjsko,,,210048.586920376,,,,,"","SRID=4326;LINESTRING(15.1052665132389 44.9929999573544,16.5009965029605 43.6002844471585)"
13124,55537,54378,220000,6,,,DV Melina - Pehlin - Plomin;DV Melina - Pehlin,,,17347.8629866687,,,,,"","SRID=4326;LINESTRING(14.4089446139301 45.3547737371992,14.5640241726802 45.316279602188)"
7688,49855,20364,220000,3,,,DV HE Senj - Brinje,,,16365.5642438928,,,,,"","SRID=4326;LINESTRING(15.1052665132389 44.9929999573544,14.9251042554461 44.9427093642928)"
60325,21159,9968,220000,3,,,DV Bilice - HE Zakučac,,,65841.8446583353,,,,,"","SRID=4326;LINESTRING(15.9031616423204 43.7563713824627,16.6065798858547 43.496984958384)"
12698,44120,20868,400000,3,2,50,DV Konjsko - Velebit,,,100221.602543099,,,,,"","SRID=4326;LINESTRING(15.7547644663753 44.207427368773,16.5009965029605 43.6002844471585)"
5129,20364,22114,220000,3,,,DV Melina - HE Senj,,,28432.3431451186,,,,,"","SRID=4326;LINESTRING(14.9251042554461 44.9427093642928,14.7812216956258 45.1403243491899)"
12700,54207,20868,220000,6,,,DV HE Orlovac - Konjsko,,,28512.3092418569,,,,,"","SRID=4326;LINESTRING(16.7836334430164 43.6730510809892,16.5009965029605 43.6002844471585)"
13128,54378,55357,400000,3,2,,DV Tumbri - Melina,,,127108.738382205,,,,,"","SRID=4326;LINESTRING(14.5640241726802 45.316279602188,15.8692401743535 45.6815389647535)"
13211,20828,55537,220000,6,,,DV Melina - Pehlin - Plomin,,,46445.8165244302,,,,,"","SRID=4326;LINESTRING(14.1653319722322 45.13613695809,14.4089446139301 45.3547737371992)"
5131,54378,56028,220000,3,,,DV Melina - HE Senj,,,17796.7820849091,,,,,"","SRID=4326;LINESTRING(14.5640241726802 45.316279602188,14.7019256217469 45.1939113514134)"
10238,54171,54101,220000,3,,,DV Međurić - Sisak;DV TE Sisak - Mraclin;DV TE Sisak - Međurić;DV TE Sisak - Međurić,,,44643.5664249342,,,,,"","SRID=4326;LINESTRING(16.9136817112937 45.4479935714376,16.413903178687 45.4535643443988)"
12696,35038,20868,220000,3,,50,DV Konjsko - HE Zakučac,,,24771.6148846073,,,,,"","SRID=4326;LINESTRING(16.7013938597026 43.4553721865893,16.5009965029605 43.6002844471585)"
10239,54171,54101,110000,3,,,DV TE Sisak - Međurić,,,43559.1352667994,,,,,"","SRID=4326;LINESTRING(16.9136817112937 45.4479935714376,16.413903178687 45.4535643443988)"
