v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
22114,14.7812216956258,45.1403243491899,joint,220000;35000,,DV Melina - HE Senj,,,SRID=4326;POINT(14.7812216956258 45.1403243491899)
21159,15.9031616423204,43.7563713824627,merge,220000,,TS Bilice,,,SRID=4326;POINT(15.9031616423204 43.7563713824627)
29169,15.4370600334119,44.6012978942072,joint,400000,50,DV Melina - Velebit,,,SRID=4326;POINT(15.4370600334119 44.6012978942072)
54101,16.413903178687,45.4535643443988,merge,,,TS TE Sisak;TE Sisak,,,SRID=4326;POINT(16.413903178687 45.4535643443988)
54171,16.9136817112937,45.4479935714376,merge,,,TS Međurić,,,SRID=4326;POINT(16.9136817112937 45.4479935714376)
56028,14.7019256217469,45.1939113514134,joint,220000;35000,,DV Melina - HE Senj,,,SRID=4326;POINT(14.7019256217469 45.1939113514134)
44120,15.7547644663753,44.207427368773,sub_station,400000,,TS Velebit,,,SRID=4326;POINT(15.7547644663753 44.207427368773)
35038,16.7013938597026,43.4553721865893,substation,,,,,,SRID=4326;POINT(16.7013938597026 43.4553721865893)
20828,14.1653319722322,45.13613695809,merge,220000;110000,,Termoelektrana Plomin;TS Plomin,,,SRID=4326;POINT(14.1653319722322 45.13613695809)
54201,18.2326480150386,42.6036644791642,merge,,,TS HE Dubrovnik,,,SRID=4326;POINT(18.2326480150386 42.6036644791642)
49855,15.1052665132389,44.9929999573544,substation,220000,,RP Brinje,HEP,,SRID=4326;POINT(15.1052665132389 44.9929999573544)
55357,15.8692401743535,45.6815389647535,merge,400000,,TS Tumbri,HEP,,SRID=4326;POINT(15.8692401743535 45.6815389647535)
55358,16.1118966535668,45.6674575578459,merge,220000,,TS Mraclin,,,SRID=4326;POINT(16.1118966535668 45.6674575578459)
55537,14.4089446139301,45.3547737371992,merge,220000,,TS Pehlin,,,SRID=4326;POINT(14.4089446139301 45.3547737371992)
20868,16.5009965029605,43.6002844471585,merge,400000,,TS Konjsko,,,SRID=4326;POINT(16.5009965029605 43.6002844471585)
5997,18.663323261579,45.4731696487969,substation,400000,,TS Ernestinovo,HEP,,SRID=4326;POINT(18.663323261579 45.4731696487969)
54378,14.5640241726802,45.316279602188,merge,400000,,TS Melina,HEP,,SRID=4326;POINT(14.5640241726802 45.316279602188)
20364,14.9251042554461,44.9427093642928,merge,,,TS HE Senj,,,SRID=4326;POINT(14.9251042554461 44.9427093642928)
1782,14.3986193125566,45.3614305861509,sub_station,,,TS Turkovo 1,,,SRID=4326;POINT(14.3986193125566 45.3614305861509)
29487,16.2408933702133,45.6651887999494,joint,400000,50,DV Žerjavinec - Ernestinovo;DV Tumbri - Žerjavinec;DV Žerjavinec - Ernestinovo - Tumbri,,,SRID=4326;POINT(16.2408933702133 45.6651887999494)
63133,16.7048200999853,43.4549536676594,joint,110000;220000,,DV HE Zakučac - Mostar,,,SRID=4326;POINT(16.7048200999853 43.4549536676594)
40067,16.1627306958623,45.8760847017595,substation,400000,,TS Žerjavinec,,,SRID=4326;POINT(16.1627306958623 45.8760847017595)
54207,16.7836334430164,43.6730510809892,merge,,,Hidroelektrana Orlovac;TS HE Orlovac,,,SRID=4326;POINT(16.7836334430164 43.6730510809892)
9968,16.6065798858547,43.496984958384,station,,,,,,SRID=4326;POINT(16.6065798858547 43.496984958384)
