l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
12171,2777,21420,110000,3;6;3,,,,E.ON,5585,3067.01449087997,,,,,"","SRID=4326;LINESTRING(16.118891675349 49.1037540067666,16.148916736784 49.0868848104283)"
49326,34968,67329,,,,,,,,5895.99067727999,,,,,"","SRID=4326;LINESTRING(13.6932338545345 50.4339948727441,13.6893391187887 50.4784158072867)"
44025,26666,26665,400000,3,3,50,476,ČEPS,476,257.381182578094,,,,,"","SRID=4326;LINESTRING(14.4386837250707 49.9385799094711,14.4421469999856 49.9392217820764)"
77246,2815,53363,,,,,,,,3047.4225401341,,,,,"","SRID=4326;LINESTRING(15.6491986180001 50.0318842917161,15.6906968274026 50.040685942407)"
26264,36911,64727,400000,3,,50,431,ČEPS,431,19259.1633747325,,,,,"","SRID=4326;LINESTRING(13.4748857725974 49.7786425634956,13.5089807659349 49.6298271858555)"
267,33742,21685,,,,,,,,318.435325541979,,,,,"","SRID=4326;LINESTRING(16.3404376631402 49.1171320907414,16.3387317882712 49.1146357137828)"
70440,2837,36914,110000,6,1,50,,ČEPS,1344;1345,30013.5529919063,,,,,"","SRID=4326;LINESTRING(14.351758653262 49.1581804931496,14.4220282776265 49.0253100273918)"
52923,27649,33737,,,,,,,,4973.53028032048,,,,,"","SRID=4326;LINESTRING(16.3492117780148 49.0818209020875,16.3326948142118 49.0486911177392)"
43760,56872,32635,400000,3,3,,,ČEPS,422,78871.0619619402,,,,,"","SRID=4326;LINESTRING(16.4481392876676 49.2809557779074,15.5938207013869 49.5510469030452)"
44002,33740,26660,400000,6,3,50,"435, 436",ČEPS,435;436,46452.8014031613,,,,,"","SRID=4326;LINESTRING(16.7143366964847 49.0858454872993,16.1751007588044 49.0693961945497)"
3261,2835,21964,400000,3,3,50,,ČEPS,415,22567.9469585776,,,,,"","SRID=4326;LINESTRING(14.7686232520465 50.1430218893368,14.6436372897372 50.0044183995369)"
52925,9404,33737,,,,,,,,731.036645039653,,,,,"","SRID=4326;LINESTRING(16.3393934489151 49.0471757761992,16.3326948142118 49.0486911177392)"
3193,60967,28871,400000,6,3,50,,ČEPS,414;475,1332.05714440962,,,,,"","SRID=4326;LINESTRING(14.4381963890291 49.9390918703415,14.419477446332 49.9387169010001)"
53390,28492,27880,400000,6,3,50,,ČEPS,433;474,1081.49830198689,,,,,"","SRID=4326;LINESTRING(14.5667465714477 49.1045277662998,14.579981622572 49.1091283602234)"
18145,22997,56880,,,,,,,,8.19052211068584,,,,,"","SRID=4326;LINESTRING(13.8080133950171 50.5814481134384,13.8081107723939 50.5815062955136)"
44034,36913,32680,400000,6,3,50,,ČEPS,450;451,1297.13521560332,,,,,"","SRID=4326;LINESTRING(14.455785341091 50.6354797519851,14.4553453176345 50.6481267761456)"
