v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
60537,16.4486770191967,49.2789250724201,joint,400000,50,434,ČEPS,434,SRID=4326;POINT(16.4486770191967 49.2789250724201)
221,16.3508181454059,49.0845144873285,substation,,,,,,SRID=4326;POINT(16.3508181454059 49.0845144873285)
694,16.3617809156387,49.0415642935567,sub_station,,,,,,SRID=4326;POINT(16.3617809156387 49.0415642935567)
36913,14.455785341091,50.6354797519851,substation,,,Babylon,,,SRID=4326;POINT(14.455785341091 50.6354797519851)
27648,16.3485444195902,49.0767977735044,joint,,,,,,SRID=4326;POINT(16.3485444195902 49.0767977735044)
66689,13.5092114532999,50.4122485138242,joint,220000,50,,,225;226,SRID=4326;POINT(13.5092114532999 50.4122485138242)
43314,12.675245611981,50.1607136484694,substation,,,Vítkov,ČEPS,,SRID=4326;POINT(12.675245611981 50.1607136484694)
61778,16.3277549784645,49.0532054948139,joint,,,,,,SRID=4326;POINT(16.3277549784645 49.0532054948139)
2838,16.6684113411675,49.8586971274099,substation,400000,50,Krasíkov,ČEPS,,SRID=4326;POINT(16.6684113411675 49.8586971274099)
61116,12.7845574917595,49.6801239795525,joint,400000,50,Etzenricht - Hradec;Etzenricht - Přeštice,CEPS,442,SRID=4326;POINT(12.7845574917595 49.6801239795525)
27769,13.7206359741298,50.3027930081982,joint,400000,50,410,ČEPS,410,SRID=4326;POINT(13.7206359741298 50.3027930081982)
2854,18.5079874571975,49.7855568441737,substation,400000,50,Albrechtice,ceps_cz,,SRID=4326;POINT(18.5079874571975 49.7855568441737)
55249,18.1426794864579,49.6297355779185,merge,220000;110000;22000,,Rozvodna a trafostanice VN;Příbor,ČEZ,,SRID=4326;POINT(18.1426794864579 49.6297355779185)
220,16.3510689550332,49.0898798059977,substation,,,,,,SRID=4326;POINT(16.3510689550332 49.0898798059977)
21420,16.148916736784,49.0868848104283,merge,,,,,,SRID=4326;POINT(16.148916736784 49.0868848104283)
7280,15.9913507900052,49.502359458463,substation,110000,50,ČD Ostrov nad Oslavou,,,SRID=4326;POINT(15.9913507900052 49.502359458463)
49691,14.5603600888077,50.0279738351107,substation,220000;400,50,,,TS 1953,SRID=4326;POINT(14.5603600888077 50.0279738351107)
55901,14.3607455862315,49.8662415337065,joint,22000;220000,50,208,ČEPS,208,SRID=4326;POINT(14.3607455862315 49.8662415337065)
21198,13.2504151677725,50.4127955256749,merge,,,,,,SRID=4326;POINT(13.2504151677725 50.4127955256749)
2815,15.6491986180001,50.0318842917161,substation,220000,50,Opočínek,,,SRID=4326;POINT(15.6491986180001 50.0318842917161)
19707,14.3743093946703,49.9669494700742,substation,,,,,,SRID=4326;POINT(14.3743093946703 49.9669494700742)
23935,13.8610368139883,50.5683006010827,joint,220000;400000;400000;220000,50,,ČEPS,211,SRID=4326;POINT(13.8610368139883 50.5683006010827)
21964,14.6436372897372,50.0044183995369,joint,400000;22000,50,,ČEPS,415,SRID=4326;POINT(14.6436372897372 50.0044183995369)
63239,13.7811611012377,50.5760999558913,joint,,,,,,SRID=4326;POINT(13.7811611012377 50.5760999558913)
36757,16.4580807823012,49.3303158889545,substation,400000;110000;25000,50,Čebín,,,SRID=4326;POINT(16.4580807823012 49.3303158889545)
28492,14.5667465714477,49.1045277662998,joint,400000,50,,ČEPS,433;474,SRID=4326;POINT(14.5667465714477 49.1045277662998)
9404,16.3393934489151,49.0471757761992,substation,,50,,,,SRID=4326;POINT(16.3393934489151 49.0471757761992)
22073,13.8069507078692,50.5823458810915,joint,400000,50,,ČEPS,480,SRID=4326;POINT(13.8069507078692 50.5823458810915)
29113,17.9613239828139,49.9342542495225,joint,,,22kV,,,SRID=4326;POINT(17.9613239828139 49.9342542495225)
32679,14.7770491786996,50.1488925032035,joint,400000;400000;220000;220000,50,454;209,ČEPS,454,SRID=4326;POINT(14.7770491786996 50.1488925032035)
66680,14.1876236474433,49.0878548925476,joint,400000,50,"432;473;432, 473",ČEPS,432,SRID=4326;POINT(14.1876236474433 49.0878548925476)
46531,13.6756807766924,50.5027309352114,substation,,,Most,,,SRID=4326;POINT(13.6756807766924 50.5027309352114)
31337,17.6691667019272,49.8992082601158,joint,,,,,,SRID=4326;POINT(17.6691667019272 49.8992082601158)
67329,13.6893391187887,50.4784158072867,joint,,,,,,SRID=4326;POINT(13.6893391187887 50.4784158072867)
61839,14.6862519613572,49.4957013058637,joint,220000,50,"204;204, 207;207",ČEPS,204,SRID=4326;POINT(14.6862519613572 49.4957013058637)
56880,13.8081107723939,50.5815062955136,joint,,,,,,SRID=4326;POINT(13.8081107723939 50.5815062955136)
1455,18.2347477116079,49.5450871151266,substation,22000,50,,,,SRID=4326;POINT(18.2347477116079 49.5450871151266)
30012,13.8573098835376,50.5777130160465,joint,220000,50,,ČEPS,211,SRID=4326;POINT(13.8573098835376 50.5777130160465)
26660,16.1751007588044,49.0693961945497,joint,400000,50,"436;435, 436;435",ČEPS,436,SRID=4326;POINT(16.1751007588044 49.0693961945497)
64708,14.215208753862,49.8986784005906,joint,400000,50,,ČEPS,412;413,SRID=4326;POINT(14.215208753862 49.8986784005906)
362,14.4596055778694,50.652318994696,sub_station,,,,,,SRID=4326;POINT(14.4596055778694 50.652318994696)
2834,14.329935688069,50.0157664795104,substation,,,Rozvodna Řeporyje,,,SRID=4326;POINT(14.329935688069 50.0157664795104)
60539,16.7061316643426,49.109790917926,joint,400000,50,417,ČEPS,"417, 424",SRID=4326;POINT(16.7061316643426 49.109790917926)
66676,14.740065807947,50.133822691952,joint,220000,50,208;202,ČEPS,208,SRID=4326;POINT(14.740065807947 50.133822691952)
55369,13.8013469779973,50.5830911299156,merge,110000,50,Chotějovice,,,SRID=4326;POINT(13.8013469779973 50.5830911299156)
36863,16.6990470246416,49.112270517115,substation,,,Sokolnice,,,SRID=4326;POINT(16.6990470246416 49.112270517115)
31341,17.636263299532,49.9668996176106,joint,,,,,,SRID=4326;POINT(17.636263299532 49.9668996176106)
55954,13.6130396932325,49.4031006756034,joint,400000;2200,50,432,ČEPS,432,SRID=4326;POINT(13.6130396932325 49.4031006756034)
27649,16.3492117780148,49.0818209020875,joint,,,,,,SRID=4326;POINT(16.3492117780148 49.0818209020875)
33742,16.3404376631402,49.1171320907414,joint,,,,,,SRID=4326;POINT(16.3404376631402 49.1171320907414)
64727,13.5089807659349,49.6298271858555,joint,400000,50,"432;431, 432;431",ČEPS,432,SRID=4326;POINT(13.5089807659349 49.6298271858555)
61636,16.5979064118361,49.835130995787,joint,400000,50,401,ČEPS,401,SRID=4326;POINT(16.5979064118361 49.835130995787)
33740,16.7143366964847,49.0858454872993,joint,400000;22000,50,"435, 436",ČEPS,435;436,SRID=4326;POINT(16.7143366964847 49.0858454872993)
