l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
81395,6572,6573,400000,6;3;3;3;3;6,2,50,,Energinet.dk,,2557.93264102214,,,,,"","SRID=4326;LINESTRING(9.88476674734772 56.6624787172028,9.88173994857657 56.6395646848908)"
15529,22608,56538,150000;60000;150000;150000;150000,3,1,50,150KV Ensted DK,EON_Netz,,279.356589328144,,,,,"","SRID=4326;LINESTRING(9.39055750750133 54.9423008107464,9.38970617410657 54.9398291786814)"
80302,54965,39942,150000,,,,,NV Net,,4731.79402604758,,,,,"","SRID=4326;LINESTRING(10.0063719485439 57.00667484175,10.0331752050849 57.0483434833851)"
27581,22608,58387,220000,3,1,50,,,,298.086079850088,,,,,"","SRID=4326;LINESTRING(9.39055750750133 54.9423008107464,9.38950584979821 54.9396819048834)"
81399,40645,40646,400000,3;6,,50,,energinet.dk,,4255.44641022969,,,,,"","SRID=4326;LINESTRING(9.98125711295758 56.4687896716333,9.99910839367105 56.4311794642127)"
77624,7974,19800,350000;250000,3,2;1,0,HVDC Cross-Skagerak,Energinet.dk,,2140.01501464265,,,,,"","SRID=4326;LINESTRING(9.29268368650707 57.006124891718,9.30717282797837 56.9885212574565)"
13229,39942,54965,400000,6;3;3;3;3;6,2,50,,Energinet.dk,,5189.06952742318,,,,,"","SRID=4326;LINESTRING(10.0331752050849 57.0483434833851,10.0063719485439 57.00667484175)"
81370,6563,40624,300000;285000,2;3,2,0,Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;Konti-Skan,Energinet.dk,Konti-Skan,17296.973868945,,,,,"","SRID=4326;LINESTRING(10.9035771470444 57.2523806878083,11.1265425380199 57.3089861869467)"
81369,40622,6563,300000;285000,2;3,2,0,Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;Konti-Skan,Energinet.dk,Konti-Skan,21831.8908455447,,,,,"","SRID=4326;LINESTRING(10.5414487765235 57.233778838104,10.9035771470444 57.2523806878083)"
81297,19800,40572,350000;250000;0;350000;250000,6;3,2;1,0,HVDC Cross-Skagerak,Energinet.dk,,63309.9547504699,,,,,"","SRID=4326;LINESTRING(9.30717282797837 56.9885212574565,9.56708978781776 56.4786417322128)"
15771,40646,29680,150000;400000;150000;400000;150000;400000;400000,3;3;3;3;6,2;1,50,,energinet.dk,,16003.6396464616,,,,,"","SRID=4326;LINESTRING(9.99910839367105 56.4311794642127,10.1182873005745 56.3051423942401)"
79372,15101,5336,400000,3,2,50,,Energinet.dk,,13193.6906386455,,,,,"","SRID=4326;LINESTRING(9.79027345473509 55.4706099003553,9.96831767217122 55.4110696487516)"
57793,2724,42382,132000,3;6;3,1,50,,,,6006.44637219317,,,,,"","SRID=4326;LINESTRING(12.320538511307 55.6323746111997,12.4082294848106 55.6311443210147)"
57792,2724,42382,400000,,,50,,,,5389.2712639509,,,,,"","SRID=4326;LINESTRING(12.320538511307 55.6323746111997,12.4082294848106 55.6311443210147)"
27579,63597,58386,220000,3,1,50,,,,23.3089260629825,,,,,"","SRID=4326;LINESTRING(9.38942230647678 54.9394735842978,9.38958166760819 54.9396731840284)"
81389,21621,40642,150000;400000;400000;150000;400000;400000;400000;400000;150000;150000;400000;400000;400000,6;3;3;3;3;6;3;3;3;6,2;2;1;1;2;2,50,,Energinet.dk,,19055.8559518999,,,,,"","SRID=4326;LINESTRING(9.87912247195717 56.9564882822763,9.70723208200527 56.8176335391856)"
77786,40415,53699,400000,3,2,50,,Energinet.dk,,5122.31346674459,,,,,"","SRID=4326;LINESTRING(9.59542763111154 55.5562180018263,9.66958312619202 55.5351740084391)"
78075,4713,53876,400000;150000,6,2,50,,Energinet.dk,,12649.068455724,,,,,"","SRID=4326;LINESTRING(9.54701365070164 55.5639658978636,9.47623222298353 55.6650560383661)"
79373,15101,5336,400000,3,2,50,,Energinet.dk,,13168.4462129405,,,,,"","SRID=4326;LINESTRING(9.79027345473509 55.4706099003553,9.96831767217122 55.4110696487516)"
81019,4713,40415,400000;150000,3;3;3,2;1,50,,Energinet.dk,,2965.78662356885,,,,,"","SRID=4326;LINESTRING(9.54701365070164 55.5639658978636,9.59542763111154 55.5562180018263)"
51242,27561,61514,400000;150000,6,2;1,50,,Energinet.dk,,384.668185699693,,,,,"","SRID=4326;LINESTRING(9.43804460937657 55.5177101753962,9.43219918199127 55.5167060681165)"
57245,40753,7974,350000;250000,3,2;1,0,HVDC Cross-Skagerak,Energinet.dk,,1372.56817198206,,,,,"","SRID=4326;LINESTRING(9.2801317753343 57.0174983881118,9.29268368650707 57.006124891718)"
79366,5336,5335,400000,3;1;1;1;3,2,50,,Energinet.dk,,39417.9177808571,,,,,"","SRID=4326;LINESTRING(9.96831767217122 55.4110696487516,10.5057244243802 55.3659701480374)"
51246,27563,27562,400000;60000,6,2;1,50,,Energinet.dk,,4253.27535689609,,,,,"","SRID=4326;LINESTRING(9.44676392701881 55.4625707934161,9.42665037831279 55.496941866967)"
42286,66473,32473,400000,3,2,50,,Energinet.dk,,250.120953053688,,,,,"","SRID=4326;LINESTRING(12.2309672843228 55.6335570875336,12.2271906770368 55.6328302768757)"
81066,13909,6379,400000,3;6,3,50,,Energinet.dk,KAS5-REV5 1,49298.1052498686,,,,,"","SRID=4326;LINESTRING(9.18971440466302 55.4624886451782,9.27063393311954 55.0370264929238)"
60355,5335,43945,400000,1,,0,,Energinet.dk,Storebælt I,55275.6704483374,,,,,"","SRID=4326;LINESTRING(10.5057244243802 55.3659701480374,11.3151404500124 55.5316872357027)"
15363,4713,63579,400000;150000,3;6,2,50,,Energinet.dk,,8610.30329337417,,,,,"","SRID=4326;LINESTRING(9.54701365070164 55.5639658978636,9.4396818788134 55.5189950881557)"
81341,40622,40609,300000;285000,2;3,2,0,Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;HVDC Konti-Skan;Konti-Skan,Energinet.dk,Konti-Skan,33823.0284698709,,,,,"","SRID=4326;LINESTRING(10.5414487765235 57.233778838104,10.0895686033566 57.062844519292)"
56453,6387,7458,400000;150000,3;6;6;6,2,50,,Energinet.dk,,12601.534245011,,,,,"","SRID=4326;LINESTRING(9.47682822631694 55.7085069348863,9.55941544367962 55.797162975773)"
81336,40609,6554,400000,3;6,2;3;3;3;2,50,,Energinet.dk,,2574.10905162909,,,,,"","SRID=4326;LINESTRING(10.0895686033566 57.062844519292,10.0483689388106 57.0771816899891)"
15838,63633,63634,400000;150000,6,2;1,50,,Energinet.dk,,284.990735371361,,,,,"","SRID=4326;LINESTRING(10.0708710757752 56.0873519127557,10.0675038307642 56.0891007948837)"
77784,27873,53699,400000,3,2,50,,Energinet.dk,,2760.67778617849,,,,,"","SRID=4326;LINESTRING(9.6297834490703 55.5472209962363,9.66958312619202 55.5351740084391)"
15528,40505,22608,220000;150000,6,1,50,,,,9046.10346599021,,,,,"","SRID=4326;LINESTRING(9.43342737750221 55.0187237565518,9.39055750750133 54.9423008107464)"
81294,51501,40572,400000,3;6,3,50,,Energinet.dk,,2522.35416177767,,,,,"","SRID=4326;LINESTRING(9.57020189430614 56.4526117868392,9.56708978781776 56.4786417322128)"
72747,51501,51502,400000,,,50,,Energinet.dk,,1763.21281195425,,,,,"","SRID=4326;LINESTRING(9.57020189430614 56.4526117868392,9.57563589044757 56.4359046953137)"
81343,39942,40609,150000,,,50,,,,4941.36663160347,,,,,"","SRID=4326;LINESTRING(10.0331752050849 57.0483434833851,10.0895686033566 57.062844519292)"
72746,16260,51502,400000,3;6,3,50,,Energinet.dk,,31524.3625060174,,,,,"","SRID=4326;LINESTRING(9.37452428948958 56.191523958943,9.57563589044757 56.4359046953137)"
81296,6541,40572,400000;400000;0,1;2,,0,HVDC Skagerrak 4,Energinet.dk,,85603.4770689179,,,,,"","SRID=4326;LINESTRING(9.06630558463523 57.1261712399029,9.56708978781776 56.4786417322128)"
81388,6572,40642,400000,6;3;3;3;3;6,2,50,,Energinet.dk,,25612.8126669053,,,,,"","SRID=4326;LINESTRING(9.88476674734772 56.6624787172028,9.70723208200527 56.8176335391856)"
42284,2724,66473,400000,6;3;3;3;3,2,50,,Energinet.dk,,5478.29902172039,,,,,"","SRID=4326;LINESTRING(12.320538511307 55.6323746111997,12.2309672843228 55.6335570875336)"
81396,6572,6573,150000,3,,50,,,,2558.73125335824,,,,,"","SRID=4326;LINESTRING(9.88476674734772 56.6624787172028,9.88173994857657 56.6395646848908)"
15833,56580,29686,400000;150000,6,2;1,50,,Energinet.dk,,347.345510583467,,,,,"","SRID=4326;LINESTRING(10.0364002928722 56.1221870819766,10.0345047577912 56.1192421044433)"
81398,6573,40645,400000;150000;150000;400000;400000;150000;400000;400000;400000;400000,6;3;3;3;3;3;3;6;3;3;6;6,2;1;2;2;1,50,,Energinet.dk,,20239.4176415806,,,,,"","SRID=4326;LINESTRING(9.88173994857657 56.6395646848908,9.98125711295758 56.4687896716333)"
81400,40645,40646,150000,3,,50,,,,4266.64197044898,,,,,"","SRID=4326;LINESTRING(9.98125711295758 56.4687896716333,9.99910839367105 56.4311794642127)"
15410,6383,63584,400000,3,2,50,,Energinet.dk,,349.507268658562,,,,,"","SRID=4326;LINESTRING(9.3655270694563 55.2817339767266,9.3626170275563 55.2780052145327)"
81078,53876,6387,150000;400000;400000;150000;400000;150000,3;6;6,2,50,,Energinet.dk,,4707.64516462599,,,,,"","SRID=4326;LINESTRING(9.47623222298353 55.6650560383661,9.47682822631694 55.7085069348863)"
55156,6541,40753,250000;350000;350000;250000;350000;250000;350000;250000,2;1;3,1;2;2;1,0,HVDC Cross-Skagerak,Energinet.dk,,17964.0150661559,,,,,"","SRID=4326;LINESTRING(9.06630558463523 57.1261712399029,9.2801317753343 57.0174983881118)"
13230,6190,54965,400000,3,2,50,,Energinet.dk,,8128.02268949112,,,,,"","SRID=4326;LINESTRING(9.89625888533906 56.9896628362904,10.0063719485439 57.00667484175)"
81017,4713,40415,400000,3,2,50,,Energinet.dk,,2970.48941805484,,,,,"","SRID=4326;LINESTRING(9.54701365070164 55.5639658978636,9.59542763111154 55.5562180018263)"
