v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
55447,9.61410307487271,55.51256306805,merge,400000;150000,,400kV Skærbækværket;Skærbækværket,DONG,,SRID=4326;POINT(9.61410307487271 55.51256306805)
40572,9.56708978781776,56.4786417322128,substation,400000;350000;250000;150000,,Jævnstrømsstation Tjele,Energinet.dk,TJE,SRID=4326;POINT(9.56708978781776 56.4786417322128)
45189,9.35579687560526,54.8473628378115,substation,60000,,,,,SRID=4326;POINT(9.35579687560526 54.8473628378115)
6629,8.70644479377647,55.5316004383902,substation,400000;150000,,400 kV Endrup,Energinet.dk,,SRID=4326;POINT(8.70644479377647 55.5316004383902)
54967,10.1397885287495,56.2745648904955,merge,400000;220000;150000;60000;15000,,400/220/150 kV Trige;60/15kV station Trige,Energinet.dk,,SRID=4326;POINT(10.1397885287495 56.2745648904955)
19800,9.30717282797837,56.9885212574565,substation,,,,,,SRID=4326;POINT(9.30717282797837 56.9885212574565)
51501,9.57020189430614,56.4526117868392,substation,,,,,,SRID=4326;POINT(9.57020189430614 56.4526117868392)
6357,9.75186671503968,55.8618387337847,substation,150000;60000,,150/60 kV Hatting,Energinet.dk,HAT,SRID=4326;POINT(9.75186671503968 55.8618387337847)
40622,10.5414487765235,57.233778838104,substation,,,,,,SRID=4326;POINT(10.5414487765235 57.233778838104)
40646,9.99910839367105,56.4311794642127,substation,,,Kabelovergangsstation Tebbestrup,Energinet.dk,,SRID=4326;POINT(9.99910839367105 56.4311794642127)
8223,12.5002602040738,56.0829605424587,substation,,,,,,SRID=4326;POINT(12.5002602040738 56.0829605424587)
32474,12.2292912974972,55.6355932823096,joint,400000,50,,Energinet.dk,,SRID=4326;POINT(12.2292912974972 55.6355932823096)
6541,9.06630558463523,57.1261712399029,substation,,,Kabelstation Bulbjerg,Energinet.dk,,SRID=4326;POINT(9.06630558463523 57.1261712399029)
61514,9.43219918199127,55.5167060681165,joint,400000;150000,50,,Energinet.dk,,SRID=4326;POINT(9.43219918199127 55.5167060681165)
16260,9.37452428948958,56.191523958943,substation,,,,Energinet.dk,,SRID=4326;POINT(9.37452428948958 56.191523958943)
51502,9.57563589044757,56.4359046953137,substation,,,,Energinet.dk,,SRID=4326;POINT(9.57563589044757 56.4359046953137)
2724,12.320538511307,55.6323746111997,substation,400000;132000,,400/132 kV Ishøj,,,SRID=4326;POINT(12.320538511307 55.6323746111997)
42396,12.1992678305885,55.8946371141102,substation,400000;132000,,Gørløsegård,Energinet.dk,,SRID=4326;POINT(12.1992678305885 55.8946371141102)
36773,12.2337990176712,55.7322840086555,substation,400000;132000,,400/132 kV Hovegård,Energinet.dk,,SRID=4326;POINT(12.2337990176712 55.7322840086555)
54503,12.4832803657096,55.6026367586156,merge,400000,,Avedøre Værket,DONG Energy,,SRID=4326;POINT(12.4832803657096 55.6026367586156)
8316,12.3327915523145,55.7382531623606,substation,,,,,,SRID=4326;POINT(12.3327915523145 55.7382531623606)
13650,10.9201814596325,56.4267456298305,substation,,,Kabelstation Grenå Nord,Energinet.dk,,SRID=4326;POINT(10.9201814596325 56.4267456298305)
7458,9.55941544367962,55.797162975773,sub_station,60000;10000,,,,,SRID=4326;POINT(9.55941544367962 55.797162975773)
6361,10.1395838483305,56.0476614703391,substation,400000;150000;60000,,400/150 kV Malling,,MAL,SRID=4326;POINT(10.1395838483305 56.0476614703391)
50232,9.34945491187978,56.157620815783,substation,,,,Energinet.dk,,SRID=4326;POINT(9.34945491187978 56.157620815783)
6190,9.89625888533906,56.9896628362904,substation,,,Kabelovergangsstation Skudshale,,SKH,SRID=4326;POINT(9.89625888533906 56.9896628362904)
33557,10.0581035901366,56.155427800287,joint,150000;400000;150000;400000;150000,50,,Energinet.dk,,SRID=4326;POINT(10.0581035901366 56.155427800287)
13908,9.18312813162024,55.4832645809857,substation,,,Kabelstation Gamst,,GAT,SRID=4326;POINT(9.18312813162024 55.4832645809857)
63633,10.0708710757752,56.0873519127557,joint,150000;400000;150000;400000;150000,50,,Energinet.dk,,SRID=4326;POINT(10.0708710757752 56.0873519127557)
66473,12.2309672843228,55.6335570875336,joint,400000,50,,Energinet.dk,,SRID=4326;POINT(12.2309672843228 55.6335570875336)
29686,10.0345047577912,56.1192421044433,joint,400000;150000;150000,50,,Energinet.dk,,SRID=4326;POINT(10.0345047577912 56.1192421044433)
58386,9.38958166760819,54.9396731840284,joint,220000,50,,,,SRID=4326;POINT(9.38958166760819 54.9396731840284)
22608,9.39055750750133,54.9423008107464,joint,220000;220000;150000;150000,50,,Energinet.dk,,SRID=4326;POINT(9.39055750750133 54.9423008107464)
7974,9.29268368650707,57.006124891718,substation,,,,,,SRID=4326;POINT(9.29268368650707 57.006124891718)
4713,9.54701365070164,55.5639658978636,substation,400000;150000,,400kV/150kV Landerupgård,Energinet.dk,LAG,SRID=4326;POINT(9.54701365070164 55.5639658978636)
15101,9.79027345473509,55.4706099003553,substation,,,,Energinet.dk,,SRID=4326;POINT(9.79027345473509 55.4706099003553)
40609,10.0895686033566,57.062844519292,substation,400000;150000,50;0,Jævnstrømsstation Vester Hassing,Energinet.dk,Vester Hassing,SRID=4326;POINT(10.0895686033566 57.062844519292)
42382,12.4082294848106,55.6311443210147,substation,132000;50000,,Brøndbygård,,,SRID=4326;POINT(12.4082294848106 55.6311443210147)
8318,12.1901105160841,55.7912183598569,substation,132000;50000,,132kV Sperrestrupgård,,,SRID=4326;POINT(12.1901105160841 55.7912183598569)
40505,9.43342737750221,55.0187237565518,substation,220000;150000;60000,,150 kV Enstedværket,,,SRID=4326;POINT(9.43342737750221 55.0187237565518)
40753,9.2801317753343,57.0174983881118,substation,,,,,,SRID=4326;POINT(9.2801317753343 57.0174983881118)
5335,10.5057244243802,55.3659701480374,substation,400000;150000;60000,,400 kV Fraugde,,FGD,SRID=4326;POINT(10.5057244243802 55.3659701480374)
56580,10.0364002928722,56.1221870819766,joint,400000;150000;150000,50,,Energinet.dk,,SRID=4326;POINT(10.0364002928722 56.1221870819766)
5336,9.96831767217122,55.4110696487516,substation,400000;150000,,400/150 kV Kingstrup,Energinet.dk,KIN,SRID=4326;POINT(9.96831767217122 55.4110696487516)
63584,9.3626170275563,55.2780052145327,joint,400000;150000;150000;400000,50,,Energinet.dk,,SRID=4326;POINT(9.3626170275563 55.2780052145327)
6387,9.47682822631694,55.7085069348863,substation,,,,,,SRID=4326;POINT(9.47682822631694 55.7085069348863)
43945,11.3151404500124,55.5316872357027,substation,400000,50;0,Omformerstation Herslev,Energinet.dk,,SRID=4326;POINT(11.3151404500124 55.5316872357027)
