l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
74308,3162,37247,330000,3,3,50,Eesti EJ — Püssi 330 kV,Elering,L364,56825.4692867189,,,,,"","SRID=4326;LINESTRING(27.9039823740351 59.268521495195,27.066071653595 59.3689387218931)"
3671,67446,34061,,,,,,,,699.541733728702,,,,,"","SRID=4326;LINESTRING(25.5588838012536 58.3390057972039,25.5512883254391 58.3373189787618)"
68876,54023,15381,,,,,,,,8551.65757013987,,,,,"","SRID=4326;LINESTRING(25.5665674910276 58.3750339135111,25.4972205629611 58.3223267651786)"
7843,2219,54023,,,,,,,,672.137946598852,,,,,"","SRID=4326;LINESTRING(25.5550265252551 58.3779801125338,25.5665674910276 58.3750339135111)"
51098,49570,27534,330000;110000,6,1,50,,Elering,L507-2;L030;L106B,8002.32758544786,,,,,"","SRID=4326;LINESTRING(24.6394575645573 58.3772305845383,24.6563300859606 58.4384334752416)"
1527,67458,68186,,,,,,,,1902.16391851456,,,,,"","SRID=4326;LINESTRING(25.4520370135506 58.3551545002864,25.4236829933288 58.3635061779684)"
46668,27010,66999,,,,,,,,274.005158965119,,,,,"","SRID=4326;LINESTRING(25.5374327509211 58.3862385765511,25.5374863803435 58.3837695756729)"
50828,37247,61439,330000,3,2,50,Püssi — Rakvere 330 kV,Elering,L360,56221.1311318486,,,,,"","SRID=4326;LINESTRING(27.066071653595 59.3689387218931,26.324106220014 59.3522374959084)"
74620,58621,37333,330000;110000,6,,,Viljandi — Sindi 330 kV;Viljandi — Kilingi-Nõmme 110 kV,Elering,L507-2;L106A,43167.7128205144,,,,,"","SRID=4326;LINESTRING(25.553579608827 58.3731663672364,24.9838286060708 58.1574387273172)"
50829,54330,61439,330000,3,2,50,Rakvere — Kiisa 330 kV,Elering,L506,107443.578976561,,,,,"","SRID=4326;LINESTRING(24.7017760726433 59.2437049870906,26.324106220014 59.3522374959084)"
74629,37293,3252,330000,6;3,2,50,Paide — Sindi 330 kV,Elering,L346,75579.2228336648,,,,,"","SRID=4326;LINESTRING(25.5299886738133 58.8771109772942,24.6703561095255 58.4288933795457)"
32007,61406,25136,330000,3,3,,Tartu — Viljandi 330 kV,Elering,L507-1,850.396443198754,,,,,"","SRID=4326;LINESTRING(26.6840631306543 58.3818837681368,26.6735807794354 58.3784900118938)"
7840,58621,54023,330000;110000,6,,,Viljandi — Sindi 330 kV;Viljandi — Kilingi-Nõmme 110 kV,Elering,L507-2;L106A,658.646232003432,,,,,"","SRID=4326;LINESTRING(25.553579608827 58.3731663672364,25.5665674910276 58.3750339135111)"
11320,27492,54330,330000,6,3,,,Elering,L505,2366.03541690708,,,,,"","SRID=4326;LINESTRING(24.6883684107371 59.2624545066974,24.7017760726433 59.2437049870906)"
50778,67545,27471,330000;110000,6,3;2,,Tartu — Viljandi 330 kV;Puhja — Viljandi 110 kV,Elering,L507-1;L105B,21540.4838756578,,,,,"","SRID=4326;LINESTRING(25.9676168962019 58.4114745707409,26.3067099852109 58.3598404990614)"
