v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
3162,27.9039823740351,59.268521495195,substation,330000,,Eesti EJ alajaam,Elering,,SRID=4326;POINT(27.9039823740351 59.268521495195)
3161,26.6909671827114,58.3794496547687,substation,330000;110000;35000;15000;10000,50,Tartu alajaam,Elering;Elektrilevi,,SRID=4326;POINT(26.6909671827114 58.3794496547687)
37333,24.9838286060708,58.1574387273172,substation,110000;35000;15000,,Kilingi-Nõmme alajaam,Elering;Elektrilevi,,SRID=4326;POINT(24.9838286060708 58.1574387273172)
37252,24.5595434474774,59.3839023272943,substation,330000;110000;20000,,Harku ajajaam,Elering;Elektrilevi,,SRID=4326;POINT(24.5595434474774 59.3839023272943)
61406,26.6840631306543,58.3818837681368,joint,330000,,Tartu — Viljandi 330 kV;Balti — Tartu 330 kV;Tartu — Viljandi 330 kV;Balti — Tartu 330 kV,Elering,L507-1,SRID=4326;POINT(26.6840631306543 58.3818837681368)
66999,25.5374863803435,58.3837695756729,joint,,,,,,SRID=4326;POINT(25.5374863803435 58.3837695756729)
36334,25.5438807681989,58.3876951923443,station,,,,,,SRID=4326;POINT(25.5438807681989 58.3876951923443)
54330,24.7017760726433,59.2437049870906,merge,110000;330000;330000;220000;110000;35000;10000,,Kiisa AREJ;Kiisa alajaam,Elering,,SRID=4326;POINT(24.7017760726433 59.2437049870906)
54023,25.5665674910276,58.3750339135111,merge,110000;35000;15000;6000,50,Viljandi alajaam,Elering;Elektrilevi,,SRID=4326;POINT(25.5665674910276 58.3750339135111)
67446,25.5588838012536,58.3390057972039,joint,,,,,,SRID=4326;POINT(25.5588838012536 58.3390057972039)
37250,26.3300561179348,59.3519935706956,substation,330000;110000;35000;10000,,Rakvere alajaam,Elering;Elektrilevi,,SRID=4326;POINT(26.3300561179348 59.3519935706956)
34061,25.5512883254391,58.3373189787618,joint,,,,,,SRID=4326;POINT(25.5512883254391 58.3373189787618)
3252,24.6703561095255,58.4288933795457,substation,330000;110000,,Sindi alajaam,Elering;Elektrilevi,,SRID=4326;POINT(24.6703561095255 58.4288933795457)
2219,25.5550265252551,58.3779801125338,station,,,,,,SRID=4326;POINT(25.5550265252551 58.3779801125338)
37293,25.5299886738133,58.8771109772942,substation,330000;110000;35000;10000,,Paide alajaam,Elering;Elektrilevi,,SRID=4326;POINT(25.5299886738133 58.8771109772942)
27534,24.6563300859606,58.4384334752416,joint,110000;330000;330000;110000,50,Viljandi — Sindi 330 kV,Elering,L030;L106B,SRID=4326;POINT(24.6563300859606 58.4384334752416)
27531,24.6414303591636,58.3704832797855,joint,330000;110000;110000;330000;110000,50,Sindi — Papiniidu 110 kV;Viljandi — Sindi 330 kV;Kilingi-Nõmme — Kabli 110 kV,Elering,L507-2;L030;L106B,SRID=4326;POINT(24.6414303591636 58.3704832797855)
27492,24.6883684107371,59.2624545066974,joint,330000,50,Harku — Aruküla 330 kV;Harku — Kiisa,Elering,L504,SRID=4326;POINT(24.6883684107371 59.2624545066974)
