l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
17975,22966,22967,220000;110000,6,,,,,,215.010445916803,,,,,"","SRID=4326;LINESTRING(22.5729923133266 63.4463726038678,22.5705721621197 63.4447670074503)"
21450,29972,30270,440000,,2,,,,,4183.22900535963,,,,,"","SRID=4326;LINESTRING(27.6937870271527 62.9869395847936,27.6925902915312 62.9858545869928)"
80870,3014,40312,,,,,,,,3840.90197581411,,,,,"","SRID=4326;LINESTRING(23.880680016133 61.4999678799493,23.8154314448844 61.4915613691481)"
59756,42886,43559,,,,,,,,906.546059640004,,,,,"","SRID=4326;LINESTRING(23.5722197325094 61.5524353359531,23.5686753622712 61.5606996260443)"
17980,22967,22968,220000,3,,,,,,7079.19531039351,,,,,"","SRID=4326;LINESTRING(22.5705721621197 63.4447670074503,22.5053960644903 63.3884412721433)"
38239,65970,65971,,,,,,,,4719.0439319186,,,,,"","SRID=4326;LINESTRING(27.982915999722 60.7709713043414,28.0365088607519 60.7999702947348)"
22961,51724,23741,400000,3,2,,,,,16560.6726847712,,,,,"","SRID=4326;LINESTRING(24.0268913941738 61.3202717571392,23.9816212864074 61.4665936033211)"
1706,62978,62596,,,,,,,,4040.36573688961,,,,,"","SRID=4326;LINESTRING(21.7915215479646 61.5014876341462,21.7371704125201 61.5182307814226)"
37919,31901,59740,400000;110000,6,2;1,,,,,315.260086459352,,,,,"","SRID=4326;LINESTRING(22.0333605779322 61.4823498739555,22.0281896056622 61.483742208819)"
47197,33635,67093,400000,6;3;3,,,,,,27183.628886907,,,,,"","SRID=4326;LINESTRING(21.752466731067 61.1574482785488,22.2562479611136 61.1724332102899)"
57925,25219,42473,,,,,,,,9482.15471511719,,,,,"","SRID=4326;LINESTRING(23.4790049017897 61.4499554737449,23.6188130768125 61.4289456026587)"
38512,15143,59814,,,,,,,,1466.47911850514,,,,,"","SRID=4326;LINESTRING(24.1348077277477 60.0748695756559,24.1086582491102 60.0704082012653)"
77818,13644,53720,220000,3,,,,Svenska Kraftnät,,9864.19804834407,,,,,"","SRID=4326;LINESTRING(24.8797366862026 66.1423675474862,25.1205379726577 66.154272463605)"
47196,48704,67092,400000,3;6;3,,,,,,7539.10383835364,,,,,"","SRID=4326;LINESTRING(22.5859706240363 61.1510851102969,22.444038255976 61.1590333940766)"
37626,65904,65903,,,,,,,,1443.44377659404,,,,,"","SRID=4326;LINESTRING(28.5373825137184 60.9655535967535,28.5349761067353 60.9620201847892)"
70605,21646,50219,220000,3,,,,,,19933.3636658926,,,,,"","SRID=4326;LINESTRING(25.5431211344764 66.4249826755822,25.3343296836339 66.2691609804584)"
57320,47320,8013,400000,3,,,,,,104715.237556224,,,,,"","SRID=4326;LINESTRING(27.2124700136961 64.1053648992119,27.5210126391568 63.188058439941)"
3402,56628,21975,220000,3,,,,,,857.330127379797,,,,,"","SRID=4326;LINESTRING(23.0063032246169 63.7508674959689,23.0111181085507 63.7582969486184)"
61785,44848,44847,110000,3,2,,,,,2605.41062462276,,,,,"","SRID=4326;LINESTRING(25.1240705074998 61.9182019910065,25.1286005880083 61.8926759279627)"
27777,22610,24536,400000,3,,,,,,254.153077289341,,,,,"","SRID=4326;LINESTRING(24.9929459807421 60.7542363820701,24.9975891927826 60.7545185793679)"
12302,27063,54346,400000,6,,,,,,343.333864158972,,,,,"","SRID=4326;LINESTRING(24.8980952953432 60.6022880848126,24.9003866703875 60.607454226336)"
38129,31931,25893,,,,,,,,1194.125605836,,,,,"","SRID=4326;LINESTRING(28.0370960894531 61.0215560931301,28.0573551652351 61.0257390726294)"
32380,56541,59077,400000,3,,,,,,4324.7698185787,,,,,"","SRID=4326;LINESTRING(23.5825957457454 61.3928535783753,23.5157309052134 61.4084802055552)"
49965,53717,27379,400000,3,,,,,,80724.6338625399,,,,,"","SRID=4326;LINESTRING(27.1426964010884 66.339511541358,25.3888231059962 66.2696144980433)"
15810,62596,22665,,3,,,,,,0.547053093049608,,,,,"","SRID=4326;LINESTRING(21.7371704125201 61.5182307814226,21.7367189048102 61.5183042028184)"
15551,27639,56542,400000,3,,,,Fingrid,,9679.634997234,,,,,"","SRID=4326;LINESTRING(23.9468651985702 61.4456664028022,23.7991906998562 61.3984394072563)"
40636,28156,26239,,,,,,,,28.6796811884839,,,,,"","SRID=4326;LINESTRING(27.3920876593181 61.6358464819871,27.39154058531 61.6357921973002)"
37920,63624,59740,400000,3,2,,,,,1114.73085407245,,,,,"","SRID=4326;LINESTRING(22.0098661298229 61.4870355737732,22.0281896056622 61.483742208819)"
37631,65903,31873,,,,,,,,52.0096896428091,,,,,"","SRID=4326;LINESTRING(28.5349761067353 60.9620201847892,28.5340769829674 60.9622072858297)"
74233,7580,3157,110000,,,,,,,31784.5981765407,,,,,"","SRID=4326;LINESTRING(24.3708007001991 61.6846183726694,23.9771194114508 61.4966659718518)"
4251,22660,55947,,,,,,,,12511.8397140192,,,,,"","SRID=4326;LINESTRING(23.529957524368 60.818435282575,23.354116000474 60.8911233917664)"
67701,62261,48704,400000,3,3,,,,,19.7426558907337,,,,,"","SRID=4326;LINESTRING(22.5890538312806 61.1512215776187,22.5859706240363 61.1510851102969)"
44566,6710,62300,400000,3,3,,,,,4937.61861378199,,,,,"","SRID=4326;LINESTRING(25.2069022923423 60.2670395985067,25.1183411824316 60.2618333681477)"
61269,44511,44512,110000,3,,,,,,118.448438402562,,,,,"","SRID=4326;LINESTRING(24.7141373430685 65.9307187889974,24.7130391330895 65.9282100018419)"
59731,9590,9591,220000,3,2,,,,,3364.6750310908,,,,,"","SRID=4326;LINESTRING(23.6570165477312 64.0434204585078,23.6068319304057 64.0217704706835)"
38531,66021,31993,,,,,,,,203.34761166458,,,,,"","SRID=4326;LINESTRING(28.1359131961575 60.9162258097169,28.1376349970626 60.9178566065147)"
38770,32019,66042,,,,,,,,73.8439135652008,,,,,"","SRID=4326;LINESTRING(24.1091739719148 60.0697974765224,24.1092208639726 60.0704687980252)"
65815,38959,13644,400000,3,,,,,,33969.3263023267,,,,,"","SRID=4326;LINESTRING(24.5259618309537 65.8883007028504,24.8797366862026 66.1423675474862)"
81424,31900,6585,110000,3,,,,,,6197.40461375176,,,,,"","SRID=4326;LINESTRING(22.0839311470202 61.4501576867591,21.9825968357266 61.4782860882047)"
62020,32039,11017,,,,,,,,2827.82171498499,,,,,"","SRID=4326;LINESTRING(24.9611128311764 60.4175385109052,24.9239355654957 60.4007169531424)"
10181,10439,55273,220000,3,1,,,,,286250.63379719,,,,,"","SRID=4326;LINESTRING(26.7092199191448 64.578212548682,25.1456505940596 62.2788432685043)"
38125,31932,65956,,,,,,,,1633.06879275177,,,,,"","SRID=4326;LINESTRING(28.0574533510957 61.0255227979221,28.0803828487228 61.0187224911124)"
51864,63623,33635,400000,3,,,,,,6646.87390950857,,,,,"","SRID=4326;LINESTRING(21.6527946977067 61.1895340891885,21.752466731067 61.1574482785488)"
26130,29715,30717,220000,3,2,,,,,104793.225055819,,,,,"","SRID=4326;LINESTRING(22.9977678819448 63.710317388429,22.7150438973513 62.7873979047845)"
37807,14995,59723,,,,,,,,70.1750946908924,,,,,"","SRID=4326;LINESTRING(21.3750120813524 62.4823064378808,21.3775808085514 62.4820546037214)"
59425,30379,9395,220000;110000;110000;220000;220000,6;3;3;3,,,,,,4303.17336680979,,,,,"","SRID=4326;LINESTRING(21.8346889002017 63.0131914040141,21.851560300106 63.0527007743542)"
37632,65904,31873,,,,,,,,533.014897941952,,,,,"","SRID=4326;LINESTRING(28.5373825137184 60.9655535967535,28.5340769829674 60.9622072858297)"
66128,13766,47777,,,,,,,,9590.37222201629,,,,,"","SRID=4326;LINESTRING(24.0906580059529 60.2497407159716,23.9958804227962 60.1796508203325)"
37625,31662,65902,,,,,,,,8371.37666788692,,,,,"","SRID=4326;LINESTRING(28.4676788172255 61.0081614012474,28.5540711455722 61.0325712888247)"
1281,63636,28625,,3,,,,,,49764.4356871321,,,,,"","SRID=4326;LINESTRING(21.649569296679 61.8585825767689,22.0664102099591 61.5003279887745)"
74232,44847,3157,400000,3,2;3,,,,KA-TO,81505.6278384182,,,,,"","SRID=4326;LINESTRING(25.1286005880083 61.8926759279627,23.9771194114508 61.4966659718518)"
896,31839,28568,,,,,,,,4860.38781768325,,,,,"","SRID=4326;LINESTRING(28.2049255492078 60.9655720824769,28.1370933795012 60.9378391495969)"
57344,22081,8023,,,,,,,,5697.11733432359,,,,,"","SRID=4326;LINESTRING(26.6303324604985 60.5196298802057,26.5394284196875 60.4952274607126)"
50126,55273,61370,220000,3,1,,,,,210041.520386276,,,,,"","SRID=4326;LINESTRING(25.1456505940596 62.2788432685043,25.4642099941341 64.1171060046609)"
78043,19022,53867,110000,3,,,,,,16502.8237878826,,,,,"","SRID=4326;LINESTRING(28.415931048646 64.5912705206707,28.075260670092 64.5662209424184)"
17981,56860,22968,220000;110000,6,,,,,,238.30585285791,,,,,"","SRID=4326;LINESTRING(22.5033949773634 63.3864921050928,22.5053960644903 63.3884412721433)"
77867,53717,19954,400000,3,,,,,,63529.7963005806,,,,,"","SRID=4326;LINESTRING(27.1426964010884 66.339511541358,26.5584684086073 65.8204789921968)"
47198,67092,67093,400000,3,,,,,,10625.0092470793,,,,,"","SRID=4326;LINESTRING(22.444038255976 61.1590333940766,22.2562479611136 61.1724332102899)"
40617,32239,32240,,,,,,,,31.9975522508739,,,,,"","SRID=4326;LINESTRING(27.3189107166106 61.6612446740117,27.3187892643842 61.6609547100506)"
81418,6585,6583,400000;400000;110000;110000,3;6;3,,,,,,9556.23171465986,,,,,"","SRID=4326;LINESTRING(21.9825968357266 61.4782860882047,21.953735039973 61.3948834544318)"
59790,21325,9629,,,,,,,,10517.3576315241,,,,,"","SRID=4326;LINESTRING(22.7128693117519 62.7852365525025,22.5808003089439 62.7137299799569)"
81496,6636,6633,,3,,,,,,19384.5209086958,,,,,"","SRID=4326;LINESTRING(22.0345697174221 62.544147390688,21.9814972068465 62.7054689985946)"
49967,9370,27379,400000,3,2,,,,,166749.056717337,,,,,"","SRID=4326;LINESTRING(26.0729072941333 64.8439287820642,25.3888231059962 66.2696144980433)"
38388,35786,31970,,,,,,,,1449.16326840872,,,,,"","SRID=4326;LINESTRING(24.1872032544609 60.0723899982307,24.17552237099 60.0813675911516)"
35114,3157,25522,,,,,,,,14287.5569446613,,,,,"","SRID=4326;LINESTRING(23.9771194114508 61.4966659718518,23.9790529131786 61.6268092876592)"
58693,41682,8916,220000,3,2,,,,,13381.5542854754,,,,,"","SRID=4326;LINESTRING(24.2069870750657 64.2761307090016,24.4095874620569 64.3602152285)"
68820,2661,2662,,,,,,,,6348.70359042552,,,,,"","SRID=4326;LINESTRING(24.9525275327325 60.3589759486815,24.9846931158585 60.3162648867358)"
59792,65555,43576,,3,,,,,,945.265892503246,,,,,"","SRID=4326;LINESTRING(22.3749128050315 62.5897057984762,22.392774203888 62.5939303338059)"
49588,55273,27348,110000,3,,,,,,460.168604134675,,,,,"","SRID=4326;LINESTRING(25.1456505940596 62.2788432685043,25.1350733825767 62.2807769922798)"
44567,54142,62300,400000;110000;400000;110000,3,3;2,,,,,85.9169831450097,,,,,"","SRID=4326;LINESTRING(25.1194024163297 60.2592700500212,25.1183411824316 60.2618333681477)"
38533,31992,31993,,,,,,,,1364.15784363044,,,,,"","SRID=4326;LINESTRING(28.1430938793811 60.9062186943982,28.1376349970626 60.9178566065147)"
59400,5889,9371,220000,3,2,,,,,17013.4817908264,,,,,"","SRID=4326;LINESTRING(25.5646227113902 65.0439341010341,25.7384393817455 64.9165397950795)"
38771,59814,66042,,,,,,,,31.0475315568955,,,,,"","SRID=4326;LINESTRING(24.1086582491102 60.0704082012653,24.1092208639726 60.0704687980252)"
38769,15143,66042,,,,,,,,1771.56748366722,,,,,"","SRID=4326;LINESTRING(24.1348077277477 60.0748695756559,24.1092208639726 60.0704687980252)"
3661,53752,28938,,,,,,,,719.904588681103,,,,,"","SRID=4326;LINESTRING(26.7117014018682 67.8578676676876,26.7297713724038 67.8557429894321)"
15843,6600,63636,,3,,,,,,6485.14534240501,,,,,"","SRID=4326;LINESTRING(21.5255956988451 61.8592363174025,21.649569296679 61.8585825767689)"
1278,62545,21778,,,,,,,,6280.77437738784,,,,,"","SRID=4326;LINESTRING(22.0896423329768 61.4129593848468,22.0697684895194 61.4685781877734)"
32400,31121,65235,,,,,,,,4493.53615937351,,,,,"","SRID=4326;LINESTRING(24.1749363999302 60.0854768714627,24.2220729791815 60.1159236984322)"
41285,26318,66323,400000,3,3,,,,,11457.9861944099,,,,,"","SRID=4326;LINESTRING(25.9773787087313 60.474073707779,25.7915027237394 60.4325879036045)"
32402,46782,65235,,,,,,,,990.217329074241,,,,,"","SRID=4326;LINESTRING(24.238271117119 60.121062113811,24.2220729791815 60.1159236984322)"
37628,31662,65904,,,,,,,,6736.71954970102,,,,,"","SRID=4326;LINESTRING(28.4676788172255 61.0081614012474,28.5373825137184 60.9655535967535)"
5161,44320,56030,,,,,,,,2854.82260725729,,,,,"","SRID=4326;LINESTRING(23.3996422152494 60.928690382622,23.3906825465541 60.9028184380807)"
78148,21646,53934,,,,,,,,28297.7481176862,,,,,"","SRID=4326;LINESTRING(25.5431211344764 66.4249826755822,26.1287765120458 66.4906362613901)"
61784,44848,44847,400000,3,3,,,,,2565.93186158506,,,,,"","SRID=4326;LINESTRING(25.1240705074998 61.9182019910065,25.1286005880083 61.8926759279627)"
70604,16241,50219,220000;400000,3,,,,,,582.207481175932,,,,,"","SRID=4326;LINESTRING(25.3471148425258 66.2691008227403,25.3343296836339 66.2691609804584)"
1279,21778,28625,,,,,,,,3488.42928348685,,,,,"","SRID=4326;LINESTRING(22.0697684895194 61.4685781877734,22.0664102099591 61.5003279887745)"
1247,2661,62541,,,,,,,,9221.78521359932,,,,,"","SRID=4326;LINESTRING(24.9525275327325 60.3589759486815,24.9538205550596 60.4420163229895)"
38243,66522,65972,,,,,,,,8866.21774199415,,,,,"","SRID=4326;LINESTRING(28.1325404714233 60.8603756060745,28.0367912910772 60.800205898248)"
919,51684,28572,,,,,,,,1132.8694760638,,,,,"","SRID=4326;LINESTRING(27.2792200413379 61.6658376172771,27.3021669169707 61.6645754915984)"
70602,67589,50219,400000,3,,50,,Svenska Kraftnät,,64266.6562175932,,,,,"","SRID=4326;LINESTRING(23.9366168584829 66.1819049035085,25.3343296836339 66.2691609804584)"
77868,53717,53755,220000,3,,,,,,21251.0440300777,,,,,"","SRID=4326;LINESTRING(27.1426964010884 66.339511541358,26.6851012282042 66.3708533322878)"
3871,28974,28975,400000,3,3,,,,,5072.55221085806,,,,,"","SRID=4326;LINESTRING(24.4298267715589 60.3515301614288,24.5016698913778 60.3790007713163)"
5862,56114,22196,220000,3,,,,,,5236.56692793805,,,,,"","SRID=4326;LINESTRING(27.25561970896 66.713254389215,27.2946624070448 66.7577605194034)"
78090,28938,53887,,,,,,,,1772.49129664914,,,,,"","SRID=4326;LINESTRING(26.7297713724038 67.8557429894321,26.7083360702611 67.856120133156)"
40646,31924,66257,,,,,,,,4400.42349491047,,,,,"","SRID=4326;LINESTRING(27.3524444668407 61.6991304979892,27.3504432000507 61.6645111858912)"
51807,61600,27639,400000,6,,,,,,2642.06565571545,,,,,"","SRID=4326;LINESTRING(23.9769052209973 61.4645260059038,23.9468651985702 61.4456664028022)"
48778,32091,33228,,,,,,,,4078.8671423747,,,,,"","SRID=4326;LINESTRING(26.4558079543241 60.6248147897274,26.4651145904991 60.5891447719381)"
3404,40957,21975,220000,3,,,,,,7294.66491516707,,,,,"","SRID=4326;LINESTRING(23.0951180133965 63.81338719358,23.0111181085507 63.7582969486184)"
61270,44511,44512,110000,3,,,,,,140.866509581114,,,,,"","SRID=4326;LINESTRING(24.7141373430685 65.9307187889974,24.7130391330895 65.9282100018419)"
68061,6632,14996,,3,,,,,,18234.9595878272,,,,,"","SRID=4326;LINESTRING(21.7359293620252 62.4919721007932,21.4066435279611 62.4770071725737)"
15906,6631,56593,,3,,,,,,944.221126158185,,,,,"","SRID=4326;LINESTRING(22.1412625578301 62.4263937547194,22.1259953890198 62.4318061907211)"
22551,44364,64342,,,,,,,,1631.06021494593,,,,,"","SRID=4326;LINESTRING(22.8214461069592 62.7996075415847,22.7959746484336 62.8094817019894)"
81495,6634,6632,,3,,,,,,11309.5977696677,,,,,"","SRID=4326;LINESTRING(21.9387833401705 62.5296860896582,21.7359293620252 62.4919721007932)"
77866,30567,19954,400000,3,,,,,,104858.582622187,,,,,"","SRID=4326;LINESTRING(25.7434330644024 64.9443387003374,26.5584684086073 65.8204789921968)"
22963,61600,30409,400000,3,,,,,,606.35052562551,,,,,"","SRID=4326;LINESTRING(23.9769052209973 61.4645260059038,23.9814456657693 61.4691550916632)"
13248,18605,20336,400000,3,,,,,,22308.7701191558,,,,,"","SRID=4326;LINESTRING(27.6024107539783 62.0147425688165,27.6715841799745 62.2125275841645)"
9233,22081,21137,400000,3,3,,,,,10699.5265025753,,,,,"","SRID=4326;LINESTRING(26.6303324604985 60.5196298802057,26.4503578585538 60.493260570484)"
38421,31930,31978,,,,,,,,14675.0960629665,,,,,"","SRID=4326;LINESTRING(28.1008473692104 61.0021112034879,28.3096790826357 61.040875900193)"
27776,58415,24536,400000,3,2,,,,,21.0826195960099,,,,,"","SRID=4326;LINESTRING(24.9976185676924 60.7543211731831,24.9975891927826 60.7545185793679)"
81422,63027,6585,400000,3,,,,,,591.066181053495,,,,,"","SRID=4326;LINESTRING(21.9884997007901 61.4834516098942,21.9825968357266 61.4782860882047)"
40791,28749,26257,400000;110000,6,3;1,,,,,9438.47878652444,,,,,"","SRID=4326;LINESTRING(24.7762854689335 60.4019254607158,24.922998301818 60.3581984005468)"
58021,21325,8489,400000,3,2,,,,,79160.8274712455,,,,,"","SRID=4326;LINESTRING(22.7128693117519 62.7852365525025,24.1674136485227 63.0325581572119)"
