v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
43559,23.5686753622712,61.5606996260443,sub_station,,,,,,SRID=4326;POINT(23.5686753622712 61.5606996260443)
42886,23.5722197325094,61.5524353359531,substation,,,,,,SRID=4326;POINT(23.5722197325094 61.5524353359531)
35786,24.1872032544609,60.0723899982307,sub_station,,,,,,SRID=4326;POINT(24.1872032544609 60.0723899982307)
43855,22.8645284564471,62.8086808948174,sub_station,,,,,,SRID=4326;POINT(22.8645284564471 62.8086808948174)
29715,22.9977678819448,63.710317388429,joint,220000,,,,,SRID=4326;POINT(22.9977678819448 63.710317388429)
53885,27.5224100305095,66.7320877505591,substation,,,,,,SRID=4326;POINT(27.5224100305095 66.7320877505591)
55945,21.6598533928824,61.1891696179609,joint,400000;400000;110000,,,,,SRID=4326;POINT(21.6598533928824 61.1891696179609)
59814,24.1086582491102,60.0704082012653,joint,,,,,,SRID=4326;POINT(24.1086582491102 60.0704082012653)
67093,22.2562479611136,61.1724332102899,joint,400000,,,,,SRID=4326;POINT(22.2562479611136 61.1724332102899)
35818,24.1052968431485,60.0674909989479,sub_station,,,,,,SRID=4326;POINT(24.1052968431485 60.0674909989479)
51381,24.9185837893046,67.527900661357,substation,220000;110000,,,,,SRID=4326;POINT(24.9185837893046 67.527900661357)
31662,28.4676788172255,61.0081614012474,joint,,,,,,SRID=4326;POINT(28.4676788172255 61.0081614012474)
40957,23.0951180133965,63.81338719358,substation,220000;110000,,,,,SRID=4326;POINT(23.0951180133965 63.81338719358)
2960,28.1785370214895,61.042544886569,sub_station,,,,,,SRID=4326;POINT(28.1785370214895 61.042544886569)
15143,24.1348077277477,60.0748695756559,substation,,,,,,SRID=4326;POINT(24.1348077277477 60.0748695756559)
63624,22.0098661298229,61.4870355737732,joint,110000;400000;400000;110000,,,,,SRID=4326;POINT(22.0098661298229 61.4870355737732)
12626,24.4259327188504,61.7918833493397,sub_station,,,,,,SRID=4326;POINT(24.4259327188504 61.7918833493397)
28749,24.7762854689335,60.4019254607158,joint,400000;110000,,,,,SRID=4326;POINT(24.7762854689335 60.4019254607158)
25522,23.9790529131786,61.6268092876592,joint,,,,,,SRID=4326;POINT(23.9790529131786 61.6268092876592)
32039,24.9611128311764,60.4175385109052,joint,,,,,,SRID=4326;POINT(24.9611128311764 60.4175385109052)
26239,27.39154058531,61.6357921973002,joint,,,,,,SRID=4326;POINT(27.39154058531 61.6357921973002)
22612,23.5904154904622,61.3919989720238,joint,400000,,,,,SRID=4326;POINT(23.5904154904622 61.3919989720238)
62978,21.7915215479646,61.5014876341462,joint,,,,,,SRID=4326;POINT(21.7915215479646 61.5014876341462)
9371,25.7384393817455,64.9165397950795,substation,400000;110000,,,,,SRID=4326;POINT(25.7384393817455 64.9165397950795)
64210,23.4120221124608,61.5472313879859,joint,,,,,,SRID=4326;POINT(23.4120221124608 61.5472313879859)
1487,24.1588531427463,60.0855774913309,sub_station,,,,,,SRID=4326;POINT(24.1588531427463 60.0855774913309)
38959,24.5259618309537,65.8883007028504,substation,400000;110000,,Keminmaan sähköasema,Fingrid Oyj,,SRID=4326;POINT(24.5259618309537 65.8883007028504)
27348,25.1350733825767,62.2807769922798,joint,400000;110000;400000,,,,,SRID=4326;POINT(25.1350733825767 62.2807769922798)
53867,28.075260670092,64.5662209424184,substation,110000,,,,,SRID=4326;POINT(28.075260670092 64.5662209424184)
18157,24.208653340618,60.3039568220284,substation,,,,,,SRID=4326;POINT(24.208653340618 60.3039568220284)
31992,28.1430938793811,60.9062186943982,joint,,,,,,SRID=4326;POINT(28.1430938793811 60.9062186943982)
22116,26.0721780001235,64.8468948546584,joint,,,,,,SRID=4326;POINT(26.0721780001235 64.8468948546584)
25893,28.0573551652351,61.0257390726294,joint,,,,,,SRID=4326;POINT(28.0573551652351 61.0257390726294)
29442,25.5642366823686,65.0393443800801,joint,,,,,,SRID=4326;POINT(25.5642366823686 65.0393443800801)
27379,25.3888231059962,66.2696144980433,joint,400000,,,,,SRID=4326;POINT(25.3888231059962 66.2696144980433)
31663,28.4581171493413,61.0163204882991,joint,,,,,,SRID=4326;POINT(28.4581171493413 61.0163204882991)
66323,25.7915027237394,60.4325879036045,joint,400000,,,,,SRID=4326;POINT(25.7915027237394 60.4325879036045)
62261,22.5890538312806,61.1512215776187,joint,400000,,,,,SRID=4326;POINT(22.5890538312806 61.1512215776187)
45214,24.3407817539949,60.3471619698631,sub_station,,,,,,SRID=4326;POINT(24.3407817539949 60.3471619698631)
43684,23.4340722061227,61.4638745709409,substation,110000,,,,,SRID=4326;POINT(23.4340722061227 61.4638745709409)
32240,27.3187892643842,61.6609547100506,joint,,,,,,SRID=4326;POINT(27.3187892643842 61.6609547100506)
63622,21.5855384612053,61.2070835037,joint,400000,,,,,SRID=4326;POINT(21.5855384612053 61.2070835037)
31970,24.17552237099,60.0813675911516,joint,,,,,,SRID=4326;POINT(24.17552237099 60.0813675911516)
6585,21.9825968357266,61.4782860882047,substation,400000;110000,,,,,SRID=4326;POINT(21.9825968357266 61.4782860882047)
31209,24.1551040239081,60.0799494748797,joint,,,,,,SRID=4326;POINT(24.1551040239081 60.0799494748797)
55273,25.1456505940596,62.2788432685043,merge,110000,,,,,SRID=4326;POINT(25.1456505940596 62.2788432685043)
22679,22.0961615299504,62.9727126813413,joint,400000;110000,50,Seinäjoki-Tuovila,Fingrid Oyj,,SRID=4326;POINT(22.0961615299504 62.9727126813413)
32511,28.1387541182435,60.85770527586,joint,,,,,,SRID=4326;POINT(28.1387541182435 60.85770527586)
30801,25.6122293560858,60.4313117894134,joint,400000,,,,,SRID=4326;POINT(25.6122293560858 60.4313117894134)
68119,27.3580389947671,68.3340324806857,joint,,,,,,SRID=4326;POINT(27.3580389947671 68.3340324806857)
62596,21.7371704125201,61.5182307814226,joint,,,,,,SRID=4326;POINT(21.7371704125201 61.5182307814226)
19923,27.1504951298759,66.3399465814109,plant,,,,,,SRID=4326;POINT(27.1504951298759 66.3399465814109)
30800,25.5849328783679,60.4290525791872,joint,400000,,,,,SRID=4326;POINT(25.5849328783679 60.4290525791872)
65970,27.982915999722,60.7709713043414,joint,,,,,,SRID=4326;POINT(27.982915999722 60.7709713043414)
21188,23.9143553046743,60.018763340596,merge,400000;110000,,Inkoon voimalaitos,Fortum Power and Heat Oy,,SRID=4326;POINT(23.9143553046743 60.018763340596)
5889,25.5646227113902,65.0439341010341,substation,220000;110000,,,,,SRID=4326;POINT(25.5646227113902 65.0439341010341)
25783,23.5673843933764,61.5070112045673,joint,,,,,,SRID=4326;POINT(23.5673843933764 61.5070112045673)
52809,28.4982868893225,64.666913153967,substation,,,,,,SRID=4326;POINT(28.4982868893225 64.666913153967)
2647,24.9711744104472,60.2881845936679,substation,400000;110000,,Tammiston sähköasema,Fingrid,,SRID=4326;POINT(24.9711744104472 60.2881845936679)
64342,22.7959746484336,62.8094817019894,joint,,,,,,SRID=4326;POINT(22.7959746484336 62.8094817019894)
11017,24.9239355654957,60.4007169531424,sub_station,,,,,,SRID=4326;POINT(24.9239355654957 60.4007169531424)
31931,28.0370960894531,61.0215560931301,joint,,,,,,SRID=4326;POINT(28.0370960894531 61.0215560931301)
44848,25.1240705074998,61.9182019910065,substation,220000;110000,,,,,SRID=4326;POINT(25.1240705074998 61.9182019910065)
65904,28.5373825137184,60.9655535967535,joint,,,,,,SRID=4326;POINT(28.5373825137184 60.9655535967535)
29673,21.6529297144939,61.1898235750934,joint,400000,,,,,SRID=4326;POINT(21.6529297144939 61.1898235750934)
22613,23.7604623516641,61.405030200691,joint,400000,,,,,SRID=4326;POINT(23.7604623516641 61.405030200691)
18128,24.4473416128211,60.4025226637768,substation,,,,,,SRID=4326;POINT(24.4473416128211 60.4025226637768)
43871,24.9442844806556,60.493838416745,substation,400000;110000,,,,,SRID=4326;POINT(24.9442844806556 60.493838416745)
40041,25.0104085389388,60.3483278565723,sub_station,,,,,,SRID=4326;POINT(25.0104085389388 60.3483278565723)
41591,24.0446922249904,64.2080682494208,substation,110000,,,,,SRID=4326;POINT(24.0446922249904 64.2080682494208)
67271,26.4773156883511,60.5812118887991,joint,,,,,,SRID=4326;POINT(26.4773156883511 60.5812118887991)
10439,26.7092199191448,64.578212548682,substation,220000,,,,,SRID=4326;POINT(26.7092199191448 64.578212548682)
50219,25.3343296836339,66.2691609804584,substation,220000,,,,,SRID=4326;POINT(25.3343296836339 66.2691609804584)
65679,28.3467090759516,61.0592480920145,joint,,,,,,SRID=4326;POINT(28.3467090759516 61.0592480920145)
9403,25.4153732656803,64.1209614131065,substation,220000,,,,,SRID=4326;POINT(25.4153732656803 64.1209614131065)
28950,24.4323633315964,61.7912676117615,joint,,,,,,SRID=4326;POINT(24.4323633315964 61.7912676117615)
30566,26.0241185919533,64.8512352763251,joint,,,,,,SRID=4326;POINT(26.0241185919533 64.8512352763251)
18601,27.3660937892141,61.7289965233642,substation,400000;110000,,,,,SRID=4326;POINT(27.3660937892141 61.7289965233642)
42473,23.6188130768125,61.4289456026587,plant,,,,,,SRID=4326;POINT(23.6188130768125 61.4289456026587)
10438,26.4754289130159,64.7368648899156,substation,220000,,,,,SRID=4326;POINT(26.4754289130159 64.7368648899156)
65973,27.9703838726878,60.7723650813154,joint,,,,,,SRID=4326;POINT(27.9703838726878 60.7723650813154)
66757,21.861562990073,63.0446551737653,joint,400000;110000,50,Seinäjoki-Tuovila,Fingrid Oyj,,SRID=4326;POINT(21.861562990073 63.0446551737653)
44511,24.7141373430685,65.9307187889974,plant,,,,,,SRID=4326;POINT(24.7141373430685 65.9307187889974)
56860,22.5033949773634,63.3864921050928,joint,110000;220000;220000;110000,,,,,SRID=4326;POINT(22.5033949773634 63.3864921050928)
56577,21.7907610133137,61.5101457056856,joint,,,,,,SRID=4326;POINT(21.7907610133137 61.5101457056856)
46623,25.1585510172444,61.9159733020621,sub_station,,,,,,SRID=4326;POINT(25.1585510172444 61.9159733020621)
59076,23.499230200917,61.4213514936895,joint,400000,,,,,SRID=4326;POINT(23.499230200917 61.4213514936895)
18683,21.3761803040601,62.2927987856423,substation,400000;110000,,,,,SRID=4326;POINT(21.3761803040601 62.2927987856423)
53887,26.7083360702611,67.856120133156,substation,,,,,,SRID=4326;POINT(26.7083360702611 67.856120133156)
61107,28.5282662305521,64.6554297917767,joint,,,,,,SRID=4326;POINT(28.5282662305521 64.6554297917767)
67451,25.2019666098717,66.9923723079269,joint,110000;220000;220000;110000,,,,,SRID=4326;POINT(25.2019666098717 66.9923723079269)
61600,23.9769052209973,61.4645260059038,joint,400000,,,,,SRID=4326;POINT(23.9769052209973 61.4645260059038)
26257,24.922998301818,60.3581984005468,joint,400000;110000;400000;110000,,,,,SRID=4326;POINT(24.922998301818 60.3581984005468)
30717,22.7150438973513,62.7873979047845,joint,220000,,,,,SRID=4326;POINT(22.7150438973513 62.7873979047845)
43359,22.7879893748463,62.7770495451837,substation,,,,,,SRID=4326;POINT(22.7879893748463 62.7770495451837)
67270,26.4674282015134,60.5876211893929,joint,,,,,,SRID=4326;POINT(26.4674282015134 60.5876211893929)
2764,24.5506949242459,60.2048282062132,substation,400000;110000,,,,,SRID=4326;POINT(24.5506949242459 60.2048282062132)
40312,23.8154314448844,61.4915613691481,sub_station,,,,,,SRID=4326;POINT(23.8154314448844 61.4915613691481)
60650,23.7403156551241,60.7589616087728,joint,110000;400000;110000,,,,,SRID=4326;POINT(23.7403156551241 60.7589616087728)
65836,28.2578137717288,60.9199515697547,joint,400000,,,,,SRID=4326;POINT(28.2578137717288 60.9199515697547)
22968,22.5053960644903,63.3884412721433,joint,220000;110000;220000;110000,,,,,SRID=4326;POINT(22.5053960644903 63.3884412721433)
31930,28.1008473692104,61.0021112034879,joint,,,,,,SRID=4326;POINT(28.1008473692104 61.0021112034879)
46782,24.238271117119,60.121062113811,substation,,,,,,SRID=4326;POINT(24.238271117119 60.121062113811)
43357,25.9547146646285,64.817335853643,sub_station,,,,,,SRID=4326;POINT(25.9547146646285 64.817335853643)
42966,24.291756278347,64.4631748356583,substation,,,,,,SRID=4326;POINT(24.291756278347 64.4631748356583)
2493,24.6305525450505,60.2168546528394,sub_station,,,,,,SRID=4326;POINT(24.6305525450505 60.2168546528394)
48920,21.4527027957475,62.6147572375483,sub_station,,,,,,SRID=4326;POINT(21.4527027957475 62.6147572375483)
21975,23.0111181085507,63.7582969486184,joint,220000;110000,,,,,SRID=4326;POINT(23.0111181085507 63.7582969486184)
66257,27.3504432000507,61.6645111858912,joint,,,,,,SRID=4326;POINT(27.3504432000507 61.6645111858912)
29972,27.6937870271527,62.9869395847936,joint,440000;110000,,,,,SRID=4326;POINT(27.6937870271527 62.9869395847936)
22665,21.7367189048102,61.5183042028184,joint,,,,,,SRID=4326;POINT(21.7367189048102 61.5183042028184)
27813,25.0851752923104,60.2758365794772,joint,110000;400000;110000,,,,,SRID=4326;POINT(25.0851752923104 60.2758365794772)
19955,27.3198557282041,67.2249561235761,substation,220000;110000,,,,,SRID=4326;POINT(27.3198557282041 67.2249561235761)
