l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
4982,7864,63104,225000,3,1,50,,RTE,,1449.9865920913,,,,,"","SRID=4326;LINESTRING(3.80033661099728 45.0451075088105,3.78391058040093 45.04211430259)"
18324,56778,63920,225000,,,,,RTE,,78628.8520467679,,,,,"","SRID=4326;LINESTRING(1.38639782575547 43.5239726933945,1.59905088256796 42.8601860937955)"
63216,32898,45847,225000,3,,,,RTE,,3773.83235901921,,,,,"","SRID=4326;LINESTRING(2.62179900321315 48.9599339145566,2.57559960916253 48.9761385998005)"
4345,21312,63007,225000,3,,,,RTE,,575.768906626923,,,,,"","SRID=4326;LINESTRING(4.17739080012778 44.137832316601,4.18410642880799 44.1334028778759)"
15515,38682,56509,225000,3,,,,,,4915.85544807466,,,,,"","SRID=4326;LINESTRING(-1.6099005398947 47.1870534464496,-1.66406447496249 47.194690203725)"
79789,55244,5582,90000,,,,,RTE,,1951.18942028858,,,,,"","SRID=4326;LINESTRING(3.31499190130286 50.2985010670434,3.29073155740592 50.2964885909087)"
4956,63103,29142,,,,,,,,1615.57401135782,,,,,"","SRID=4326;LINESTRING(3.21916363664303 45.5921907279533,3.20510645748174 45.6030845822301)"
55052,4504,68038,400000,3,,,,RTE,,1829.61567640612,,,,,"","SRID=4326;LINESTRING(2.24979674996035 49.9395024702885,2.23549441545808 49.9265387907411)"
59184,39560,43203,225000,,,,,,,1958.72773810358,,,,,"","SRID=4326;LINESTRING(2.47497980774031 50.6237476299657,2.50442626746064 50.6189922919803)"
22309,30345,57520,225000,3,,,,,,791.193460533216,,,,,"","SRID=4326;LINESTRING(6.00294732969061 44.2490984956623,6.01264922459063 44.2505995102835)"
21248,2843,64206,225000,3,,,,,,5509.74174217046,,,,,"","SRID=4326;LINESTRING(0.183750284217982 47.9215045707755,0.24752026625031 47.8945226713036)"
27523,63079,30782,,3,,,,,,3567.90006800876,,,,,"","SRID=4326;LINESTRING(5.97270143032555 46.1614440069188,5.95585117462702 46.1909172763108)"
22310,20016,57521,225000,3,,,,,,42784.8166304067,,,,,"","SRID=4326;LINESTRING(5.92415580711785 43.9210486154339,6.03612561656275 44.2532086763192)"
21250,42866,64207,,,,,,,,1773.60869838193,,,,,"","SRID=4326;LINESTRING(0.563685495249152 44.2278448544325,0.54134931421768 44.231376073563)"
53010,7675,61790,225000,,,,,RTE,,15507.5619419099,,,,,"","SRID=4326;LINESTRING(2.22190503368069 44.9467185649561,2.19484771497682 45.0859881888719)"
56601,4770,41647,400000,3,,,,RTE,,2527.97210164179,,,,,"","SRID=4326;LINESTRING(2.8654781099375 48.3801306701761,2.84839581008127 48.3732641706304)"
61416,20599,10594,225000;63000;225000,6;3,,,,RTE,,20726.8770718687,,,,,"","SRID=4326;LINESTRING(4.58388046189937 43.8290886004881,4.33619127933143 43.8121073595427)"
