v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
41625,3.04507430374696,50.5432568554551,substation,,,,,,SRID=4326;POINT(3.04507430374696 50.5432568554551)
67926,2.59888100402164,46.3128520709084,joint,,,,ERDF,,SRID=4326;POINT(2.59888100402164 46.3128520709084)
37130,6.05375727398443,47.2676432193267,substation,,,Palente,,,SRID=4326;POINT(6.05375727398443 47.2676432193267)
537,5.72646546851181,45.0905598126364,substation,,,,,,SRID=4326;POINT(5.72646546851181 45.0905598126364)
57052,1.85966732801933,48.1119580678261,joint,225000,50,,RTE,,SRID=4326;POINT(1.85966732801933 48.1119580678261)
67772,4.48685047371938,45.4428686997115,joint,225000,,,RTE,,SRID=4326;POINT(4.48685047371938 45.4428686997115)
28529,6.63196908499519,45.9830863516548,joint,225000;20000,,,RTE,,SRID=4326;POINT(6.63196908499519 45.9830863516548)
57831,3.32648170918848,49.6477360975167,joint,225000,,,RTE,,SRID=4326;POINT(3.32648170918848 49.6477360975167)
54064,0.394015417162739,46.5981395114599,merge,,,,,,SRID=4326;POINT(0.394015417162739 46.5981395114599)
30559,0.899001327502003,49.36063196262,joint,225000;90000;225000,,,RTE,,SRID=4326;POINT(0.899001327502003 49.36063196262)
25963,5.03283545412923,45.7613838979293,joint,225000,,,RTE,,SRID=4326;POINT(5.03283545412923 45.7613838979293)
20016,5.92415580711785,43.9210486154339,substation,225000,,Poste électrique d'Oraison,RTE,,SRID=4326;POINT(5.92415580711785 43.9210486154339)
40426,5.69977995845454,45.1801665284851,substation,,,,RTE,,SRID=4326;POINT(5.69977995845454 45.1801665284851)
57953,2.26031810069332,49.1318506177919,joint,225000,,,,,SRID=4326;POINT(2.26031810069332 49.1318506177919)
65020,7.08627504831944,48.7655555616107,joint,225000;400000;225000;400000,,ligne 225 kV Bergholz - Marlenheim;ligne 400 kV Marlenheim - Vigy & ligne 225 kV Marlenheim - Bergholz;ligne 400 kV Marlenheim - Vigy,RTE,,SRID=4326;POINT(7.08627504831944 48.7655555616107)
57807,4.14297601177913,48.3300767792224,joint,,,,RTE,,SRID=4326;POINT(4.14297601177913 48.3300767792224)
63015,2.96819096909962,48.2428623704503,joint,400000,,,RTE,,SRID=4326;POINT(2.96819096909962 48.2428623704503)
23068,5.14402083515999,48.2941480048926,joint,225000;63000,,ligne 225 kV Creney - Froncles - Muremont,RTE,,SRID=4326;POINT(5.14402083515999 48.2941480048926)
6975,2.52703430824323,48.8722617878458,substation,,,Avron,,,SRID=4326;POINT(2.52703430824323 48.8722617878458)
29874,2.6899627178145,44.7765405902646,joint,225000,50,,RTE,,SRID=4326;POINT(2.6899627178145 44.7765405902646)
9223,5.02285684321071,43.9215247668615,substation,225000;20000,,Poste électrique de Mouissonnes,RTE,,SRID=4326;POINT(5.02285684321071 43.9215247668615)
30174,3.11649395382397,47.0437149730232,joint,225000;63000,,,RTE,,SRID=4326;POINT(3.11649395382397 47.0437149730232)
56965,4.5332264494197,46.5987628768236,joint,400000;400000;225000;225000,,,RTE,,SRID=4326;POINT(4.5332264494197 46.5987628768236)
7024,4.83306028643707,43.4358137507308,substation,,,,,,SRID=4326;POINT(4.83306028643707 43.4358137507308)
57029,1.95052320534977,44.965122386865,joint,,,,,,SRID=4326;POINT(1.95052320534977 44.965122386865)
31153,4.62442126110683,44.2028545781423,joint,225000;63000,,,RTE,,SRID=4326;POINT(4.62442126110683 44.2028545781423)
68038,2.23549441545808,49.9265387907411,joint,400000,,,RTE,,SRID=4326;POINT(2.23549441545808 49.9265387907411)
41471,3.21224000814459,46.9909978049537,substation,400000;225000;63000,,Poste électrique de Saint-Eloi,RTE,,SRID=4326;POINT(3.21224000814459 46.9909978049537)
42444,0.685378512170676,45.1431918330379,substation,250000,,Poste électrique de Sanilhac,,,SRID=4326;POINT(0.685378512170676 45.1431918330379)
63946,6.49222903239932,48.191767102231,joint,225000,,,RTE,,SRID=4326;POINT(6.49222903239932 48.191767102231)
6466,2.59953394939532,48.7765010408998,station,,,,,,SRID=4326;POINT(2.59953394939532 48.7765010408998)
39792,-1.59942205807858,49.5946218094504,substation,400000,,Poste Électrique de Tollevast,,,SRID=4326;POINT(-1.59942205807858 49.5946218094504)
5705,-2.68087654233819,47.6621195028333,substation,,,,,,SRID=4326;POINT(-2.68087654233819 47.6621195028333)
29970,3.53941162677154,48.5339521677027,joint,225000,,,RTE,,SRID=4326;POINT(3.53941162677154 48.5339521677027)
33984,5.00036539902709,48.8105135785485,joint,400000,,ligne 400 kV Bezaumont - Revigny;ligne 400 kV Revigny - Creney;ligne 400 kV Revigny - Creney;ligne 400 kV Bezaumont - Revigny,RTE,,SRID=4326;POINT(5.00036539902709 48.8105135785485)
8449,-0.949726437851057,44.6198999858895,substation,225000,,Poste électrique de Masquet,,,SRID=4326;POINT(-0.949726437851057 44.6198999858895)
63494,4.64216837785989,44.0071823124592,joint,400000,,Realtor Tavel,RTE,,SRID=4326;POINT(4.64216837785989 44.0071823124592)
43092,0.556503101204683,48.7428724599312,substation,,,Poste électrique de Aube,,,SRID=4326;POINT(0.556503101204683 48.7428724599312)
20327,3.29898379344804,46.272468990001,merge,63000;20000;400000;225000;63000,,3CB;Poste électrique de Bayet,ERDF,,SRID=4326;POINT(3.29898379344804 46.272468990001)
42157,4.79625767549215,49.7481905755619,substation,,,Poste électrique de Lumes,,,SRID=4326;POINT(4.79625767549215 49.7481905755619)
20511,4.75498312014811,45.4079766917341,merge,400000,,Centrale nucléaire de Saint-Alban;Poste électrique de Saint-Alban Saint-Maurice,EDF,,SRID=4326;POINT(4.75498312014811 45.4079766917341)
42051,4.83340371069058,45.3352721320413,substation,225000,,,,,SRID=4326;POINT(4.83340371069058 45.3352721320413)
68039,1.91559769525001,50.9199361757781,joint,400000,50,,RTE,,SRID=4326;POINT(1.91559769525001 50.9199361757781)
8859,-2.16807737653341,47.338045977138,substation,,,,,,SRID=4326;POINT(-2.16807737653341 47.338045977138)
42538,3.42149755497495,46.2234918305501,substation,,,,,,SRID=4326;POINT(3.42149755497495 46.2234918305501)
41755,6.96029263997016,48.1847740399613,substation,225000,,Poste électrique de Anould,,,SRID=4326;POINT(6.96029263997016 48.1847740399613)
62955,2.57980555427611,46.2931696389385,joint,,,,ERDF,,SRID=4326;POINT(2.57980555427611 46.2931696389385)
29875,2.68694015637802,44.7789116810614,joint,225000,,,RTE,,SRID=4326;POINT(2.68694015637802 44.7789116810614)
63918,5.49241948236565,43.3964583059949,joint,225000,,,RTE,,SRID=4326;POINT(5.49241948236565 43.3964583059949)
62712,2.66287687974073,48.8420231301316,joint,225000,,,RTE,,SRID=4326;POINT(2.66287687974073 48.8420231301316)
55379,3.11738922138503,50.6271352191953,merge,,,,EDF,,SRID=4326;POINT(3.11738922138503 50.6271352191953)
23037,5.47901500135908,43.2971633057268,joint,225000,,,RTE,,SRID=4326;POINT(5.47901500135908 43.2971633057268)
56315,5.79575423317499,43.6687823146741,joint,400000;225000;400000,,,RTE,,SRID=4326;POINT(5.79575423317499 43.6687823146741)
40391,5.65460296393174,46.3934631473458,substation,225000,,Poste électrique de Vouglans,,,SRID=4326;POINT(5.65460296393174 46.3934631473458)
5939,1.7414804052229,48.9330108294485,substation,400000;225000,,Poste électrique de Mezerolles,RTE,,SRID=4326;POINT(1.7414804052229 48.9330108294485)
41624,7.66047286496895,48.4902725682527,substation,,,,,,SRID=4326;POINT(7.66047286496895 48.4902725682527)
49035,1.68504064857268,50.2769685574947,substation,,,,,,SRID=4326;POINT(1.68504064857268 50.2769685574947)
41423,2.13803998701565,43.9544917550218,substation,,,Pélissier,,,SRID=4326;POINT(2.13803998701565 43.9544917550218)
22083,2.28036953736323,48.721627301214,joint,90000;225000,,,RTE,,SRID=4326;POINT(2.28036953736323 48.721627301214)
63915,5.48986709914889,43.360679968568,joint,225000,,,RTE,,SRID=4326;POINT(5.48986709914889 43.360679968568)
29963,5.49892499182172,43.3341518921065,joint,225000,,,RTE,,SRID=4326;POINT(5.49892499182172 43.3341518921065)
