l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
3868,35422,28973,,,,,,,,2385.93453048162,,,,,"","SRID=4326;LINESTRING(10.2724738664462 49.8806084854841,10.2844972528953 49.8978166663891)"
38020,2503,31912,220000;380000;380000,3;6;3,4,50,220kV Mündelheim Nord;380kV Meerbusch West+220kV Mündelheim Nord;380kV Meerbusch West,RWE,4540,490.313967584508,,,,,"","SRID=4326;LINESTRING(6.61738115554636 51.4757909650564,6.61109267348956 51.4709956023626)"
3604,2876,28930,110000;220000;110000;220000;110000;110000,3;6;3,2;1;2;2,50,Ludersheim - Schwandorf;Ludersheim - Schwandorf;Lauterhofen - Schwandorf;Lauterhofen - Schwandorf,E.ON Netz GmbH,160,36588.7838881642,,,,,"","SRID=4326;LINESTRING(12.082254511457 49.2974477819197,11.674237749145 49.4015331398856)"
6436,12188,63271,110000,6,1,,110 kV,,,8165.76836642239,,,,,"","SRID=4326;LINESTRING(8.56022102849261 49.9921118028047,8.50868074457306 50.0333711432323)"
12648,28334,55168,380000;220000,12,4;2,,,RWE,4574,2458.98556898596,,,,,"","SRID=4326;LINESTRING(6.65963412801378 51.5995478716066,6.68224655213283 51.5774856572905)"
40123,31860,32177,380000;110000;380000;110000;15000,10;12,4;1,50;16.7,380 kV 3011; 110 kV Bahnstrom Höchst-Friedberg; Höchst-Rödelheim;380 kV 3011; 110 kV Bahnstrom Höchst-Friedberg; Höchst-Rödelheim; 15 kV Sl; Sl,TenneT,,4066.77335576491,,,,,"","SRID=4326;LINESTRING(8.60299371813033 50.10949601252,8.59447355698657 50.1431793804418)"
39741,32134,59981,380000;110000,12,4;1,50,380 kV Paffendorf Süd; Selfkant weiß; 110 kV Auenheim Nord; Glesch Nord,RWE,4179,3298.17973327729,,,,,"","SRID=4326;LINESTRING(6.62173582314428 50.9635756824282,6.66352365353096 50.9763307843942)"
4566,64388,55978,380000,6,4,,,RWE,,17489.7721169328,,,,,"","SRID=4326;LINESTRING(7.90643510608999 50.3527009690134,7.66954102500805 50.3857529166338)"
51198,23506,33544,220000,3,2,,,RWE,Anlage 323,946.862204753188,,,,,"","SRID=4326;LINESTRING(9.13889142638328 49.1458215007688,9.14718422392863 49.1480846105852)"
12787,20702,54955,380000,3,4,50,380-kV Kernkraftwerk Emsland,RWE AG,,225.178293485035,,,,,"","SRID=4326;LINESTRING(7.32071021014467 52.4713640731429,7.30534459801476 52.4800010371722)"
52170,60030,61659,220000,6,3,,220kV Polsum Süd+Scholven D,RWE,2646,3484.18910581411,,,,,"","SRID=4326;LINESTRING(7.0522095852727 51.6554570927607,7.06262644930735 51.6844079656584)"
52442,26150,61703,380000;110000,9,4;1,,380 KV,RWE,4153,1585.04443416642,,,,,"","SRID=4326;LINESTRING(6.79451221533707 51.3123012954742,6.79245130041224 51.3260616712243)"
39141,26016,26017,380000;220000,12,4;2,50,,RWE,4301,3406.14039695222,,,,,"","SRID=4326;LINESTRING(7.41755396216647 51.6446851717665,7.45658225783185 51.6602453704463)"
16588,63723,22792,380000;110000,6;3,4;1,50,,,,4493.78812430925,,,,,"","SRID=4326;LINESTRING(8.28731988824138 50.7578393006068,8.32089190670256 50.7294840874106)"
78929,2932,39170,380000,6,,50,,50Hertz,,3711.25642085868,,,,,"","SRID=4326;LINESTRING(11.8942662085418 51.4057031779769,11.9465331773719 51.4012177577637)"
14086,22386,56313,380000,6,,,,,,2878.72321752432,,,,,"","SRID=4326;LINESTRING(7.99538619569198 47.5783674856311,7.96630260954791 47.5946750128787)"
38779,66044,59854,380000,3,2,,Oberbachern - Ottenhofen,TenneT TSO GmbH,462,434.202942045013,,,,,"","SRID=4326;LINESTRING(11.8270192453984 48.2267738769654,11.8224260695192 48.2292075683419)"
39924,64352,26138,220000;110000,6,1,,Gladbeck West+Gelsenkirchen Süd,RWE,2343,1004.01694686128,,,,,"","SRID=4326;LINESTRING(7.08527252846236 51.4820207691552,7.09969695664252 51.4821948090496)"
14175,40019,22405,220000,6,,50,,,,916.023898174629,,,,,"","SRID=4326;LINESTRING(6.17791450795649 49.9530651407752,6.19084668002849 49.9551682001434)"
52177,32152,61661,380000;220000;110000,12,4;2;1,,,RWE,4550,975.842758438841,,,,,"","SRID=4326;LINESTRING(7.14185570141001 51.5131476764497,7.14629239076675 51.5048312824945)"
53017,59977,28395,220000,6,1,50,220kV Utfort West+Uerdingen West,RWE,2339,4338.34851651966,,,,,"","SRID=4326;LINESTRING(6.58449050365482 51.4393552658584,6.61389829178493 51.4736192957669)"
51690,3012,61584,380000;110000,6,,50,Herbertingen - Tiengen,,5200,136.082942143411,,,,,"","SRID=4326;LINESTRING(8.25885999852837 47.634211656147,8.25637643013308 47.6309723602763)"
22632,55655,57572,220000;110000,9,1;2;1,50,220 kV Windesheim; 110 kV Rosengarten Ost|West,RWE,2327,2198.4608797918,,,,,"","SRID=4326;LINESTRING(8.01904745395109 49.8161677038704,8.04474906971199 49.8049827033782)"
45896,49893,60822,380000,6,3,50,513;514,50Hertz,513;514,59023.0980891429,,,,,"","SRID=4326;LINESTRING(12.0877650806413 53.2509323252469,12.6114578857275 53.5855257872311)"
73401,54540,3086,110000,3,1,50,,,140,28.6470930377666,,,,,"","SRID=4326;LINESTRING(9.72403663645574 54.2888932805628,9.72699275106814 54.2914209859116)"
39954,26141,26146,220000,3,2,,220kV Herne 1A,RWE,4550,312.977370751871,,,,,"","SRID=4326;LINESTRING(7.13163197516145 51.549908797832,7.13369765115728 51.5524222689655)"
48315,33166,67219,220000,3,,,,,,230.075213265926,,,,,"","SRID=4326;LINESTRING(8.4250901016219 48.9614116911868,8.42815443471909 48.9619192742064)"
21949,2616,57460,110000,3,1,,110kV Nordstern Ost,RWE,,287.310102476434,,,,,"","SRID=4326;LINESTRING(7.1047025085247 51.4817826925318,7.09913506043231 51.4826499054091)"
38076,31919,59762,220000;110000,,,50,,,,1955.45505589039,,,,,"","SRID=4326;LINESTRING(6.63378636335463 51.4965099030574,6.64433141698033 51.5126832686941)"
74683,52580,18813,,,,,,,,1514.456950439,,,,,"","SRID=4326;LINESTRING(12.6406599502893 48.0938984142253,12.6342035355456 48.1069168382167)"
39934,2619,60013,380000;110000,9,4;1,,,RWE,4534,329.5754723235,,,,,"","SRID=4326;LINESTRING(7.14065078243578 51.5572478854562,7.13723297095793 51.5539740084507)"
11304,64986,21607,220000,3,,,,,,13.4262563088369,,,,,"","SRID=4326;LINESTRING(6.58224615274898 51.0563822141773,6.5757168461101 51.0547446015417)"
