v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
33655,7.70404979297499,51.6847670848225,joint,380000;0,50,380kV Gersteinwerk Ost+Uentrop Nord,RWE,4325,SRID=4326;POINT(7.70404979297499 51.6847670848225)
9747,9.25938384939031,51.0603668958049,substation,380000;110000,50,Umspannwerk Borken,TenneT,,SRID=4326;POINT(9.25938384939031 51.0603668958049)
565,11.3841463068979,48.2500528127884,sub_station,,,,Isar-Amperwerke,14662,SRID=4326;POINT(11.3841463068979 48.2500528127884)
5412,6.82242865722723,51.3425162813286,substation,110000,50,Station Lintorf,RWE,,SRID=4326;POINT(6.82242865722723 51.3425162813286)
61963,6.92904076818332,51.5034438856652,joint,380000;380000;220000;110000;380000;220000;110000,,380kV Büscherhof West;110kV Lirich West+Thyssen Ost,RWE,4566,SRID=4326;POINT(6.92904076818332 51.5034438856652)
5455,10.8637616674018,48.5468231412265,substation,380000;110000,,Umspannwerk Meitingen,Elektrizitätswerke Augsburg,122 U,SRID=4326;POINT(10.8637616674018 48.5468231412265)
23506,9.13889142638328,49.1458215007688,joint,220000,,,RWE,Anlage 232,SRID=4326;POINT(9.13889142638328 49.1458215007688)
63756,6.76010072124289,49.3662406986307,joint,220000;110000;220000;220000;110000,50,220 kV Saar Nord; 110 kV Merzig - Saarwellingen,Amprion,2340,SRID=4326;POINT(6.76010072124289 49.3662406986307)
27134,8.40206798768896,52.4960159800192,joint,380000;380000;220000;110000;220000;110000,50,Dümmersee Süd;Leitung 3017,Amprion,4126,SRID=4326;POINT(8.40206798768896 52.4960159800192)
31697,6.89406270663944,50.847981186533,joint,380000;220000;380000;380000;220000,50,380 kV Walberberg West; 220 kV Knapsack 2b;380 kV Sechtem Nord|Süd;380 kV Sechtem Nord|Süd; Walberberg West; 220 kV Knapsack 2b,RWE,4101,SRID=4326;POINT(6.89406270663944 50.847981186533)
33648,6.73808651705873,51.0283189687938,joint,380000;220000;110000;110000;380000;220000,50,380 kV Knechtsteden West; St. Peter Süd; 220 kV Frixheim Nord|Süd; 110 kV Gohr Ost|West;110 kV Gohr Ost|West;380 kV Knechtsteden West; St. Peter Süd; 220 kV Frixheim Nord|Süd,RWE,4570,SRID=4326;POINT(6.73808651705873 51.0283189687938)
20162,7.59764642125137,51.3474174557822,merge,110000,50,Umspannanlage Oege,markE,,SRID=4326;POINT(7.59764642125137 51.3474174557822)
26198,10.9880897880815,50.6660733618584,joint,110000;380000;110000;380000,,"Law - Atf 1, Law - Atf 2;467, 468;Law - Atf 1, Law - Atf 2;467, 468",Thüringer_Energienetze,,SRID=4326;POINT(10.9880897880815 50.6660733618584)
