l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
38358,42475,31961,400000,6,,,,,,28919.8124835112,,,,,"","SRID=4326;LINESTRING(23.0283551015618 38.3826827402347,23.3258976617318 38.2790673038351)"
9937,9276,20435,400000,6,,,,,,63478.8555626971,,,,,"","SRID=4326;LINESTRING(22.4512951775623 40.6113104436807,21.9292311736657 40.3919630590994)"
38395,23339,31972,400000,6,,,,,,19810.501751828,,,,,"","SRID=4326;LINESTRING(23.0099986242012 38.3852154846323,22.9481793511255 38.2399134824196)"
59371,8707,43339,400000,3,3,,Γραμμή 400 kV ΚΥΤ Αράχθου - ΚΥΤ Τρικάλων,,,103099.25126206,,,,,"","SRID=4326;LINESTRING(20.9654030375194 39.1839702252003,21.882580005602 39.5580176349121)"
54196,16870,28005,400000,6,,,,,,25002.1174771083,,,,,"","SRID=4326;LINESTRING(23.0473846077144 40.789758007925,22.7769057505715 40.7365372948711)"
20304,42475,23339,400000,6,,,,,,1499.65517543786,,,,,"","SRID=4326;LINESTRING(23.0283551015618 38.3826827402347,23.0099986242012 38.3852154846323)"
38394,31971,31972,400000,3,,,Ζυγοι 400 kV,,,156.210876658901,,,,,"","SRID=4326;LINESTRING(22.9489528005851 38.238676483937,22.9481793511255 38.2399134824196)"
60340,5666,43935,150000,6,,,,,,9411.02498862631,,,,,"","SRID=4326;LINESTRING(23.8522298669846 37.9937298796587,23.9018912912805 37.9238322209669)"
71653,42771,16870,150000;400000,3,2,,Γραμμή 400 kV ΚΥΤ Θεσσαλονίκης – ΚΥΤ Φιλίππων,,,109401.509322428,,,,,"","SRID=4326;LINESTRING(24.2619563985751 41.0459219887168,23.0473846077144 40.789758007925)"
59293,39162,9276,400000,6,,,,,,45770.7153227802,,,,,"","SRID=4326;LINESTRING(22.9241616254593 40.6917954114197,22.4512951775623 40.6113104436807)"
79957,39773,5651,400000,6,,,,,,72425.4383383253,,,,,"","SRID=4326;LINESTRING(23.7345628049215 38.1010309627527,23.1673729452544 38.5256143387361)"
38359,55933,31961,400000,6,,,,,,37376.0010218455,,,,,"","SRID=4326;LINESTRING(23.6326239239483 38.0886253761949,23.3258976617318 38.2790673038351)"
4071,39773,55933,400000,,,,,,,9457.11101512969,,,,,"","SRID=4326;LINESTRING(23.7345628049215 38.1010309627527,23.6326239239483 38.0886253761949)"
38393,65996,31972,400000,3,,,,,,157.586540452874,,,,,"","SRID=4326;LINESTRING(22.9491555503447 38.2387344819404,22.9481793511255 38.2399134824196)"
59369,39769,43339,400000,6;3,,,,,,151145.990513407,,,,,"","SRID=4326;LINESTRING(22.6879871466374 38.4372764435751,21.882580005602 39.5580176349121)"
58622,7022,8878,150000,,,,,,,5322.89840143966,,,,,"","SRID=4326;LINESTRING(21.4191064165166 38.7203281679056,21.3639989112744 38.7385186441904)"
38391,31971,65996,400000,3,,,Ζυγοι 400 kV,,,648.405205438783,,,,,"","SRID=4326;LINESTRING(22.9489528005851 38.238676483937,22.9491555503447 38.2387344819404)"
60346,39784,9977,150000,6,,,,,,21012.6076313448,,,,,"","SRID=4326;LINESTRING(24.067037849923 37.7476137415505,23.9193866943006 37.8843653863702)"
9939,39811,20435,400000,6,,,,,,127208.836559547,,,,,"","SRID=4326;LINESTRING(22.5173066685561 39.5374679917904,21.9292311736657 40.3919630590994)"
60339,5666,43935,400000,6,,,,,,9484.58244477893,,,,,"","SRID=4326;LINESTRING(23.8522298669846 37.9937298796587,23.9018912912805 37.9238322209669)"
9943,39811,21158,400000,6,,,,,,130193.986171168,,,,,"","SRID=4326;LINESTRING(22.5173066685561 39.5374679917904,21.7876552497894 40.4069287836929)"
79956,39769,5651,150000;400000,6,,,,,,45608.5074961091,,,,,"","SRID=4326;LINESTRING(22.6879871466374 38.4372764435751,23.1673729452544 38.5256143387361)"
6008,5656,56141,380000,6,,,,,,12437.0652911183,,,,,"","SRID=4326;LINESTRING(23.8357668279684 38.1327797151146,23.8629053395944 38.0309649777406)"
38392,31971,65996,400000,,,,Ζυγοι 400 kV,,,17.3146379589122,,,,,"","SRID=4326;LINESTRING(22.9489528005851 38.238676483937,22.9491555503447 38.2387344819404)"
68501,64107,15190,400000,3;6,,,,,,9996.82517738357,,,,,"","SRID=4326;LINESTRING(22.6459562654802 38.4258471916355,22.6892558221807 38.3565169971939)"
80058,5651,39811,400000,6,,,,,,159162.460970282,,,,,"","SRID=4326;LINESTRING(23.1673729452544 38.5256143387361,22.5173066685561 39.5374679917904)"
58626,8707,8878,400000,3,3,,Γραμμή 400 kV ΚΥΤ Αράχθου - ΚΥΤ Αχελώου,,,64912.6345998319,,,,,"","SRID=4326;LINESTRING(20.9654030375194 39.1839702252003,21.3639989112744 38.7385186441904)"
38357,31962,31961,400000,3,,,Ζυγοί 400kV,,,135.295005158432,,,,,"","SRID=4326;LINESTRING(23.3271616811681 38.2791883831348,23.3258976617318 38.2790673038351)"
6010,5666,56141,380000,6,,,,,,4553.33009663093,,,,,"","SRID=4326;LINESTRING(23.8522298669846 37.9937298796587,23.8629053395944 38.0309649777406)"
79970,5656,5666,380000,6,,,,,,16943.9469157082,,,,,"","SRID=4326;LINESTRING(23.8357668279684 38.1327797151146,23.8522298669846 37.9937298796587)"
10890,54293,20652,400000,6,2,,,,,25681.0162045366,,,,,"","SRID=4326;LINESTRING(21.6823725702234 40.6188846242607,21.5985453584509 40.8145318120033)"
60341,43935,9976,150000,6,,,,,,1693.82388907143,,,,,"","SRID=4326;LINESTRING(23.9018912912805 37.9238322209669,23.9042593786823 37.9075345455249)"
4072,4997,55933,400000,6,,,,,,6130.51059059854,,,,,"","SRID=4326;LINESTRING(23.6219509345758 38.0331735784895,23.6326239239483 38.0886253761949)"
