l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
16083,7346,63660,400000,3,2,50,Toponár - Paks,,,86928.271633162,,,,,"","SRID=4326;LINESTRING(17.836384170067 46.4145412750447,18.8052143886243 46.5822414754799)"
77313,68150,53401,,,,,,,,428.339666742812,,,,,"","SRID=4326;LINESTRING(18.9243901119572 46.9560240146732,18.9313678549614 46.953536862156)"
6547,49059,63286,,,,,,,,3778.66609317077,,,,,"","SRID=4326;LINESTRING(20.1073087561781 47.7737633137674,20.0683952378187 47.7899486564035)"
63843,15133,46251,400000,3,1,50,Szolnok - Békéscsaba,,,112886.476750224,,,,,"","SRID=4326;LINESTRING(20.1479717705165 47.2053084162768,21.0142677457478 46.7068539071569)"
30531,24939,58825,220000,6,,,,,,404.466602557952,,,,,"","SRID=4326;LINESTRING(20.0899921843259 47.7580543968597,20.0928322979281 47.7604209820201)"
8427,22709,21510,220000,6,2,50,Dunamenti - Ócsa,,,12219.2224783262,,,,,"","SRID=4326;LINESTRING(19.0280731155482 47.273151204816,18.9172086058446 47.327350701638)"
38502,43601,59812,,6,1,50,,,,7429.84828677006,,,,,"","SRID=4326;LINESTRING(20.9698585908406 47.9429256971532,21.0591427727017 47.9107910182084)"
8430,65335,21510,220000,3;6,,50,Százhalombatta - Oroszlány,,,59408.4288547912,,,,,"","SRID=4326;LINESTRING(18.2642135309053 47.5092452046548,18.9172086058446 47.327350701638)"
17631,21018,63845,400000,6,2,,Hévíz–Žerjavinec / H-SLO border (Maribor),,,33770.4987574696,,,,,"","SRID=4326;LINESTRING(16.8568128967004 46.6887462415776,16.5908041515367 46.5080589143791)"
56180,40801,7293,220000,2,,,Sándorfalva - Szeged,,,3671.73989157133,,,,,"","SRID=4326;LINESTRING(20.1283992119647 46.3063300376786,20.1388042845801 46.2749680765412)"
6546,26554,63286,220000,3,1,50,,,,66.469718834704,,,,,"","SRID=4326;LINESTRING(20.0696175851983 47.7896861998156,20.0683952378187 47.7899486564035)"
79297,57325,39394,400000,3,,50,Győr - Litér,,,73260.7830756052,,,,,"","SRID=4326;LINESTRING(17.7008801060655 47.6681379690436,18.0183330895246 47.1071184922314)"
30508,16353,24931,220000,6,,,,,,2814.01478954896,,,,,"","SRID=4326;LINESTRING(22.0747368407824 48.2018652113227,22.100586810703 48.1876879157919)"
11325,6462,21018,400000,6,2,,Hévíz–Žerjavinec / H-SLO border (Maribor),,,28745.6592485927,,,,,"","SRID=4326;LINESTRING(17.1702248439174 46.7911209908024,16.8568128967004 46.6887462415776)"
74642,40794,52555,,6,1,50,,,,183.712657216147,,,,,"","SRID=4326;LINESTRING(19.1333921675909 47.531813579073,19.1401270277422 47.533279026544)"
63841,40801,46251,400000,3,,,Sándorfalva - Békéscsaba,,,91890.9278199736,,,,,"","SRID=4326;LINESTRING(20.1283992119647 46.3063300376786,21.0142677457478 46.7068539071569)"
71137,9697,16540,,,,,Hejőcsaba - Felsőzsolca,,,8865.41302245105,,,,,"","SRID=4326;LINESTRING(20.8535693207949 48.1209058465616,20.7995047860813 48.0664739776909)"
