l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
11146,21577,21184,220000,3,2,,,,,49302.2549786004,,,,,"","SRID=4326;LINESTRING(-14.1115006072024 65.0321961317766,-15.0178094499219 65.0059575807204)"
13835,48411,29441,220000,3,,,,,,34361.548594329,,,,,"","SRID=4326;LINESTRING(-21.0047947503265 64.0876858336726,-21.677591882641 64.100678575188)"
79727,39654,39655,220000,6,,,,,,14958.0304884549,,,,,"","SRID=4326;LINESTRING(-21.7057191377871 64.1044943795963,-21.9724608741338 64.040315194639)"
66794,39655,14279,220000,6,,,,,,2337.61439820966,,,,,"","SRID=4326;LINESTRING(-21.9724608741338 64.040315194639,-22.0189015599842 64.0480657452892)"
76633,39656,19146,220000,3,,,,Landsnet,,121374.567799523,,,,,"","SRID=4326;LINESTRING(-21.7447012075546 64.3890211755874,-19.6214759940729 64.168437891775)"
61368,39655,10563,220000,3,,,,Landsnet,,118762.69851914,,,,,"","SRID=4326;LINESTRING(-21.9724608741338 64.040315194639,-19.8346799557049 64.1072310548785)"
79726,29441,39654,220000,3;6,,,,,,1484.95739592953,,,,,"","SRID=4326;LINESTRING(-21.677591882641 64.100678575188,-21.7057191377871 64.1044943795963)"
79728,39654,39656,220000,3,,,,,,59644.3124651022,,,,,"","SRID=4326;LINESTRING(-21.7057191377871 64.1044943795963,-21.7447012075546 64.3890211755874)"
76634,39656,19146,220000,3,,,,Landsnet,,118974.96388398,,,,,"","SRID=4326;LINESTRING(-21.7447012075546 64.3890211755874,-19.6214759940729 64.168437891775)"
13836,10563,29441,220000,3,,,,,,101876.208531091,,,,,"","SRID=4326;LINESTRING(-19.8346799557049 64.1072310548785,-21.677591882641 64.100678575188)"
61367,48411,10563,220000,3,,,,Landsnet,,60663.3679385179,,,,,"","SRID=4326;LINESTRING(-21.0047947503265 64.0876858336726,-19.8346799557049 64.1072310548785)"
76635,10563,19146,220000,3,,,,Landsnet,,12427.5761752131,,,,,"","SRID=4326;LINESTRING(-19.8346799557049 64.1072310548785,-19.6214759940729 64.168437891775)"
11147,21577,21184,220000,3,2,,,,,52797.3435985365,,,,,"","SRID=4326;LINESTRING(-14.1115006072024 65.0321961317766,-15.0178094499219 65.0059575807204)"
