v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
48411,-21.0047947503265,64.0876858336726,substation,220000;132000,,,Landsnet,,SRID=4326;POINT(-21.0047947503265 64.0876858336726)
14279,-22.0189015599842,64.0480657452892,sub_station,220000,,,,,SRID=4326;POINT(-22.0189015599842 64.0480657452892)
39656,-21.7447012075546,64.3890211755874,substation,220000,,,Landsnet,,SRID=4326;POINT(-21.7447012075546 64.3890211755874)
21577,-14.1115006072024,65.0321961317766,merge,220000,,,,,SRID=4326;POINT(-14.1115006072024 65.0321961317766)
39655,-21.9724608741338,64.040315194639,substation,220000;132000,,220kV Þorlákshöfn,Landsnet,,SRID=4326;POINT(-21.9724608741338 64.040315194639)
39654,-21.7057191377871,64.1044943795963,substation,220000;132000,,220kV Hvolsvöllur,Landsnet,,SRID=4326;POINT(-21.7057191377871 64.1044943795963)
19146,-19.6214759940729,64.168437891775,substation,,,,,,SRID=4326;POINT(-19.6214759940729 64.168437891775)
21184,-15.0178094499219,65.0059575807204,merge,,,Fljótsdalsstöð,,,SRID=4326;POINT(-15.0178094499219 65.0059575807204)
29441,-21.677591882641,64.100678575188,joint,220000,,,,,SRID=4326;POINT(-21.677591882641 64.100678575188)
10563,-19.8346799557049,64.1072310548785,substation,220000,,,,,SRID=4326;POINT(-19.8346799557049 64.1072310548785)
