v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
16288,-6.39671478672771,53.0328897212947,substation,,,Turlough Hill station,,,SRID=4326;POINT(-6.39671478672771 53.0328897212947)
40676,-6.43323331536914,53.3283944402715,substation,,,,,,SRID=4326;POINT(-6.43323331536914 53.3283944402715)
45774,-8.91412926413555,51.9381946588038,substation,,,Clashavoon,Eirgrid,,SRID=4326;POINT(-8.91412926413555 51.9381946588038)
41060,-8.31980002484333,51.9540661377153,substation,,,Knockraha Substation,Eirgrid,,SRID=4326;POINT(-8.31980002484333 51.9540661377153)
58619,-8.82801316280707,53.3041160691929,joint,220000,50,Cashla - Tynagh,,,SRID=4326;POINT(-8.82801316280707 53.3041160691929)
55347,-6.41510408000951,53.4142492504223,merge,,,Macetown,,,SRID=4326;POINT(-6.41510408000951 53.4142492504223)
9177,-6.14770472095688,52.8151532480101,substation,,,Arklow,EirGrid,,SRID=4326;POINT(-6.14770472095688 52.8151532480101)
22363,-6.60950418257266,53.3429108690203,joint,220000,50,,,,SRID=4326;POINT(-6.60950418257266 53.3429108690203)
5498,-8.34427523872548,51.8284783413524,substation,,,Ringaskiddy 220kv Substation,Eirgrid,,SRID=4326;POINT(-8.34427523872548 51.8284783413524)
53374,-6.35624601144842,53.4043159789315,substation,,,,,,SRID=4326;POINT(-6.35624601144842 53.4043159789315)
47173,-9.25346572477837,52.6394702040161,substation,220000,50,Prospect 220kv Substation,,,SRID=4326;POINT(-9.25346572477837 52.6394702040161)
58626,-6.98082190694818,52.2915485636432,joint,220000,50,,EirGrid,,SRID=4326;POINT(-6.98082190694818 52.2915485636432)
8963,-6.09587458238741,52.9909502155497,substation,,,Ballybeg,,,SRID=4326;POINT(-6.09587458238741 52.9909502155497)
27689,-6.49391301423093,53.4112734797952,joint,220000,50,,,,SRID=4326;POINT(-6.49391301423093 53.4112734797952)
15650,-6.64421031522669,53.7009308530081,substation,,,Gorman substation,,,SRID=4326;POINT(-6.64421031522669 53.7009308530081)
11328,-8.54651837855191,52.6403720309432,substation,,,Killonan 220kv Substation,,,SRID=4326;POINT(-8.54651837855191 52.6403720309432)
25216,-9.36919053947937,52.6391108847864,joint,400000;400000;220000;220000,50,,,,SRID=4326;POINT(-9.36919053947937 52.6391108847864)
25240,-9.39892082279648,52.574707171242,joint,110000;220000;220000;110000,50,,Eirgrid,,SRID=4326;POINT(-9.39892082279648 52.574707171242)
39088,-6.43445103485509,53.3361757525376,substation,38000,50,Balgaddy Radio Site & 38Kv Substation,ESB,,SRID=4326;POINT(-6.43445103485509 53.3361757525376)
9380,-7.27988589656504,52.2492656457189,substation,220000,,Cullenagh 220 kV station,,,SRID=4326;POINT(-7.27988589656504 52.2492656457189)
23501,-6.7225011960369,52.7442182047012,joint,220000,50,,EirGrid,,SRID=4326;POINT(-6.7225011960369 52.7442182047012)
26124,-6.56737849580763,53.960869996387,joint,220000,50,,,,SRID=4326;POINT(-6.56737849580763 53.960869996387)
39591,-8.36955207071624,51.8267942642389,substation,,50,Raffeen Substation,Eirgrid,,SRID=4326;POINT(-8.36955207071624 51.8267942642389)
20643,-8.03917452291017,53.2724688924131,merge,,,West Offaly Power Station,ESB Generating,,SRID=4326;POINT(-8.03917452291017 53.2724688924131)
45725,-8.38397766366535,54.1777596869835,substation,,,Srananagh Sub Station,EirGrid,,SRID=4326;POINT(-8.38397766366535 54.1777596869835)
24913,-8.37325865720113,53.1764274814378,joint,220000,50,Cashla - Tynagh;Tynagh - Oldstreet,,,SRID=4326;POINT(-8.37325865720113 53.1764274814378)
27687,-6.48677095856454,53.4871246782601,joint,220000,50,,,,SRID=4326;POINT(-6.48677095856454 53.4871246782601)
54725,-6.19652293367747,53.2562585608934,merge,,,ESB Substation,ESB Networks,,SRID=4326;POINT(-6.19652293367747 53.2562585608934)
49661,-6.40613935810439,53.0439360527337,substation,,,,,,SRID=4326;POINT(-6.40613935810439 53.0439360527337)
39962,-6.60198230956598,53.3485753676267,substation,,,,Eirgrid,,SRID=4326;POINT(-6.60198230956598 53.3485753676267)
63214,-6.34776846895965,53.3325367947646,joint,220000,50,,,,SRID=4326;POINT(-6.34776846895965 53.3325367947646)
49601,-6.56575677004429,53.9673375046109,substation,,,Louth substation,,,SRID=4326;POINT(-6.56575677004429 53.9673375046109)
49139,-6.56966888304675,53.4747113469936,substation,400000,,Woodland Transmission SubStation.,Eirgrid,,SRID=4326;POINT(-6.56966888304675 53.4747113469936)
39926,-6.68805106329442,53.15439306366,substation,,,Dunstown 400KV Substation,Eirgrid,,SRID=4326;POINT(-6.68805106329442 53.15439306366)
45717,-6.53753069896445,52.5791447977797,substation,,,,EirGrid,,SRID=4326;POINT(-6.53753069896445 52.5791447977797)
21666,-6.39546128261704,53.4223521777803,joint,110000;220000,50,,EirGrid,,SRID=4326;POINT(-6.39546128261704 53.4223521777803)
12231,-8.1238545770175,53.911673040634,substation,220000,,,,,SRID=4326;POINT(-8.1238545770175 53.911673040634)
45584,-6.36493496621761,53.4193706982446,substation,,,Corduff,,,SRID=4326;POINT(-6.36493496621761 53.4193706982446)
54491,-8.3823663243762,53.1664652633305,merge,220000,,Tynagh Energy Power Station,Eirgrid,,SRID=4326;POINT(-8.3823663243762 53.1664652633305)
40063,-6.81630525917975,52.788712233858,substation,,,,ESB,,SRID=4326;POINT(-6.81630525917975 52.788712233858)
27667,-6.38887938609736,53.4236179649163,joint,220000,50,,EirGrid,,SRID=4326;POINT(-6.38887938609736 53.4236179649163)
49217,-6.2124765567613,53.2502179674038,substation,,,,,,SRID=4326;POINT(-6.2124765567613 53.2502179674038)
45268,-8.26887755681374,53.1342999391789,substation,400000,,Oldstreet Substation,Eirgrid,,SRID=4326;POINT(-8.26887755681374 53.1342999391789)
22364,-6.60823441391855,53.358496909046,joint,220000,50,,,,SRID=4326;POINT(-6.60823441391855 53.358496909046)
6003,-6.33899039154848,53.3340256289709,substation,,,,EirGrid,,SRID=4326;POINT(-6.33899039154848 53.3340256289709)
63421,-6.5158134018686,53.265108684262,joint,220000,50,,,,SRID=4326;POINT(-6.5158134018686 53.265108684262)
63685,-8.1128623888259,53.9040566975792,joint,220000,50,,EirGrid,,SRID=4326;POINT(-8.1128623888259 53.9040566975792)
38829,-8.85348151515741,53.3081151321539,substation,220000,50,,,,SRID=4326;POINT(-8.85348151515741 53.3081151321539)
22787,-8.30744520487763,51.9602866824003,joint,220000,50,,EirGrid,,SRID=4326;POINT(-8.30744520487763 51.9602866824003)
2730,-6.31506514399114,53.4056275021028,substation,,,Finglas,,,SRID=4326;POINT(-6.31506514399114 53.4056275021028)
