l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
67370,6913,48526,,,,,,,,10602.2458282291,,,,,"","SRID=4326;LINESTRING(18.1844471738857 40.0160881556809,18.1227042090092 39.9505462529953)"
46049,52163,66918,380000,3,3,,,,21.364,30875.268889632,,,,,"","SRID=4326;LINESTRING(15.4724362092492 41.2197231531694,15.4846545534518 41.4673247813627)"
19623,23529,23242,220000,3,,,Arezzo-Pietrafitta 220,,22.268,53096.6922020806,,,,,"","SRID=4326;LINESTRING(11.7450207567694 43.3335427876587,12.1852240819086 42.9817482698185)"
6820,21801,63314,220000,3,,,Salerno Nord-Montecorvino,,22.244,1009.970159103,,,,,"","SRID=4326;LINESTRING(14.7777886676329 40.7096336130521,14.7673588701113 40.7148181232449)"
6007,21815,29244,,,,,,,,768.19315963865,,,,,"","SRID=4326;LINESTRING(12.4678885054479 41.9686522324696,12.4688373845027 41.9681383386459)"
8841,22947,54442,,,,,,,,2512.49606169453,,,,,"","SRID=4326;LINESTRING(17.0562337868215 39.1205634824676,17.0347872208803 39.10278796518)"
75638,31522,37776,,,,,,,,162.196780421815,,,,,"","SRID=4326;LINESTRING(12.8096815736258 45.8549519000845,12.8114712447174 45.853710987606)"
2672,39749,28808,220000,6,3,,,,22.243;22.270,19416.8938714691,,,,,"","SRID=4326;LINESTRING(14.9831526802162 40.6447169777862,14.7751141057334 40.7088916607296)"
75599,25618,37744,,,,,,,,460.043891835476,,,,,"","SRID=4326;LINESTRING(12.6718731818457 45.805223183978,12.6665305911333 45.8033418670264)"
49110,23206,27307,132000,3,,,,,,8517.1812469836,,,,,"","SRID=4326;LINESTRING(12.1184495220626 45.5509816137179,12.0970029633065 45.4761406740947)"
48523,8550,27222,380000,,,,,,,3.32013310480416,,,,,"","SRID=4326;LINESTRING(10.694485713783 43.0518602354964,10.695709992162 43.0532711669631)"
36825,39329,31778,,,,,,,,2319.47099748879,,,,,"","SRID=4326;LINESTRING(13.1095209161302 46.2390682011251,13.1410180694825 46.2357184706096)"
34392,33915,31451,220000,1;3,1,,,,,2351.11952979088,,,,,"","SRID=4326;LINESTRING(10.027258856878 46.0486969643966,10.0512784601024 46.0609331950734)"
55484,28236,40968,220000,3,,,Borgo Valsugana-Lavis;Borgo Valsugana-Vellai,,22.290,90.7544172859385,,,,,"","SRID=4326;LINESTRING(11.4368528002369 46.0569715118449,11.439426388371 46.0556837740758)"
59475,22827,43407,220000,3,,,San Floriano-Cardano,,22.249,22496.1307765345,,,,,"","SRID=4326;LINESTRING(11.3622553515707 46.4624372807691,11.2453219074538 46.2904526430204)"
30894,12390,65075,,3,,,,,,14748.171801751,,,,,"","SRID=4326;LINESTRING(12.354932573506 43.296071033878,12.270573556042 43.4010795977976)"
65558,13477,13478,,,,,,,,22.782741235388,,,,,"","SRID=4326;LINESTRING(9.14395688599116 40.1282744258716,9.1455361243531 40.1286479510201)"
62995,40950,45708,220000,3;6,,,,,22.203,10266.8408796439,,,,,"","SRID=4326;LINESTRING(17.3203930992683 40.531158174183,17.2161247378855 40.5148852300688)"
77904,45977,53775,,3,,,,,,2183.33239654456,,,,,"","SRID=4326;LINESTRING(12.6852856809551 38.0585167539702,12.7077810770434 38.0478915935796)"
20965,54365,23427,220000,,,,,,,183.920982318511,,,,,"","SRID=4326;LINESTRING(11.0554486100263 43.8066366231637,11.0593463123745 43.8083152077396)"
49296,27321,27322,380000,,,,,,,104.597305107285,,,,,"","SRID=4326;LINESTRING(9.45139986270557 45.6560781068806,9.45132368556948 45.6563229833633)"
9707,43079,21555,380000,,,,,,21.321,9552.39524072569,,,,,"","SRID=4326;LINESTRING(17.9076347285753 40.5986858530316,17.9779158931576 40.6431800579399)"
74006,8735,18417,380000,3,,,,,21.325,28581.9682966546,,,,,"","SRID=4326;LINESTRING(11.2309948927341 43.7123116283705,11.4789037300519 43.564575659276)"
57766,42370,8291,150000;220000,3;6;3,,,,,,11556.4007354958,,,,,"","SRID=4326;LINESTRING(14.3715345029468 41.0190501678117,14.4649178103741 41.0714690202281)"
3324,67842,55869,380000,3,,,Camin-Dugale,,21.346,8661.76732602167,,,,,"","SRID=4326;LINESTRING(11.947760275601 45.358890513461,11.841958636567 45.3595338185878)"
33266,46818,31328,220000,3,,,Brusciano-Nola;Nola-San Valentino;Nocera-San Valentino,,22.274,19177.9186431835,,,,,"","SRID=4326;LINESTRING(14.4964117078455 40.9439101975197,14.5834837945387 40.7950424907418)"
