l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
54464,45534,67961,330000,3,2,,,"AS ""Augstsprieguma tīkls""",LN 303,50601.4260575664,,,,,"","SRID=4326;LINESTRING(23.7269706253632 56.6272055424015,24.3700152656818 56.8381360739562)"
59645,41489,9543,330000,3,2,50,,"AS ""Augstsprieguma tīkls""",LN 501,11666.1600979907,,,,,"","SRID=4326;LINESTRING(24.1824754402019 56.9885292646075,24.2680489992161 56.9183757159068)"
56871,7297,7731,330000,3,2,50,,AS „Augstsprieguma tīkls“,LN-466,4786.05916570616,,,,,"","SRID=4326;LINESTRING(24.0041155459698 56.940267064444,24.0252031835766 56.9688342492828)"
56396,10725,41516,330000,3,,,,,,11747.2811721408,,,,,"","SRID=4326;LINESTRING(26.4458340047045 55.9714005096734,26.5526896943062 55.8923402724393)"
77679,5949,53618,330000,,,,,,,66273.6085818521,,,,,"","SRID=4326;LINESTRING(24.3721450960345 56.8542864336287,25.2399741166665 56.5891176408764)"
80434,36881,5949,330000,3,2,,Valmiera - Salaspils,,,104898.03108659,,,,,"","SRID=4326;LINESTRING(25.4615619009615 57.5270943148668,24.3721450960345 56.8542864336287)"
56192,39629,7297,330000,3,2,50,,AS „Augstsprieguma tīkls“,LN-466,9635.5692999197,,,,,"","SRID=4326;LINESTRING(24.1239752390205 56.9060024596171,24.0041155459698 56.940267064444)"
77677,19838,53618,,,,,,,,317.093934900389,,,,,"","SRID=4326;LINESTRING(25.2400606971735 56.5845117516114,25.2399741166665 56.5891176408764)"
54465,5949,67961,330000,,,,,,LN 319,1978.48684563967,,,,,"","SRID=4326;LINESTRING(24.3721450960345 56.8542864336287,24.3700152656818 56.8381360739562)"
61630,41516,10725,330000,3,,,,,,12850.3345959275,,,,,"","SRID=4326;LINESTRING(26.5526896943062 55.8923402724393,26.4458340047045 55.9714005096734)"
77675,36881,53618,330000,3,,,Valmiera - Pļaviņu HES,,,110682.963295885,,,,,"","SRID=4326;LINESTRING(25.4615619009615 57.5270943148668,25.2399741166665 56.5891176408764)"
77676,47921,53618,,,,,,,,478.905916405848,,,,,"","SRID=4326;LINESTRING(25.2368983605142 56.5828405535515,25.2399741166665 56.5891176408764)"
54466,5949,67961,330000,3,2,,,"AS ""Augstsprieguma tīkls""",LN 303,1994.50124491354,,,,,"","SRID=4326;LINESTRING(24.3721450960345 56.8542864336287,24.3700152656818 56.8381360739562)"
28165,45534,30851,,,,,,,,196.443444355224,,,,,"","SRID=4326;LINESTRING(23.7269706253632 56.6272055424015,23.7314522477103 56.6254988684647)"
79681,67961,39629,330000,,,,,,LN 320,27793.0010094322,,,,,"","SRID=4326;LINESTRING(24.3700152656818 56.8381360739562,24.1239752390205 56.9060024596171)"
