v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
10725,26.4458340047045,55.9714005096734,substation,,,,,,SRID=4326;POINT(26.4458340047045 55.9714005096734)
67961,24.3700152656818,56.8381360739562,joint,330000,,,,LN 319,SRID=4326;POINT(24.3700152656818 56.8381360739562)
19838,25.2400606971735,56.5845117516114,substation,,,,,,SRID=4326;POINT(25.2400606971735 56.5845117516114)
39629,24.1239752390205,56.9060024596171,sub_station,,,Apakšstacija „Bišuciems“,AS „Augstsprieguma tīkls“,,SRID=4326;POINT(24.1239752390205 56.9060024596171)
41516,26.5526896943062,55.8923402724393,substation,,,,Latvenergo,,SRID=4326;POINT(26.5526896943062 55.8923402724393)
47921,25.2368983605142,56.5828405535515,substation,,,,,,SRID=4326;POINT(25.2368983605142 56.5828405535515)
5949,24.3721450960345,56.8542864336287,sub_station,330000;110000,,Apakšstacija „Salaspils“,,,SRID=4326;POINT(24.3721450960345 56.8542864336287)
53618,25.2399741166665,56.5891176408764,substation,,,,,,SRID=4326;POINT(25.2399741166665 56.5891176408764)
9543,24.2680489992161,56.9183757159068,sub_station,,,,,,SRID=4326;POINT(24.2680489992161 56.9183757159068)
36881,25.4615619009615,57.5270943148668,substation,330000;110000;20000;6000,,Apakšstacija „Valmiera“,,,SRID=4326;POINT(25.4615619009615 57.5270943148668)
41489,24.1824754402019,56.9885292646075,sub_station,,,,,,SRID=4326;POINT(24.1824754402019 56.9885292646075)
7731,24.0252031835766,56.9688342492828,substation,330000,50,Imanta,AS „Augstsprieguma tīkls“,,SRID=4326;POINT(24.0252031835766 56.9688342492828)
7297,24.0041155459698,56.940267064444,substation,110000;20000;10000,50,Zolitūde,AS „Augstsprieguma tīkls“,,SRID=4326;POINT(24.0041155459698 56.940267064444)
30851,23.7314522477103,56.6254988684647,joint,330000;110000;110000,,,,,SRID=4326;POINT(23.7314522477103 56.6254988684647)
45534,23.7269706253632,56.6272055424015,sub_station,,,,,,SRID=4326;POINT(23.7269706253632 56.6272055424015)
