l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
68789,44697,15347,330000,3,,,,,,64218.9637628803,,,,,"","SRID=4326;LINESTRING(26.5408055236556 55.602122065971,25.63324795932 55.5424290793136)"
10318,62986,54104,330000,6;3;3,,,,,,4681.69736628877,,,,,"","SRID=4326;LINESTRING(24.2907773024826 54.8346468171153,24.253306814819 54.7998660025493)"
65594,12127,47417,110000;330000;330000;110000,3;3;3,,,,,,24173.7402572209,,,,,"","SRID=4326;LINESTRING(22.0995075155558 56.1630073671561,22.2743252376248 56.0200885125486)"
69526,40084,15738,330000,3;6,,50,,,LN 530,91996.7044457339,,,,,"","SRID=4326;LINESTRING(21.2579690589098 55.6820029331062,22.0638262122265 55.0755416633475)"
4263,54104,62986,110000,6,,,,,,4607.07533144973,,,,,"","SRID=4326;LINESTRING(24.253306814819 54.7998660025493,24.2907773024826 54.8346468171153)"
68790,12135,15347,330000,3,,,,,LN-455,99965.5108195143,,,,,"","SRID=4326;LINESTRING(24.3062360124717 55.7625354238164,25.63324795932 55.5424290793136)"
66175,12135,47818,330000,3,,,,,LN-317,80139.4858282461,,,,,"","SRID=4326;LINESTRING(24.3062360124717 55.7625354238164,24.2903799350334 55.0866384621104)"
68857,49289,49331,330000,3,,,,,LN 327,86235.1682835817,,,,,"","SRID=4326;LINESTRING(23.9980669641176 54.935592236103,22.741879256439 55.0972314673716)"
68787,36741,15347,330000,3,,,,,,87158.1757562831,,,,,"","SRID=4326;LINESTRING(25.4244819083564 54.8562627415597,25.63324795932 55.5424290793136)"
68786,10680,49289,330000,3,2,,,,,6389.74928184619,,,,,"","SRID=4326;LINESTRING(23.9291790774249 54.9737926438578,23.9980669641176 54.935592236103)"
10317,49289,54104,330000,3;6,,,,,LN-328;LN-329,28038.0537450103,,,,,"","SRID=4326;LINESTRING(23.9980669641176 54.935592236103,24.253306814819 54.7998660025493)"
61671,43806,44774,330000,3,,,,,,101171.767158106,,,,,"","SRID=4326;LINESTRING(25.1164621225071 54.6115409165703,23.9757739126777 54.4430531889505)"
68794,44697,15347,330000,3,,,,,LN-454,64146.7390078605,,,,,"","SRID=4326;LINESTRING(26.5408055236556 55.602122065971,25.63324795932 55.5424290793136)"
68860,15738,49331,330000,3,,50,,,LN 531,43722.4658905624,,,,,"","SRID=4326;LINESTRING(22.0638262122265 55.0755416633475,22.741879256439 55.0972314673716)"
