l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
6315,23916,29288,220000,2,,,,,,35.4653764613451,,,,,"","SRID=4326;LINESTRING(5.95240406938727 49.4970382870071,5.95280387614969 49.4968077100237)"
4681,21565,62128,65000,6,1,50,,,,3961.48806542109,,,,,"","SRID=4326;LINESTRING(5.90333115769469 49.5258821477217,5.94967087283772 49.5111193183565)"
73838,3117,3118,220000,6,,50,,,,10216.9014010312,,,,,"","SRID=4326;LINESTRING(6.03530276978341 49.604518377756,6.01875392320687 49.5205608321802)"
2020,55721,55722,220000,6,,50,,,,339.694828726419,,,,,"","SRID=4326;LINESTRING(5.94724622305137 49.5055834185099,5.94795754541577 49.5092481362521)"
60409,39376,43988,65000;220000;65000;220000,12;6,2,50,,,,6784.49981125823,,,,,"","SRID=4326;LINESTRING(6.11451707744375 49.9053646883447,6.12068912514723 49.8508870249257)"
10028,23906,55465,220000,6,,50,,,,1998.99351600068,,,,,"","SRID=4326;LINESTRING(5.99410152925636 49.5136188931494,5.96432180232604 49.5118448979125)"
60404,66132,43986,220000,3,,50,,,,36.545393094527,,,,,"","SRID=4326;LINESTRING(5.95233436012122 49.4968920172731,5.95108441710034 49.4972923741885)"
73837,43744,3118,220000;65000;65000;220000,12;6;6,,50,,,,3434.7906641136,,,,,"","SRID=4326;LINESTRING(6.06630864373846 49.5122954778554,6.01875392320687 49.5205608321802)"
10026,67396,55465,220000,6,,50,,,,998.486411886486,,,,,"","SRID=4326;LINESTRING(5.95020786818065 49.5082618869108,5.96432180232604 49.5118448979125)"
2021,279,55722,220000,6,,50,,,,34.0285771667088,,,,,"","SRID=4326;LINESTRING(5.94785329398945 49.5103740090086,5.94795754541577 49.5092481362521)"
60320,67396,43922,220000,3,,50,,,,528.116962497641,,,,,"","SRID=4326;LINESTRING(5.95020786818065 49.5082618869108,5.95579032634477 49.5042682192294)"
10024,61317,21565,220000,3,1,50,,,,2950.59704400529,,,,,"","SRID=4326;LINESTRING(5.93366736851722 49.5380674987088,5.90333115769469 49.5258821477217)"
60406,55721,43986,220000,6,,50,,,,1177.30608934323,,,,,"","SRID=4326;LINESTRING(5.94724622305137 49.5055834185099,5.95108441710034 49.4972923741885)"
60319,23906,9963,220000,,,50,,,,1178.18688318306,,,,,"","SRID=4326;LINESTRING(5.99410152925636 49.5136188931494,5.99061632083023 49.5043445885039)"
4683,279,62128,220000,6,,50,,,,143.388717502082,,,,,"","SRID=4326;LINESTRING(5.94785329398945 49.5103740090086,5.94967087283772 49.5111193183565)"
73833,55465,3118,220000,6,,50,,,,4059.27118946184,,,,,"","SRID=4326;LINESTRING(5.96432180232604 49.5118448979125,6.01875392320687 49.5205608321802)"
60411,40161,43988,220000,6,2,50,,,,10362.2705360817,,,,,"","SRID=4326;LINESTRING(6.08346046717716 49.7764406544559,6.12068912514723 49.8508870249257)"
6314,66132,29288,220000,2,,,,,,34.8336153215302,,,,,"","SRID=4326;LINESTRING(5.95233436012122 49.4968920172731,5.95280387614969 49.4968077100237)"
73832,2695,3117,220000,6,,50,,,,10844.9645763929,,,,,"","SRID=4326;LINESTRING(6.13981180756045 49.6686103239722,6.03530276978341 49.604518377756)"
6313,66132,29288,220000,3,,,,,,49.172483847667,,,,,"","SRID=4326;LINESTRING(5.95233436012122 49.4968920172731,5.95280387614969 49.4968077100237)"
60405,23916,43986,220000,3,,50,,,,36.4750879260209,,,,,"","SRID=4326;LINESTRING(5.95240406938727 49.4970382870071,5.95108441710034 49.4972923741885)"
10027,62128,55465,65000;220000,6,,50,,,,807.674566445786,,,,,"","SRID=4326;LINESTRING(5.94967087283772 49.5111193183565,5.96432180232604 49.5118448979125)"
15645,67396,279,220000,6,,50,,,,305.579147009296,,,,,"","SRID=4326;LINESTRING(5.95020786818065 49.5082618869108,5.94785329398945 49.5103740090086)"
80662,2695,40161,220000,6,,50,,,,13248.7406313943,,,,,"","SRID=4326;LINESTRING(6.13981180756045 49.6686103239722,6.08346046717716 49.7764406544559)"
15644,61317,279,220000,6,,50,,,,3547.90034455907,,,,,"","SRID=4326;LINESTRING(5.93366736851722 49.5380674987088,5.94785329398945 49.5103740090086)"
4682,21565,62128,65000,6,1,50,,,,3920.55127022741,,,,,"","SRID=4326;LINESTRING(5.90333115769469 49.5258821477217,5.94967087283772 49.5111193183565)"
49668,6336,27355,220000,6,,50,220 kV Schifflange - Berchem,,,7625.56244829481,,,,,"","SRID=4326;LINESTRING(6.13923096466746 49.550863407576,6.08323452770338 49.5074002712314)"
2019,62448,55721,,,,50,,,,443.085283660652,,,,,"","SRID=4326;LINESTRING(5.94824502846487 49.5089560296456,5.94724622305137 49.5055834185099)"
39485,23916,66132,220000,3,,,,,,15.7418668749636,,,,,"","SRID=4326;LINESTRING(5.95240406938727 49.4970382870071,5.95233436012122 49.4968920172731)"
49669,43744,27355,220000;65000,12,,50,,,,1315.78070659955,,,,,"","SRID=4326;LINESTRING(6.06630864373846 49.5122954778554,6.08323452770338 49.5074002712314)"
