v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
9963,5.99061632083023,49.5043445885039,substation,,,,,,SRID=4326;POINT(5.99061632083023 49.5043445885039)
3117,6.03530276978341,49.604518377756,substation,,,Bertrange,,,SRID=4326;POINT(6.03530276978341 49.604518377756)
39376,6.11451707744375,49.9053646883447,substation,220000;65000,,Flebour,,,SRID=4326;POINT(6.11451707744375 49.9053646883447)
29288,5.95280387614969,49.4968077100237,joint,220000,,,,,SRID=4326;POINT(5.95280387614969 49.4968077100237)
43988,6.12068912514723,49.8508870249257,substation,,,,,,SRID=4326;POINT(6.12068912514723 49.8508870249257)
67396,5.95020786818065,49.5082618869108,joint,220000,50,,,,SRID=4326;POINT(5.95020786818065 49.5082618869108)
43922,5.95579032634477,49.5042682192294,substation,,,,,,SRID=4326;POINT(5.95579032634477 49.5042682192294)
279,5.94785329398945,49.5103740090086,substation,,,,,,SRID=4326;POINT(5.94785329398945 49.5103740090086)
21565,5.90333115769469,49.5258821477217,merge,220000,,Differdange-Arbed,,,SRID=4326;POINT(5.90333115769469 49.5258821477217)
62448,5.94824502846487,49.5089560296456,joint,150000;220000;65000;65000,50,220 kV,,,SRID=4326;POINT(5.94824502846487 49.5089560296456)
66132,5.95233436012122,49.4968920172731,joint,220000,,,,,SRID=4326;POINT(5.95233436012122 49.4968920172731)
40161,6.08346046717716,49.7764406544559,substation,220000;65000,,Roost,,,SRID=4326;POINT(6.08346046717716 49.7764406544559)
27355,6.08323452770338,49.5074002712314,joint,220000;65000;220000;65000,50,,,,SRID=4326;POINT(6.08323452770338 49.5074002712314)
3118,6.01875392320687,49.5205608321802,substation,,50,Schifflange,,,SRID=4326;POINT(6.01875392320687 49.5205608321802)
43986,5.95108441710034,49.4972923741885,substation,,,,,,SRID=4326;POINT(5.95108441710034 49.4972923741885)
2695,6.13981180756045,49.6686103239722,substation,220000;65000,,Heisdorf,,,SRID=4326;POINT(6.13981180756045 49.6686103239722)
55721,5.94724622305137,49.5055834185099,joint,65000;220000;65000;220000,50,,,,SRID=4326;POINT(5.94724622305137 49.5055834185099)
61317,5.93366736851722,49.5380674987088,joint,220000,50,,,,SRID=4326;POINT(5.93366736851722 49.5380674987088)
55722,5.94795754541577,49.5092481362521,joint,65000;220000;65000;220000,50,,,,SRID=4326;POINT(5.94795754541577 49.5092481362521)
43744,6.06630864373846,49.5122954778554,substation,,,,,,SRID=4326;POINT(6.06630864373846 49.5122954778554)
55465,5.96432180232604,49.5118448979125,merge,220000,,TGV,,,SRID=4326;POINT(5.96432180232604 49.5118448979125)
6336,6.13923096466746,49.550863407576,substation,,,Berchem,CREOS; SNCFL,,SRID=4326;POINT(6.13923096466746 49.550863407576)
67331,5.90595335385532,49.4829610748006,joint,63000,,,,,SRID=4326;POINT(5.90595335385532 49.4829610748006)
23916,5.95240406938727,49.4970382870071,joint,220000,,,,,SRID=4326;POINT(5.95240406938727 49.4970382870071)
62128,5.94967087283772,49.5111193183565,joint,65000;220000;65000;65000,50,,,,SRID=4326;POINT(5.94967087283772 49.5111193183565)
23906,5.99410152925636,49.5136188931494,joint,220000;65000,50,,,,SRID=4326;POINT(5.99410152925636 49.5136188931494)
