l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
13566,56248,22293,380000;110000,6;6,4;1,50,,TenneT,,1147.96634407808,,,,,"","SRID=4326;LINESTRING(7.04104819753057 52.9234400036701,7.03653928362499 52.9134801633692)"
13520,21242,29407,380000;380000;110000;110000,6;6;6;6,,50,,TenneT,,5561.70696494189,,,,,"","SRID=4326;LINESTRING(6.18892080210698 52.5304841704809,6.13799376129815 52.5708792707265)"
54891,21440,33995,110000,6,1,50,,,,284.743413371789,,,,,"","SRID=4326;LINESTRING(6.75945081040076 52.24862829162,6.7606170728682 52.2445292655628)"
37493,25809,25810,380000,3,3,50,,TenneT,,226.031830714696,,,,,"","SRID=4326;LINESTRING(4.22077056454152 51.4299331091174,4.22403701857764 51.4299956133025)"
9277,15115,55059,380000,,,50,,TenneT,,2974.49458241138,,,,,"","SRID=4326;LINESTRING(4.071946353934 51.9448152483968,4.02388490018975 51.9599498035031)"
9278,9106,55059,380000,3,,50,,TenneT,,4009.68296810439,,,,,"","SRID=4326;LINESTRING(4.09262216482375 51.9580780353178,4.02388490018975 51.9599498035031)"
11003,20464,54511,150000,6,2;1,50,,TenneT,,278.121723151893,,,,,"","SRID=4326;LINESTRING(4.84259299324953 51.708995434192,4.83872392452351 51.7020388223656)"
10996,21595,54511,380000,9,3,50,,TenneT,,717.492418144958,,,,,"","SRID=4326;LINESTRING(4.84206550557094 51.6950798245733,4.83872392452351 51.7020388223656)"
37347,25793,59668,150000,3,3,50,,TenneT,,139.734469589176,,,,,"","SRID=4326;LINESTRING(4.87369054721532 52.4284153776802,4.87319449751543 52.4295637747078)"
37490,44081,25809,380000,6,3,50,,TenneT,,14556.2470954193,,,,,"","SRID=4326;LINESTRING(4.03093750872671 51.468235698317,4.22077056454152 51.4299331091174)"
11022,20983,21006,380000,3,3,50,,,,638.685573752885,,,,,"","SRID=4326;LINESTRING(5.91982326246739 51.1480518588109,5.90889929543337 51.1556126057965)"
8302,39652,21505,380000,6,3,50,Dodewaard - Doetichem,TenneT,,44387.8761000111,,,,,"","SRID=4326;LINESTRING(6.25232928038956 51.9819104946583,5.66403746985347 51.926886511728)"
13565,22291,22293,380000;110000,6;6,4;1,50,,TenneT,,13114.0901091879,,,,,"","SRID=4326;LINESTRING(6.94776390449258 52.820473491079,7.03653928362499 52.9134801633692)"
13450,21505,56224,380000,6,3,50,Maasbracht - Boxmeer - Dodewaard,TenneT,,41563.3026525522,,,,,"","SRID=4326;LINESTRING(5.66403746985347 51.926886511728,5.90964192624344 51.6376330970461)"
10122,20464,54656,380000,3;6,3,50,,TenneT,,32640.1528604777,,,,,"","SRID=4326;LINESTRING(4.84259299324953 51.708995434192,4.62981211672161 51.9136518019909)"
59052,2459,43140,380000,6,4,50,,TenneT,,42224.9479179148,,,,,"","SRID=4326;LINESTRING(4.74797163610567 51.813743373808,4.26597003279105 51.8393451822115)"
61141,44367,44427,110000,3,,50,,,,70.364192296339,,,,,"","SRID=4326;LINESTRING(6.47580864919263 52.7373399828268,6.47638699251761 52.7394919282882)"
10994,2453,20464,380000,3;6;3;3,3,50,,TenneT,,446.107861613036,,,,,"","SRID=4326;LINESTRING(4.83300770038476 51.7007738611391,4.84259299324953 51.708995434192)"
37346,2441,59668,380000,3,3,50,,TenneT,,53.9244381607726,,,,,"","SRID=4326;LINESTRING(4.87619007491306 52.428953167509,4.87319449751543 52.4295637747078)"
13558,33845,56248,380000;110000,6;6,4;1,50,,TenneT,,7740.84283123445,,,,,"","SRID=4326;LINESTRING(6.99353836827864 52.9865662678126,7.04104819753057 52.9234400036701)"
9763,44220,21342,380000,12;6,4,50,,TenneT,,6623.62549765388,,,,,"","SRID=4326;LINESTRING(4.45721129720079 52.0114769969675,4.53017712021263 52.0362363002663)"
13449,43777,56224,380000;150000;380000,3,,50,,TenneT,,117.880951310057,,,,,"","SRID=4326;LINESTRING(5.91313949763675 51.6385990860141,5.90964192624344 51.6376330970461)"
10123,2459,54656,380000,3;6,3,50,,TenneT,,14589.1070670061,,,,,"","SRID=4326;LINESTRING(4.74797163610567 51.813743373808,4.62981211672161 51.9136518019909)"
13541,27095,29410,220000,6,4;2,50,,TenneT,,153.279421187181,,,,,"","SRID=4326;LINESTRING(6.83909982496976 53.2955051860698,6.83756307701322 53.2963101711032)"
13456,43777,56227,380000;150000;380000,3,,50,,TenneT,,282.458133395776,,,,,"","SRID=4326;LINESTRING(5.91313949763675 51.6385990860141,5.9180416233076 51.6412109778013)"
13563,22290,56249,380000;110000,6;6,4;1,50,,TenneT,,13852.1115869933,,,,,"","SRID=4326;LINESTRING(6.81043952498757 52.7227207673754,6.91073903157384 52.8088311711288)"
80258,68010,39911,110000;380000;110000;380000;110000,3;6;6;6;3,3;1;3;1,50,,TenneT,,7653.09438299481,,,,,"","SRID=4326;LINESTRING(6.76803545031599 52.277545678141,6.67933081983463 52.3210417610035)"
13551,63366,56246,380000;110000,6;6,4;1,50,,TenneT,,13087.9576085743,,,,,"","SRID=4326;LINESTRING(6.36673986693106 52.566740182736,6.53064027529605 52.611737675707)"
