v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
54511,4.83872392452351,51.7020388223656,merge,,,,,,SRID=4326;POINT(4.83872392452351 51.7020388223656)
43777,5.91313949763675,51.6385990860141,substation,380000;150000,,380kV Boxmeer,TenneT,,SRID=4326;POINT(5.91313949763675 51.6385990860141)
46711,6.50125192278586,52.7924710662182,substation,110000,,,,,SRID=4326;POINT(6.50125192278586 52.7924710662182)
28074,6.76845128046101,52.2749069164677,joint,380000;110000;110000;380000,50,,TenneT,,SRID=4326;POINT(6.76845128046101 52.2749069164677)
42158,6.86968211792241,53.4299874349033,substation,220000,,220kV Eemshaven Oost,,,SRID=4326;POINT(6.86968211792241 53.4299874349033)
5402,4.30705364428807,52.0160575785272,substation,380000;150000,,380kV Wateringen,TenneT,WTR,SRID=4326;POINT(4.30705364428807 52.0160575785272)
20249,6.94688382909757,53.1243738207984,merge,380000;220000;220000;110000,,380kV Meeden;110kV Meeden;220kV Meeden,TenneT,,SRID=4326;POINT(6.94688382909757 53.1243738207984)
2459,4.74797163610567,51.813743373808,substation,380000,,380kV Crayestein,TenneT,,SRID=4326;POINT(4.74797163610567 51.813743373808)
21505,5.66403746985347,51.926886511728,merge,380000,50,Maasbracht - Boxmeer - Dodewaard;380kV Dodewaard,TenneT,,SRID=4326;POINT(5.66403746985347 51.926886511728)
55059,4.02388490018975,51.9599498035031,merge,380000;150000,,Centrale Maasvlakte (E.ON);380kV Maasvlakte,E.ON,MVL,SRID=4326;POINT(4.02388490018975 51.9599498035031)
25809,4.22077056454152,51.4299331091174,joint,380000,50,,TenneT,,SRID=4326;POINT(4.22077056454152 51.4299331091174)
20832,4.22374218753304,51.9829582462768,merge,380000;150000,,150kV Opstijgpunt Westerlee;380kV Westerlee;150kV Westerlee,TenneT,WL,SRID=4326;POINT(4.22374218753304 51.9829582462768)
61023,6.84059677755922,53.2923681070445,joint,380000;380000;220000;220000,50,,TenneT,,SRID=4326;POINT(6.84059677755922 53.2923681070445)
29407,6.13799376129815,52.5708792707265,joint,380000;110000;380000;110000,50,,TenneT,,SRID=4326;POINT(6.13799376129815 52.5708792707265)
2453,4.83300770038476,51.7007738611391,substation,380000,,380kV Geertruidenberg,Tennet,,SRID=4326;POINT(4.83300770038476 51.7007738611391)
21440,6.75945081040076,52.24862829162,merge,380000;110000,50,380kV Hengelo;110kV Hengelo-Oele,TenneT,,SRID=4326;POINT(6.75945081040076 52.24862829162)
33995,6.7606170728682,52.2445292655628,joint,380000;110000;110000;380000,50,Hengelo - Gronau (DE),TenneT,,SRID=4326;POINT(6.7606170728682 52.2445292655628)
56246,6.53064027529605,52.611737675707,joint,110000;380000;110000,50,,TenneT,,SRID=4326;POINT(6.53064027529605 52.611737675707)
56249,6.91073903157384,52.8088311711288,joint,380000;110000;110000,50,,TenneT,,SRID=4326;POINT(6.91073903157384 52.8088311711288)
59745,6.94889003253275,52.197010014788,joint,380000;110000,50,Hengelo-Oele - Gronau;Hengelo-Oele - Losser;Hengelo-Oele - Gronau/Losser,Tennet,,SRID=4326;POINT(6.94889003253275 52.197010014788)
16584,5.54992639291996,51.4484787336998,substation,,,,,,SRID=4326;POINT(5.54992639291996 51.4484787336998)
12497,4.35659635058202,51.877284625108,substation,,,150 kV Vondelingenweg,,,SRID=4326;POINT(4.35659635058202 51.877284625108)
5758,5.87145198751424,52.9729820747126,substation,220000;110000,,220kV Oudehaske,TenneT,OHK,SRID=4326;POINT(5.87145198751424 52.9729820747126)
39827,5.80938755950337,52.6171729147062,substation,380000,,380kV Ens,Tennet,ENS,SRID=4326;POINT(5.80938755950337 52.6171729147062)
22290,6.81043952498757,52.7227207673754,joint,380000;110000;110000,50,,TenneT,,SRID=4326;POINT(6.81043952498757 52.7227207673754)
20464,4.84259299324953,51.708995434192,merge,,,Amercentrale,Essent,,SRID=4326;POINT(4.84259299324953 51.708995434192)
55540,3.72172236469434,51.4332758261854,merge,380000,,380 kV Borssele;Kernenergiecentrale Borssele;Kolencentrale Borssele,EPZ,BSL,SRID=4326;POINT(3.72172236469434 51.4332758261854)
44391,6.95842492401003,53.3077035095509,substation,110000,,110kV Delfzijl Welwerd,TenneT,DZW,SRID=4326;POINT(6.95842492401003 53.3077035095509)
59726,6.88841697474181,52.2010162063403,joint,110000;380000;110000;380000;110000,50,Hengelo-Oele - Gronau/Losser,Tennet,,SRID=4326;POINT(6.88841697474181 52.2010162063403)
