l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
57314,61069,8010,300000,,3,,,,,28341.8355839571,,,,,"","SRID=4326;LINESTRING(9.81887315699117 59.7275675962357,10.2153095044315 59.8672063830499)"
47892,26347,61071,300000,,,,,,,15.740360190736,,,,,"","SRID=4326;LINESTRING(8.03444647138148 59.4480275829308,8.03474075946856 59.4480403686071)"
41799,26375,60253,,,,,,,,602.757320774983,,,,,"","SRID=4326;LINESTRING(10.129922549629 62.7030799840201,10.1410942679969 62.704815888006)"
41737,32403,32406,,,,,,,,12086.546533992,,,,,"","SRID=4326;LINESTRING(10.5028459227434 62.381119290288,10.3961173533317 62.4742604036517)"
79124,28515,5193,420000;300000;420000;420000;420000;300000,3,,50,,,,32581.6169600776,,,,,"","SRID=4326;LINESTRING(10.7435672113495 59.5162516799877,11.1554910961667 59.314393669753)"
44441,35052,66718,,,,,,,,1263.18797814882,,,,,"","SRID=4326;LINESTRING(7.30419995820832 60.8603999706508,7.31471770304937 60.8501422848198)"
70718,66423,50267,,,,,,,,2995.74356980534,,,,,"","SRID=4326;LINESTRING(10.0263366464073 62.8009576738795,10.012937563349 62.8024058316244)"
74549,62496,52511,300000,,2,,,,,890.574674465424,,,,,"","SRID=4326;LINESTRING(6.63621781871108 60.1292024279338,6.63068241487596 60.1289730309032)"
41343,66335,26328,,,,,,,,2740.71031635113,,,,,"","SRID=4326;LINESTRING(7.52336202790648 58.3791857069568,7.51470711947011 58.4032226755991)"
41492,32357,66366,,,,,,,,7035.23454836554,,,,,"","SRID=4326;LINESTRING(7.25581292408145 58.4419745891839,7.24748033116901 58.3941862754118)"
41404,26335,32338,,,,,,,,915.387277107271,,,,,"","SRID=4326;LINESTRING(11.6869064952515 63.0325049714635,11.7047846762045 63.0337807933356)"
79663,62031,39620,,6,,,,,,2149.34724633894,,,,,"","SRID=4326;LINESTRING(10.8771288062087 59.949748208404,10.9065148608426 59.9610179874599)"
42061,60296,60297,300000,,,,,,,14.0825567660414,,,,,"","SRID=4326;LINESTRING(6.00987316086811 59.8633971728448,6.00971299125295 59.8635060016599)"
964,12818,62503,420000,3,,,Klæbu-Viklandet,,,95300.6965757086,,,,,"","SRID=4326;LINESTRING(8.49677871807033 62.6887973768035,9.76009078380664 63.2444878181639)"
70717,66420,50267,,,,,,,,16755.0815781162,,,,,"","SRID=4326;LINESTRING(10.0374656049677 62.7101171835421,10.012937563349 62.8024058316244)"
41591,66385,32376,,,,,,,,9325.42878745767,,,,,"","SRID=4326;LINESTRING(8.68282699743003 58.5312627109702,8.64321210188412 58.5365622946899)"
979,66334,62501,,,,,,,,17383.4026280881,,,,,"","SRID=4326;LINESTRING(7.53147058098706 58.3215011844378,7.3350508337878 58.2225195712746)"
70833,41704,50330,300000,3,,,,,,45409.8830268171,,,,,"","SRID=4326;LINESTRING(10.6067503936968 60.7093316751572,10.6391405968891 60.3115641632366)"
77148,7371,53293,,3,,,,,,16023.0463759768,,,,,"","SRID=4326;LINESTRING(11.2679785392397 60.8354810387114,11.5330058703353 60.8970562268576)"
44432,26725,60640,,,,,,,,773.170366756473,,,,,"","SRID=4326;LINESTRING(7.38163401704719 60.8004877787451,7.37083707581583 60.8050087905516)"
41562,66378,32371,,,,,,,,4045.85473434187,,,,,"","SRID=4326;LINESTRING(7.86829865783868 59.4780982677209,7.83133549917996 59.497212484462)"
4027,28515,62958,,,,,,,,1332.98128683095,,,,,"","SRID=4326;LINESTRING(10.7435672113495 59.5162516799877,10.727559823568 59.5113484624225)"
56354,37005,7390,420000,3,,,,,,1214.85951368869,,,,,"","SRID=4326;LINESTRING(10.7477365113034 59.5173982060245,10.7357006948287 59.5276957769999)"
55194,40774,40775,132000,6,,,,,,547.765193867931,,,,,"","SRID=4326;LINESTRING(9.67291656441363 59.1157109856528,9.67879081448531 59.1101076392635)"
41339,66332,66333,300000,3,,,Feda-Vennesla,,,5035.79251669404,,,,,"","SRID=4326;LINESTRING(7.58342626241163 58.2493077015651,7.49856987353771 58.253165509837)"
41602,41325,66387,,,,,,,,680.72403181601,,,,,"","SRID=4326;LINESTRING(7.96788860772685 58.3005591508392,7.96896404824017 58.3070976803329)"
97,67164,62373,,,,,,,,3890.86477812662,,,,,"","SRID=4326;LINESTRING(6.55800969621496 60.12197669809,6.61809632218991 60.1320134261474)"
41822,66397,32421,,,,,,,,8628.53334548041,,,,,"","SRID=4326;LINESTRING(9.78458338461799 62.9729376845893,9.72114813217766 62.9148105785543)"
70648,39918,50236,,,,,,,,6863.70569906163,,,,,"","SRID=4326;LINESTRING(10.3419077988593 63.3621724925911,10.4188668175042 63.3264862034492)"
41711,26365,26366,,,,,,,,1660.86347454792,,,,,"","SRID=4326;LINESTRING(9.77156571817276 63.1772000920763,9.79819313066699 63.1843524068284)"
41770,66411,26372,,,,,,,,7903.55051624005,,,,,"","SRID=4326;LINESTRING(9.61827603028073 62.5732570986734,9.50981209540322 62.5895156072409)"
42062,33585,32453,300000,3,,,,,,497.077809201877,,,,,"","SRID=4326;LINESTRING(6.00515781411024 59.8599974122826,6.0095528216378 59.8636146948165)"
54607,39617,28067,,6,,,,,,2814.28653554582,,,,,"","SRID=4326;LINESTRING(10.8312239063228 59.9389616037291,10.8768233790121 59.9496561710553)"
69105,54916,49485,300000,3,,,Roskrepp-Kvinen;Kvinen-Solhom;Roskrepp-Svartevatn;Roskrepp-Kvinen;Roskrepp-Duge,,,48946.8746127467,,,,,"","SRID=4326;LINESTRING(7.0107005119398 58.7746505730746,6.89498453443668 59.1256450422038)"
69383,50617,15674,300000,3,,,,,,60440.5710654285,,,,,"","SRID=4326;LINESTRING(10.4218496395611 61.13824903414,9.80466195208096 61.5777450652217)"
41767,26371,66392,,,,,,,,757.58168493224,,,,,"","SRID=4326;LINESTRING(9.67696224914003 62.5833023963447,9.66262037613448 62.5849090013965)"
80383,36746,39982,,,,,,,,1983.46430290378,,,,,"","SRID=4326;LINESTRING(10.4370355491783 63.4112276362119,10.4397205801242 63.3917515446442)"
71262,50187,16609,300000,,,,Lyse-Førre,,,31507.7159938853,,,,,"","SRID=4326;LINESTRING(6.60365624941379 59.3277348400346,6.66505589326594 59.0610708390309)"
70018,63642,16013,,3,,,,,,2720.61584972639,,,,,"","SRID=4326;LINESTRING(10.4027239232572 63.3470940728259,10.4411607087377 63.3575052233505)"
80282,41901,5856,300000,3,,,Kjelland-Stokkeland,Lyse,,40901.1629247086,,,,,"","SRID=4326;LINESTRING(6.03201738244051 58.4950145119024,5.73431572282604 58.8153721319754)"
44428,4568,66717,,,,,,,,4241.33584944518,,,,,"","SRID=4326;LINESTRING(7.56600100025895 60.7889662554684,7.48743534542258 60.7946031839268)"
60851,5856,10255,300000,3;6;3;3,,,Stokkeland-Berheim 1;Gandal-Berheim 1&2;Stokkeland-Berheim 2,Lyse,Ganddal-Berheim 2,10284.2961361462,,,,,"","SRID=4326;LINESTRING(5.73431572282604 58.8153721319754,5.69414034707599 58.882990068606)"
