l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
9890,24142,21561,220000,3,,,220kV Koksochemia - Łośnice; Siersza - Łośnice,,,1410.6531423135,,,,,"","SRID=4326;LINESTRING(19.470730548212 50.4838250007758,19.4609594649998 50.4965097780685)"
37369,64678,59671,220000,,,,220kV Joachimów - Huta Częstochowa,,,4251.46289792675,,,,,"","SRID=4326;LINESTRING(19.2515288628098 50.7606598988513,19.1918769550201 50.7596670035592)"
14570,6071,56384,400000,3,,50,400kV Ołtarzew - Mościska,PSE Operator,,509.177815602471,,,,,"","SRID=4326;LINESTRING(20.8813059369033 52.2906316504924,20.8707974986568 52.2902118990816)"
25673,13771,24145,220000,3,,,220kV Łagisza/Joachimów - Wrzosowa,,,5616.83741019392,,,,,"","SRID=4326;LINESTRING(19.1665406179959 50.7539553575433,19.2454974841607 50.7439979716747)"
25597,58011,58012,220000,6,,,220kV Groszowice - Kędzierzyn; Wielopole - Blachownia,,,6978.31974128018,,,,,"","SRID=4326;LINESTRING(18.2437508968799 50.3354489906435,18.2929061702378 50.381162860699)"
38385,65995,31969,220000;110000,3,,,220kV Klikowa - Niziny;110kV Połaniec - Grzybów,,,3321.98044643434,,,,,"","SRID=4326;LINESTRING(21.0554499782317 50.4960599962515,21.0497100130608 50.4664400170215)"
38733,39809,25977,400000,3;6;3,2,50,400kV Gdańsk Błonia - Żarnowiec;2x400kV Gdańsk Błonia / Gdańsk I - Żarnowiec;400kV Gdańsk I - Żarnowiec,PSE Operator oddział Bydgoszcz,,52277.8412068923,,,,,"","SRID=4326;LINESTRING(18.1085910808269 54.7185976174731,18.4316112603345 54.3366296735186)"
23069,57505,23758,220000,3,,50,220kV Plewiska - Leszno,,,541.791861004738,,,,,"","SRID=4326;LINESTRING(16.5276278833928 51.9049694100669,16.5279901739469 51.9097666920789)"
15932,49224,29692,400000,3,2,50,400kV Miłosna - Stanisławów,PSE Operator,,482.273094238388,,,,,"","SRID=4326;LINESTRING(21.5568219570185 52.2697204922515,21.5482812839541 52.2669797932302)"
12565,30291,55161,220000,3,1,50,Elana;220kV Toruń Elana - Grudziądz Węgrowo,PSE,pole 08,928.129387397787,,,,,"","SRID=4326;LINESTRING(18.8159250915884 53.4443293721014,18.804678412732 53.4466710786947)"
6276,54102,29283,110000,3,,,,,TB-6,1103.68437264188,,,,,"","SRID=4326;LINESTRING(21.4563278624579 51.6617588454001,21.4669005966108 51.6652128184545)"
25745,55283,58036,220000,6,,,220kV Skawina - Klikowa / Wanda,,,23182.465532611,,,,,"","SRID=4326;LINESTRING(19.803082479048 49.9764657237081,20.084204967771 50.0219618174997)"
25760,12024,58039,220000,3,,,220kV Połaniec - Klikowa,,,16545.4939741758,,,,,"","SRID=4326;LINESTRING(20.9450319554245 50.0638027865546,21.1463926328186 50.1056037719004)"
10235,57989,20806,220000,3,,,220kV Chmielów - Stalowa Wola/Abramowice,,,75609.8784939888,,,,,"","SRID=4326;LINESTRING(22.0577660075712 50.6344807652194,22.5840903716451 51.1963351474869)"
11994,15259,20301,110000,3,,,,,,45.7870780495278,,,,,"","SRID=4326;LINESTRING(17.873256970961 50.7463466798325,17.8818071769478 50.7517928126488)"
73290,21578,3075,400000,3,2,50,400kV Morzyczyn - Dunowo,,,128425.265814323,,,,,"","SRID=4326;LINESTRING(16.0951087079343 54.1267624089943,14.8963773251558 53.3546209327705)"
16967,49036,29810,220000,3,,50,220kV Sochaczew - Ołtarzew;220 kV Ołtarzew - Mory;220 kV Ołtarzew - Mory,,,900.717781884187,,,,,"","SRID=4326;LINESTRING(20.74197245574 52.2270544729115,20.741259805866 52.2365815821712)"
6956,31904,29360,220000,3,,,220kV Elektrownia Bełchatów - Rogowiec,,,116.838690267182,,,,,"","SRID=4326;LINESTRING(19.3275322647272 51.2696094924717,19.3287194427521 51.2685946962219)"
