v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
5294,19.1410709272918,50.3521511601746,substation,400000;220000;110000,,"Stacja elektroenergetyczna ""Łagisza"" 400/220/110 kV",PSE Operator,LAG,SRID=4326;POINT(19.1410709272918 50.3521511601746)
58030,19.2099099156966,50.083659279666,joint,220000,,220kV Byczyna - Poręba;220kV Komorowice - Bieruń; Byczyna - Poręba;220kV Komorowice - Bieruń,,,SRID=4326;POINT(19.2099099156966 50.083659279666)
48385,19.1576238645604,50.2434126827755,substation,,,"Stacja elektroenergetyczna ""Modrzejów"" 110kV",,,SRID=4326;POINT(19.1576238645604 50.2434126827755)
9056,23.2360687058987,50.7314785785676,substation,,,"Stacja elektroenergetyczna 110kV ""Zamość Janowice""",,,SRID=4326;POINT(23.2360687058987 50.7314785785676)
49224,21.5568219570185,52.2697204922515,substation,400000,,"Stacja elektrenergetyczna 400kV ""Stanisławów""",,STN,SRID=4326;POINT(21.5568219570185 52.2697204922515)
33000,18.5468016902279,50.1309108115106,joint,,,,,,SRID=4326;POINT(18.5468016902279 50.1309108115106)
51293,21.7818920963863,49.607415642952,substation,110000,,"Stacja elektroenergetyczna 110kV ""Iwonicz""",,,SRID=4326;POINT(21.7818920963863 49.607415642952)
56385,20.870790401966,52.2907730646451,joint,400000,50,400kV Mościska - Miłosna;400kV Ołtarzew - Miłosna;400kV Miłosna - Ołtarzew / Mościska,PSE Operator,,SRID=4326;POINT(20.870790401966 52.2907730646451)
43652,19.384725753492,51.2418766426695,substation,220000;110000,,"Stacja elektroenergetyczna ""Kopalnia Bełchatów"" 220/110kV",,BEK,SRID=4326;POINT(19.384725753492 51.2418766426695)
15295,22.3440003671178,52.1297306876238,substation,400000;110000,,"Stacja elektroenergetyczna 400/110kV ""Siedlce Ujrzanów""",PSE Operator oddział Warszawa,SDU,SRID=4326;POINT(22.3440003671178 52.1297306876238)
55122,17.849235962603,51.6360613951213,merge,400000;110000,,"Stacja elektroenergetyczna ""Ostrów"" 400/110 kV",PSE Operator,OSR,SRID=4326;POINT(17.849235962603 51.6360613951213)
64794,15.4421210315478,51.9415479692007,joint,220000;110000,,220kV Leśniów - Zielona Góra;110kV Leśniów - Łużycka,,,SRID=4326;POINT(15.4421210315478 51.9415479692007)
17289,19.1343173761529,50.2335427497691,substation,,,,,,SRID=4326;POINT(19.1343173761529 50.2335427497691)
30670,21.2176867066905,50.5022972653072,joint,220000,,220 kV Połaniec - Chmielów I;220 kV Połaniec - Radkowice;220 kV Połaniec - Chmielów I; Połaniec - Radkowice,,,SRID=4326;POINT(21.2176867066905 50.5022972653072)
49223,22.1340334875923,53.0908070672203,substation,400000,,"Stacja elektrenergetyczna 400kV ""Łomża""",PSE Operator,LMS,SRID=4326;POINT(22.1340334875923 53.0908070672203)
22878,20.1431241197834,50.0502481657052,joint,220000,,220kV Lubocza - Wanda;220kV Lubocza - Klikowa;220kV Lubocza - Wanda / Klikowa,,,SRID=4326;POINT(20.1431241197834 50.0502481657052)
30809,15.3125756132456,51.9393407693633,joint,220000;110000,,220kV Leśniów - Zielona Góra;110kV Leśniów - Łużycka,,,SRID=4326;POINT(15.3125756132456 51.9393407693633)
65993,21.0486400297259,50.4421999806268,joint,220000;110000,,220kV Klikowa - Niziny;110kV Połaniec - Cegielnia Oleśnica,,,SRID=4326;POINT(21.0486400297259 50.4421999806268)
36969,20.8775465337779,52.2143946760705,substation,220000;110000,50,"Stacja elektroenergetyczna ""Mory"" 220/110kV",PSE Operator,MOR,SRID=4326;POINT(20.8775465337779 52.2143946760705)
57294,18.5442988940149,50.1307435837606,joint,220000,,220kV Wielopole - Kędzierzyn;220kV Wielopole - Blachownia;220kV Wielopole - Kędzierzyn/Blachownia,,,SRID=4326;POINT(18.5442988940149 50.1307435837606)
27848,16.8879900240578,52.3020599774198,joint,400000;220000;220000,50,400kV Plewiska - Ostrów + 220kV Plewiska - Konin;400kV Plewiska - Ostrów + 220kv Plewiska - Konin + 220kV Plewiska - PPD + unused;220kV Plewiska - PPD + unused,,,SRID=4326;POINT(16.8879900240578 52.3020599774198)
58974,19.1523367094743,50.2328071828455,joint,,,,,,SRID=4326;POINT(19.1523367094743 50.2328071828455)
55050,19.2080543855499,50.207458335855,merge,,,Elektrownia Jaworzno III;Stacja elektroenergetyczna 110kV,TAURON Wytwarzanie S.A.,,SRID=4326;POINT(19.2080543855499 50.207458335855)
31452,15.4465900602548,51.9427549164575,joint,220000;110000,,220kV Leśniów - Zielona Góra;110kV Krośnieńska - Energetyków,,,SRID=4326;POINT(15.4465900602548 51.9427549164575)
22445,20.8754953282666,52.0637803748361,joint,220000,,220kV Mory - Piaseczno;220kV Kozienice - Mory;220kV x 2 Mory - Piaseczno/Kozienice,,,SRID=4326;POINT(20.8754953282666 52.0637803748361)
30027,16.9255252298895,52.2974621623486,joint,400000;220000;220000,50,400kV Plewiska - Kromolice + 220kV Plewiska - Konin + 110kV Plewiska - Kromolice;400kV Plewiska - Ostrów + 220kV Plewiska - Konin,,,SRID=4326;POINT(16.9255252298895 52.2974621623486)
29111,21.8667921044908,50.1890664944288,joint,400000;110000;110000;110000,,400 kV Rzeszów - Krosno Iskrzynia,,,SRID=4326;POINT(21.8667921044908 50.1890664944288)
