l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
18344,7485,23035,220000,6,,50,,,,9225.13818314131,,,,,"","SRID=4326;LINESTRING(-8.60995281522297 41.0688428911846,-8.52194438943052 41.0446382042665)"
58775,64248,43006,220000,6,,,,,,54.8315428245099,,,,,"","SRID=4326;LINESTRING(-8.41721654781965 40.164126171559,-8.4194623757356 40.1651768996996)"
6957,63042,62151,220000,3;6,,50,,,,1163.85938978543,,,,,"","SRID=4326;LINESTRING(-8.94783799566929 39.0142614211165,-8.95704299488151 39.0122330012082)"
57181,41983,7942,220000,3,,,,,,873.434845044465,,,,,"","SRID=4326;LINESTRING(-7.12493476976232 41.137818877654,-7.11439275976911 41.1330719186871)"
58800,42117,43015,400000,3,2,50,,,,95709.7388733009,,,,,"","SRID=4326;LINESTRING(-8.85828174432163 38.5729473047463,-8.76386131684269 37.9975899994926)"
21606,57409,64242,220000,3,,,,,,1236.35004378932,,,,,"","SRID=4326;LINESTRING(-6.73894324034519 41.2124953175597,-6.72746465747624 41.2193447672796)"
1982,8943,55716,,,,,,,,3587.51348357247,,,,,"","SRID=4326;LINESTRING(-7.62166475483941 41.4725676247184,-7.65992609976216 41.4646205479357)"
64786,35048,46895,60000;220000,3,,50,,REN,,17570.8735136196,,,,,"","SRID=4326;LINESTRING(-7.31301144299872 41.6209131654926,-7.47711559688929 41.7147916255646)"
21683,9455,64252,400000,6,,,,,,151.556239472322,,,,,"","SRID=4326;LINESTRING(-9.23890774440255 38.7780052687848,-9.24138524771407 38.7805417796179)"
78093,40798,20061,60000,3,,50,,,,6174.83446485437,,,,,"","SRID=4326;LINESTRING(-8.55472577211977 41.2034193521544,-8.62069403951858 41.1858834095957)"
58728,63648,8932,220000,3,,,,REN,,23301.930735096,,,,,"","SRID=4326;LINESTRING(-8.47494992365709 40.6054149895644,-8.55480141992163 40.7860445769661)"
58781,23709,8959,400000,6,,,,,,9201.59064138191,,,,,"","SRID=4326;LINESTRING(-8.77882357380537 40.1190508083768,-8.83701001452627 40.0578823337396)"
6955,66867,63326,,,,,,,,125.15996250793,,,,,"","SRID=4326;LINESTRING(-8.85252091055689 38.5476661174751,-8.85118782752506 38.5469494006685)"
21605,41983,64242,220000,3,,,,,,37014.1768063381,,,,,"","SRID=4326;LINESTRING(-7.12493476976232 41.137818877654,-6.72746465747624 41.2193447672796)"
24242,29634,23936,400000,3,,,,,,653.963151263843,,,,,"","SRID=4326;LINESTRING(-8.52130290248613 37.225497404864,-8.51665492937457 37.2296575786102)"
21663,29080,55548,400000,3,,,,,,29268.9144778344,,,,,"","SRID=4326;LINESTRING(-8.95293279982934 39.4278881325562,-8.7933186993984 39.6553981131285)"
18345,23034,23035,220000,6,,,,,,8240.62007025275,,,,,"","SRID=4326;LINESTRING(-8.45355600617661 41.0764108624204,-8.52194438943052 41.0446382042665)"
6671,28441,29320,,,,,,,,1469.45959364316,,,,,"","SRID=4326;LINESTRING(-8.86189325214536 38.5491073014794,-8.87728559672731 38.5444147243409)"
4625,23709,22065,400000,3,,,,,,332.88474890669,,,,,"","SRID=4326;LINESTRING(-8.77882357380537 40.1190508083768,-8.77646508486149 40.1217120468462)"
4546,8941,55973,220000,3,,,,,,241.186567164068,,,,,"","SRID=4326;LINESTRING(-7.66227132860879 41.1018656044765,-7.66042565411281 41.1054639801606)"
58756,43000,8949,400000;220000;400000,3;6;3;6,,,,REN,,59748.6387632741,,,,,"","SRID=4326;LINESTRING(-7.99278865763206 40.7018699440353,-8.47945711586935 40.4686978814896)"
