v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
57406,-8.59782310518647,41.2336881620999,joint,220000,,,,,SRID=4326;POINT(-8.59782310518647 41.2336881620999)
9454,-8.77559476733818,40.1234777779769,station,,,,,,SRID=4326;POINT(-8.77559476733818 40.1234777779769)
64244,-6.49518502867325,41.3314100967168,joint,400000;400000;220000;220000,,,,,SRID=4326;POINT(-6.49518502867325 41.3314100967168)
64254,-9.14658145437298,38.9007816941247,joint,400000,,,,,SRID=4326;POINT(-9.14658145437298 38.9007816941247)
8964,-7.91278017222342,40.1329625830428,substation,220000,50,,,,SRID=4326;POINT(-7.91278017222342 40.1329625830428)
17112,-8.36095083503661,41.4297542957628,substation,,,,,,SRID=4326;POINT(-8.36095083503661 41.4297542957628)
22063,-9.11370038990068,38.8621081327067,joint,220000,,,,,SRID=4326;POINT(-9.11370038990068 38.8621081327067)
8940,-6.8864755420518,41.5010010649853,substation,220000,50,,,,SRID=4326;POINT(-6.8864755420518 41.5010010649853)
57405,-8.49129171597968,40.8011750878743,joint,220000,,,REN,,SRID=4326;POINT(-8.49129171597968 40.8011750878743)
64248,-8.41721654781965,40.164126171559,joint,220000,,,,,SRID=4326;POINT(-8.41721654781965 40.164126171559)
35463,-8.85163283606702,39.6306182717116,station,,,,,,SRID=4326;POINT(-8.85163283606702 39.6306182717116)
29155,-8.95531215321543,39.4276057143281,joint,220000;30000;30000,50,,EDP,,SRID=4326;POINT(-8.95531215321543 39.4276057143281)
64249,-8.80708798624185,40.0447008980121,joint,400000,,,REN,,SRID=4326;POINT(-8.80708798624185 40.0447008980121)
57416,-8.20253940700898,40.3355129866114,joint,220000,,,,,SRID=4326;POINT(-8.20253940700898 40.3355129866114)
19759,-8.00565649455754,40.7400917162109,substation,,,,,,SRID=4326;POINT(-8.00565649455754 40.7400917162109)
8303,-8.39003675375184,41.4029370094482,substation,400000;150000;60000,,Subestação de Riba de Ave,Redes Energéticas Nacionais,,SRID=4326;POINT(-8.39003675375184 41.4029370094482)
42989,-7.73786257974734,41.1475504886087,substation,220000,50,,,,SRID=4326;POINT(-7.73786257974734 41.1475504886087)
54579,-8.46294691843868,40.5956221041409,merge,150000;60000,50,Subestação de Mourisca,EDP,,SRID=4326;POINT(-8.46294691843868 40.5956221041409)
9453,-8.62546294061378,41.1723450995795,substation,220000,50,,,,SRID=4326;POINT(-8.62546294061378 41.1723450995795)
23548,-9.11239912050778,38.8699147561334,joint,220000,,,,,SRID=4326;POINT(-9.11239912050778 38.8699147561334)
30287,-7.25735452294052,40.6209323881778,joint,220000,,,,,SRID=4326;POINT(-7.25735452294052 40.6209323881778)
7943,-7.3730182626324,41.1610454128313,substation,220000,50,,,,SRID=4326;POINT(-7.3730182626324 41.1610454128313)
23035,-8.52194438943052,41.0446382042665,joint,220000,50,,,,SRID=4326;POINT(-8.52194438943052 41.0446382042665)
56092,-8.86071296698005,38.5391780769699,joint,,,,,,SRID=4326;POINT(-8.86071296698005 38.5391780769699)
29693,-8.47391892720551,40.5998289597561,joint,220000,,,REN,,SRID=4326;POINT(-8.47391892720551 40.5998289597561)
54030,-6.73743058222851,41.2198660286332,merge,400000;220000,50,REN - subestação de Lagoaça;Subestação de Lagoaça,,,SRID=4326;POINT(-6.73743058222851 41.2198660286332)
63326,-8.85118782752506,38.5469494006685,joint,,,,,,SRID=4326;POINT(-8.85118782752506 38.5469494006685)
63042,-8.94783799566929,39.0142614211165,joint,220000;400000,50,,,,SRID=4326;POINT(-8.94783799566929 39.0142614211165)
46308,-8.39463029728649,41.1546276081891,sub_station,,,,,,SRID=4326;POINT(-8.39463029728649 41.1546276081891)
57414,-7.64240030148796,40.5244513550318,joint,220000,,,,,SRID=4326;POINT(-7.64240030148796 40.5244513550318)
43021,-9.16937930104336,38.8161593834428,sub_station,,,,,,SRID=4326;POINT(-9.16937930104336 38.8161593834428)
43319,-8.43205950048591,41.4966817770338,substation,,,,,,SRID=4326;POINT(-8.43205950048591 41.4966817770338)
8943,-7.62166475483941,41.4725676247184,substation,220000,50,Subestação de Vila Pouca de Aguiar,,,SRID=4326;POINT(-7.62166475483941 41.4725676247184)
46889,-9.10200181429757,38.868021149363,station,,,,,,SRID=4326;POINT(-9.10200181429757 38.868021149363)
42636,-7.73871331422209,40.4482485759065,substation,220000;60000,50,Subestação de Vila Chã,,,SRID=4326;POINT(-7.73871331422209 40.4482485759065)
17111,-8.49765790452708,41.4087142184535,substation,,,,,,SRID=4326;POINT(-8.49765790452708 41.4087142184535)
57426,-9.10425688060405,38.87273812336,joint,220000,,,,,SRID=4326;POINT(-9.10425688060405 38.87273812336)
57423,-9.21139705807889,38.7851857607302,joint,220000,,,,,SRID=4326;POINT(-9.21139705807889 38.7851857607302)
57425,-9.11182725299791,38.8645283732807,joint,220000,,,,,SRID=4326;POINT(-9.11182725299791 38.8645283732807)
62151,-8.95704299488151,39.0122330012082,joint,220000,50,,,,SRID=4326;POINT(-8.95704299488151 39.0122330012082)
8947,-7.65543511562502,40.5738782899565,substation,220000,50,,,,SRID=4326;POINT(-7.65543511562502 40.5738782899565)
57413,-7.64128162946464,40.522447818137,joint,220000,,,,,SRID=4326;POINT(-7.64128162946464 40.522447818137)
18463,-7.79129673366778,40.2044159427569,station,,,,,,SRID=4326;POINT(-7.79129673366778 40.2044159427569)
43011,-8.11433671968279,39.4665678972879,substation,400000,50,,,,SRID=4326;POINT(-8.11433671968279 39.4665678972879)
8971,-9.20271488128449,38.7712759861863,station,,,,,,SRID=4326;POINT(-9.20271488128449 38.7712759861863)
8945,-7.41796847569165,40.6331211519585,substation,220000,50,,,,SRID=4326;POINT(-7.41796847569165 40.6331211519585)
42997,-7.2588469291279,40.6141272094455,substation,220000,50,Subestação de Sobral,,,SRID=4326;POINT(-7.2588469291279 40.6141272094455)
56018,-8.99587704577742,39.2869152311743,joint,220000,50,,,,SRID=4326;POINT(-8.99587704577742 39.2869152311743)
30285,-7.70481192366203,41.1227771007791,joint,400000,,,,,SRID=4326;POINT(-7.70481192366203 41.1227771007791)
23540,-8.0117195438509,40.3309127735506,joint,220000,,,,,SRID=4326;POINT(-8.0117195438509 40.3309127735506)
57427,-9.09931452957388,38.8735936649258,joint,220000,,,,,SRID=4326;POINT(-9.09931452957388 38.8735936649258)
42990,-7.6559097518071,41.0820320224517,substation,220000,50,,,,SRID=4326;POINT(-7.6559097518071 41.0820320224517)
23709,-8.77882357380537,40.1190508083768,joint,400000,,,,,SRID=4326;POINT(-8.77882357380537 40.1190508083768)
63041,-8.24079093982319,40.2457738682993,joint,220000;60000,50,,,,SRID=4326;POINT(-8.24079093982319 40.2457738682993)
43738,-7.66598330506333,41.464289259588,substation,60000,50,,,,SRID=4326;POINT(-7.66598330506333 41.464289259588)
64255,-9.11274560071286,38.8724378106522,joint,220000,,,,,SRID=4326;POINT(-9.11274560071286 38.8724378106522)
7904,-8.33798478959169,41.1900620763143,station,,,Subestação de Transmissão de Irivo,REFER,,SRID=4326;POINT(-8.33798478959169 41.1900620763143)
31170,-7.77014998753718,37.3474381613042,joint,400000;400000;150000;150000,50,,,,SRID=4326;POINT(-7.77014998753718 37.3474381613042)
36691,-9.16625608845216,38.7802655768349,station,,,,,,SRID=4326;POINT(-9.16625608845216 38.7802655768349)
7835,-8.45421120876592,41.1569684820429,substation,400000;220000;60000,50,Subestação de Recarei,,,SRID=4326;POINT(-8.45421120876592 41.1569684820429)
23033,-8.46123408657304,41.0843766643419,joint,220000,,,,,SRID=4326;POINT(-8.46123408657304 41.0843766643419)
8942,-7.55169976151591,41.1132117012687,substation,,,,,,SRID=4326;POINT(-7.55169976151591 41.1132117012687)
18308,-7.19094595106264,40.3418857875817,station,,,,,,SRID=4326;POINT(-7.19094595106264 40.3418857875817)
64251,-9.16580117937131,38.8921756708929,joint,400000;220000,,,,,SRID=4326;POINT(-9.16580117937131 38.8921756708929)
21773,-8.86071801573534,38.5405097823157,joint,,,,,,SRID=4326;POINT(-8.86071801573534 38.5405097823157)
8957,-8.17020920981157,40.3917806387885,substation,220000,50,,,,SRID=4326;POINT(-8.17020920981157 40.3917806387885)
8959,-8.83701001452627,40.0578823337396,station,,,,,,SRID=4326;POINT(-8.83701001452627 40.0578823337396)
26954,-8.54908554843574,41.2325193015654,joint,220000;60000,50,,,,SRID=4326;POINT(-8.54908554843574 41.2325193015654)
29157,-8.4000577045934,41.3935326025421,joint,,,,,,SRID=4326;POINT(-8.4000577045934 41.3935326025421)
42506,-8.2028642677098,41.8692214959823,substation,400000,50,,,,SRID=4326;POINT(-8.2028642677098 41.8692214959823)
43739,-7.70361905391265,41.3417530114677,substation,,,,,,SRID=4326;POINT(-7.70361905391265 41.3417530114677)
44031,-7.88217417015252,38.5552541081338,substation,150000,50,,,,SRID=4326;POINT(-7.88217417015252 38.5552541081338)
17107,-8.36145204958958,41.4233687818485,substation,,,,,,SRID=4326;POINT(-8.36145204958958 41.4233687818485)
8965,-8.32743418459102,39.5450468769133,station,,,Subestação REN Zêzere,,,SRID=4326;POINT(-8.32743418459102 39.5450468769133)
23533,-7.65697034657568,41.1394222141487,joint,220000,,,,,SRID=4326;POINT(-7.65697034657568 41.1394222141487)
55548,-8.7933186993984,39.6553981131285,joint,400000,,,,,SRID=4326;POINT(-8.7933186993984 39.6553981131285)
40798,-8.55472577211977,41.2034193521544,substation,150000;60000,50,Subestação de Ermesinde,,,SRID=4326;POINT(-8.55472577211977 41.2034193521544)
43000,-7.99278865763206,40.7018699440353,substation,220000,50,,,,SRID=4326;POINT(-7.99278865763206 40.7018699440353)
23545,-9.23976477677304,38.7814081636502,joint,220000,,,,,SRID=4326;POINT(-9.23976477677304 38.7814081636502)
23937,-8.28053967397144,37.2734963906992,joint,150000;400000;150000;150000,50,Linha 150kV Tunes-Ourique,,,SRID=4326;POINT(-8.28053967397144 37.2734963906992)
28441,-8.86189325214536,38.5491073014794,joint,,,,,,SRID=4326;POINT(-8.86189325214536 38.5491073014794)
22065,-8.77646508486149,40.1217120468462,joint,400000,,,,,SRID=4326;POINT(-8.77646508486149 40.1217120468462)
8966,-8.72866187291896,39.245588500047,station,,,,,,SRID=4326;POINT(-8.72866187291896 39.245588500047)
8795,-8.60480583584562,41.2302296743943,substation,220000;150000;60000,50,Subestação de Vermoim,,,SRID=4326;POINT(-8.60480583584562 41.2302296743943)
55971,-9.1434200004708,38.9107407065049,joint,400000,,,,,SRID=4326;POINT(-9.1434200004708 38.9107407065049)
23936,-8.51665492937457,37.2296575786102,joint,150000;400000;400000;150000,,,,,SRID=4326;POINT(-8.51665492937457 37.2296575786102)
64253,-9.24133853531929,38.7839933176472,joint,220000;400000;400000,,,,,SRID=4326;POINT(-9.24133853531929 38.7839933176472)
23547,-9.1434823564743,38.8992976990076,joint,400000,,,,,SRID=4326;POINT(-9.1434823564743 38.8992976990076)
56599,-8.5019829255021,40.4785369567973,joint,400000,,,REN,,SRID=4326;POINT(-8.5019829255021 40.4785369567973)
9449,-8.44554201167361,41.4048534829283,substation,,,,,,SRID=4326;POINT(-8.44554201167361 41.4048534829283)
43010,-8.78967075762951,39.6505508218391,substation,400000;220000;150000,50,Subestação do Celeiro,,,SRID=4326;POINT(-8.78967075762951 39.6505508218391)
64246,-7.71618190021313,41.1255168098218,joint,220000,,,,,SRID=4326;POINT(-7.71618190021313 41.1255168098218)
57409,-6.73894324034519,41.2124953175597,joint,400000;400000;220000;220000,,,,,SRID=4326;POINT(-6.73894324034519 41.2124953175597)
9463,-8.55296186556716,41.2343582623679,substation,60000,50,,,,SRID=4326;POINT(-8.55296186556716 41.2343582623679)
8939,-6.26603224388046,41.4885288602984,substation,220000,50,,,,SRID=4326;POINT(-6.26603224388046 41.4885288602984)
28863,-8.40003798999558,41.4061136076998,joint,,,,,,SRID=4326;POINT(-8.40003798999558 41.4061136076998)
28414,-8.85856661783801,38.5499376738255,joint,,,,,,SRID=4326;POINT(-8.85856661783801 38.5499376738255)
64257,-8.37493293722768,41.4059263794065,joint,400000,,,,,SRID=4326;POINT(-8.37493293722768 41.4059263794065)
29694,-8.42433488796255,40.4504199946264,joint,220000,,,REN,,SRID=4326;POINT(-8.42433488796255 40.4504199946264)
23546,-9.24491239284563,38.7879422593181,joint,220000,,,,,SRID=4326;POINT(-9.24491239284563 38.7879422593181)
303,-8.11400333906826,40.6528551753045,substation,,,,,,SRID=4326;POINT(-8.11400333906826 40.6528551753045)
39737,-7.53332925100727,39.664362482286,substation,400000,50,,,,SRID=4326;POINT(-7.53332925100727 39.664362482286)
46895,-7.47711559688929,41.7147916255646,substation,150000;60000,50,Subestação de Chaves,,,SRID=4326;POINT(-7.47711559688929 41.7147916255646)
55974,-8.20231285455799,40.3345738656194,joint,220000,,,,,SRID=4326;POINT(-8.20231285455799 40.3345738656194)
43415,-9.19836907983844,39.079623089441,station,,,,,,SRID=4326;POINT(-9.19836907983844 39.079623089441)
57595,-8.32883283415112,41.573409964676,joint,400000,,,Redes Energéticas Nacionais,,SRID=4326;POINT(-8.32883283415112 41.573409964676)
8949,-8.47945711586935,40.4686978814896,substation,400000;220000;60000,50,Subestação de Paraimo,,,SRID=4326;POINT(-8.47945711586935 40.4686978814896)
29079,-8.87367980647514,39.6863220783494,joint,220000;400000,,,,,SRID=4326;POINT(-8.87367980647514 39.6863220783494)
57382,-7.64182124745581,40.5217549209017,joint,220000,,,,,SRID=4326;POINT(-7.64182124745581 40.5217549209017)
43014,-7.52893302031723,38.8896137377349,substation,,,,,,SRID=4326;POINT(-7.52893302031723 38.8896137377349)
57424,-9.17385646235553,38.8009686095344,joint,220000,,,,,SRID=4326;POINT(-9.17385646235553 38.8009686095344)
43001,-8.44879777244931,40.4404131414465,substation,60000,50,Subestação de Mogofores,,,SRID=4326;POINT(-8.44879777244931 40.4404131414465)
42988,-7.75777160728721,41.1387253940139,substation,220000,50,Subestação de Régua,,,SRID=4326;POINT(-7.75777160728721 41.1387253940139)
22104,-8.3944713937501,41.1555328879892,joint,220000,,,,,SRID=4326;POINT(-8.3944713937501 41.1555328879892)
43022,-9.07916316238231,38.6300594533281,station,,,,,,SRID=4326;POINT(-9.07916316238231 38.6300594533281)
42321,-9.00131177844121,39.338312022681,substation,400000,50,Subestação de Rio Maior,REN,,SRID=4326;POINT(-9.00131177844121 39.338312022681)
56019,-8.95453399408169,39.4298426409165,joint,220000;30000;30000,50,,EDP,,SRID=4326;POINT(-8.95453399408169 39.4298426409165)
42991,-8.26189161097374,41.093906695316,substation,220000,50,,,,SRID=4326;POINT(-8.26189161097374 41.093906695316)
64524,-7.96092502476259,37.3810100662291,joint,150000,50,Linha 150kv Ourique-Estoi,,,SRID=4326;POINT(-7.96092502476259 37.3810100662291)
8970,-8.12699018847759,38.0553913305537,substation,150000,50,,,,SRID=4326;POINT(-8.12699018847759 38.0553913305537)
67536,-8.37063979865334,40.165941714127,joint,220000;60000;60000,50,,,,SRID=4326;POINT(-8.37063979865334 40.165941714127)
43007,-7.55318983457586,39.8283628837053,station,,,,,,SRID=4326;POINT(-7.55318983457586 39.8283628837053)
43018,-7.49838152220801,38.185963027843,substation,400000;60000,50,Subestação de Alqueva,,,SRID=4326;POINT(-7.49838152220801 38.185963027843)
33331,-8.04042718504856,40.762491893199,joint,,,,,,SRID=4326;POINT(-8.04042718504856 40.762491893199)
34449,-8.45348521893222,40.5366901961139,sub_station,,,,EDP,,SRID=4326;POINT(-8.45348521893222 40.5366901961139)
55973,-7.66042565411281,41.1054639801606,joint,220000,,,,,SRID=4326;POINT(-7.66042565411281 41.1054639801606)
43013,-7.74081816514452,39.5281783446945,substation,400000,50,,,,SRID=4326;POINT(-7.74081816514452 39.5281783446945)
35048,-7.31301144299872,41.6209131654926,substation,,,,,,SRID=4326;POINT(-7.31301144299872 41.6209131654926)
29634,-8.52130290248613,37.225497404864,joint,400000,,Linha 400kV Sines-Portimão,,,SRID=4326;POINT(-8.52130290248613 37.225497404864)
43020,-9.33023922517281,38.7467864375536,substation,220000,50,,,,SRID=4326;POINT(-9.33023922517281 38.7467864375536)
7942,-7.11439275976911,41.1330719186871,station,,,,,,SRID=4326;POINT(-7.11439275976911 41.1330719186871)
23541,-7.72883269469633,39.5235832028748,joint,400000,,,,,SRID=4326;POINT(-7.72883269469633 39.5235832028748)
23550,-9.20375023905435,38.7885657232626,joint,220000,,,,,SRID=4326;POINT(-9.20375023905435 38.7885657232626)
30286,-7.71456789714215,41.1236285902659,joint,220000,,,,,SRID=4326;POINT(-7.71456789714215 41.1236285902659)
14677,-6.98362747317502,41.8186783844401,substation,,,,,,SRID=4326;POINT(-6.98362747317502 41.8186783844401)
7485,-8.60995281522297,41.0688428911846,substation,220000;60000,50,Subestação de Canelas,,,SRID=4326;POINT(-8.60995281522297 41.0688428911846)
23551,-9.06146042181637,38.8862282963291,joint,220000,,,,,SRID=4326;POINT(-9.06146042181637 38.8862282963291)
42986,-6.57026181668541,41.3384212570189,substation,220000,50,,,,SRID=4326;POINT(-6.57026181668541 41.3384212570189)
23531,-6.78822939823994,41.1996666683912,joint,220000;400000;220000;400000,,,,,SRID=4326;POINT(-6.78822939823994 41.1996666683912)
35836,-8.43159722804548,41.5030142731842,station,,,,,,SRID=4326;POINT(-8.43159722804548 41.5030142731842)
55716,-7.65992609976216,41.4646205479357,joint,220000,50,,,,SRID=4326;POINT(-7.65992609976216 41.4646205479357)
43015,-8.76386131684269,37.9975899994926,substation,400000;150000,50,Subestação de Sines,,,SRID=4326;POINT(-8.76386131684269 37.9975899994926)
8974,-9.11564621584952,38.7941276079896,station,,,,,,SRID=4326;POINT(-9.11564621584952 38.7941276079896)
23542,-9.14098072807108,38.9029525762262,joint,400000,,,,,SRID=4326;POINT(-9.14098072807108 38.9029525762262)
43006,-8.4194623757356,40.1651768996996,substation,220000,50,,,,SRID=4326;POINT(-8.4194623757356 40.1651768996996)
23549,-9.11808195282665,38.8740304886026,joint,220000,,,,,SRID=4326;POINT(-9.11808195282665 38.8740304886026)
312,-8.45606059902027,40.540792000439,sub_station,,,,EDP,,SRID=4326;POINT(-8.45606059902027 40.540792000439)
44082,-8.51603926319204,37.1986912263905,substation,400000;150000,50,Subestação de Porto de Lagos,,,SRID=4326;POINT(-8.51603926319204 37.1986912263905)
8962,-8.39118712412555,39.9733481766454,substation,220000,50,,,,SRID=4326;POINT(-8.39118712412555 39.9733481766454)
44153,-8.4680817245669,39.4696793425257,station,,,,,,SRID=4326;POINT(-8.4680817245669 39.4696793425257)
57603,-9.17923728107588,39.0797932886492,joint,220000,50,,,,SRID=4326;POINT(-9.17923728107588 39.0797932886492)
66129,-9.13041788780276,38.841581088903,joint,150000;220000;150000;220000,,,,,SRID=4326;POINT(-9.13041788780276 38.841581088903)
8932,-8.55480141992163,40.7860445769661,substation,220000;60000,50,Subestação de Estarreja,,,SRID=4326;POINT(-8.55480141992163 40.7860445769661)
7676,-7.21989460824873,40.2397692724772,substation,220000;60000,50,,,,SRID=4326;POINT(-7.21989460824873 40.2397692724772)
57412,-7.66594047384525,41.1373848092787,joint,220000,,,,,SRID=4326;POINT(-7.66594047384525 41.1373848092787)
51023,-8.43284412784668,41.5736661078815,substation,,,,,,SRID=4326;POINT(-8.43284412784668 41.5736661078815)
52723,-7.83631827439791,40.9804768837571,substation,220000,50,,,,SRID=4326;POINT(-7.83631827439791 40.9804768837571)
23939,-8.68180480446823,38.6051902653908,joint,150000,,,,,SRID=4326;POINT(-8.68180480446823 38.6051902653908)
9443,-8.32277401631448,41.577386910622,substation,400000;15000,50,Subestação de Pedralva,,,SRID=4326;POINT(-8.32277401631448 41.577386910622)
20615,-8.64796306288444,41.1990689159905,merge,220000;60000;60000,50,Sub-Estação de Custóias,,,SRID=4326;POINT(-8.64796306288444 41.1990689159905)
64243,-6.49348236188373,41.3312430112294,joint,220000;400000;400000;220000,,,,,SRID=4326;POINT(-6.49348236188373 41.3312430112294)
12773,-7.76605441881451,37.3447054427344,substation,400000;150000,50,Subestação REN Casas Baixas,REN,,SRID=4326;POINT(-7.76605441881451 37.3447054427344)
55073,-7.62443040530523,41.4723131628635,merge,,,,,,SRID=4326;POINT(-7.62443040530523 41.4723131628635)
66867,-8.85252091055689,38.5476661174751,joint,,,,,,SRID=4326;POINT(-8.85252091055689 38.5476661174751)
21557,-9.13730066583651,38.8888092032926,merge,400000;220000;150000,50,,,,SRID=4326;POINT(-9.13730066583651 38.8888092032926)
23034,-8.45355600617661,41.0764108624204,joint,220000,,,,,SRID=4326;POINT(-8.45355600617661 41.0764108624204)
42983,-8.1294801751319,41.0820037869699,substation,220000,50,,,,SRID=4326;POINT(-8.1294801751319 41.0820037869699)
14057,-6.77102409514471,41.7918626389801,substation,60000,50,Subestação de Bragança,,,SRID=4326;POINT(-6.77102409514471 41.7918626389801)
8958,-8.19975947602032,40.3402695181875,substation,220000,50,,,,SRID=4326;POINT(-8.19975947602032 40.3402695181875)
64252,-9.24138524771407,38.7805417796179,joint,220000;400000;400000,,,,,SRID=4326;POINT(-9.24138524771407 38.7805417796179)
41983,-7.12493476976232,41.137818877654,substation,220000,50,Subestação de Pocinho,,,SRID=4326;POINT(-7.12493476976232 41.137818877654)
42117,-8.85828174432163,38.5729473047463,substation,400000;150000,50,Subestação de Palmela,,,SRID=4326;POINT(-8.85828174432163 38.5729473047463)
34443,-8.43749251192904,40.5148179740664,sub_station,,,,EDP,,SRID=4326;POINT(-8.43749251192904 40.5148179740664)
8825,-8.45829020956269,41.0701626867103,substation,220000,50,,,,SRID=4326;POINT(-8.45829020956269 41.0701626867103)
43016,-8.41239866205654,38.0170445263118,substation,150000,50,Subestação de Ermidas-Sado,,,SRID=4326;POINT(-8.41239866205654 38.0170445263118)
63264,-6.4726666244617,41.3018706646831,joint,220000,,,,,SRID=4326;POINT(-6.4726666244617 41.3018706646831)
20061,-8.62069403951858,41.1858834095957,substation,60000,50,,,,SRID=4326;POINT(-8.62069403951858 41.1858834095957)
57422,-9.14481114444257,38.9011271885135,joint,400000,,,,,SRID=4326;POINT(-9.14481114444257 38.9011271885135)
23544,-9.24321709224144,38.7797368005392,joint,220000,,,,,SRID=4326;POINT(-9.24321709224144 38.7797368005392)
64245,-7.64536168765359,41.1215365576598,joint,220000;400000;400000;220000,,,,,SRID=4326;POINT(-7.64536168765359 41.1215365576598)
8946,-7.47717403093373,40.234562169612,substation,220000,50,Subestação do Ferro,REN,,SRID=4326;POINT(-7.47717403093373 40.234562169612)
57410,-6.72117447419378,41.2217219929067,joint,220000,,,,,SRID=4326;POINT(-6.72117447419378 41.2217219929067)
23324,-8.90989567893291,39.0387244032949,joint,400000,,,,,SRID=4326;POINT(-8.90989567893291 39.0387244032949)
57411,-6.48004554152693,41.3529790076834,joint,220000,,,,,SRID=4326;POINT(-6.48004554152693 41.3529790076834)
23708,-8.61973400311296,41.2026967670268,joint,220000,50,,,,SRID=4326;POINT(-8.61973400311296 41.2026967670268)
30284,-7.71152251849746,41.1210077023702,joint,400000,,,REN,,SRID=4326;POINT(-7.71152251849746 41.1210077023702)
21674,-8.77869780966559,40.1213216149721,joint,400000,,,REN,,SRID=4326;POINT(-8.77869780966559 40.1213216149721)
23440,-9.10824351400344,38.8725144625491,joint,220000,,,,,SRID=4326;POINT(-9.10824351400344 38.8725144625491)
9455,-9.23890774440255,38.7780052687848,substation,400000;220000;60000,50,,,,SRID=4326;POINT(-9.23890774440255 38.7780052687848)
43012,-8.01349030454127,40.3325019623796,substation,220000,50,Subestação de Tábua,,,SRID=4326;POINT(-8.01349030454127 40.3325019623796)
8973,-8.85069005086499,38.5501443155118,station,,,,,,SRID=4326;POINT(-8.85069005086499 38.5501443155118)
14645,-8.01340425243786,40.2277902769597,station,,,,,,SRID=4326;POINT(-8.01340425243786 40.2277902769597)
8967,-8.95088283476271,39.0140716125608,substation,400000,50,,,,SRID=4326;POINT(-8.95088283476271 39.0140716125608)
29320,-8.87728559672731,38.5444147243409,joint,,,,,,SRID=4326;POINT(-8.87728559672731 38.5444147243409)
64242,-6.72746465747624,41.2193447672796,joint,220000,,,,,SRID=4326;POINT(-6.72746465747624 41.2193447672796)
64250,-8.01445410540729,40.3305219553244,joint,220000,,,,,SRID=4326;POINT(-8.01445410540729 40.3305219553244)
9998,-8.55260949160762,41.2038324102602,sub_station,,,,,,SRID=4326;POINT(-8.55260949160762 41.2038324102602)
57428,-9.05974059720492,38.8861394923764,joint,150000;220000;220000;150000,,,,,SRID=4326;POINT(-9.05974059720492 38.8861394923764)
8441,-8.20808061992331,41.8681954917029,substation,400000,50,,,,SRID=4326;POINT(-8.20808061992331 41.8681954917029)
8941,-7.66227132860879,41.1018656044765,substation,400000;220000,50,,,,SRID=4326;POINT(-7.66227132860879 41.1018656044765)
63648,-8.47494992365709,40.6054149895644,joint,220000,,,REN,,SRID=4326;POINT(-8.47494992365709 40.6054149895644)
29080,-8.95293279982934,39.4278881325562,joint,400000;30000,50,,EDP,,SRID=4326;POINT(-8.95293279982934 39.4278881325562)
19760,-8.04379816759051,40.7599405660361,substation,,,,,,SRID=4326;POINT(-8.04379816759051 40.7599405660361)
