l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
51788,36862,27638,,,,,,,,45.2837497514457,,,,,"","SRID=4326;LINESTRING(28.8489900296422 46.9172079661643,28.8480123931185 46.9195056582722)"
51781,4671,27637,,,,,,,Milesti-Heres,2616.04918842292,,,,,"","SRID=4326;LINESTRING(28.7659500708038 46.9663384298748,28.7830507233474 46.9498061898085)"
78246,38774,38719,330000,3,2,,Balti-Straseni,,,99331.5662097965,,,,,"","SRID=4326;LINESTRING(27.8691684502402 47.7987724523135,28.6117655362645 47.1661785241416)"
68371,41070,15130,,,,,,,,20512.3680728988,,,,,"","SRID=4326;LINESTRING(29.6657576271789 46.8508310244179,29.5542787325068 46.9583577050635)"
45219,38882,26830,330000,3,,,,,,21162.1564321453,,,,,"","SRID=4326;LINESTRING(29.9345148922724 46.6313988143424,29.7432911020831 46.7641423122445)"
45217,36862,66824,330000,3,,,,,,76331.2556738219,,,,,"","SRID=4326;LINESTRING(28.8489900296422 46.9172079661643,29.7348057955724 46.7628570793445)"
78242,36862,38719,330000,3,,,,,,41137.7187268828,,,,,"","SRID=4326;LINESTRING(28.8489900296422 46.9172079661643,28.6117655362645 47.1661785241416)"
4015,38882,62950,110000,6,,,,,,2976.93295228268,,,,,"","SRID=4326;LINESTRING(29.9345148922724 46.6313988143424,29.9040249941712 46.6376142865976)"
52733,4931,67763,,,,,,,,189.984575136938,,,,,"","SRID=4326;LINESTRING(28.5078563725496 45.7205410341863,28.5098389094659 45.7188515159143)"
78714,67763,39028,,,,,,,,1078.71047629851,,,,,"","SRID=4326;LINESTRING(28.5098389094659 45.7188515159143,28.5004439516381 45.7105844893624)"
16736,62950,22816,330000,3,,,,,,2325.43298587065,,,,,"","SRID=4326;LINESTRING(29.9040249941712 46.6376142865976,29.9277684101777 46.6293660147862)"
45218,41070,26830,330000,3,,,,,,13555.5738191334,,,,,"","SRID=4326;LINESTRING(29.6657576271789 46.8508310244179,29.7432911020831 46.7641423122445)"
51787,67639,27638,,,,,,,,668.415862380646,,,,,"","SRID=4326;LINESTRING(28.8459703428147 46.9140620783073,28.8480123931185 46.9195056582722)"
45220,36862,26830,330000,3,,,,,,77089.5170298136,,,,,"","SRID=4326;LINESTRING(28.8489900296422 46.9172079661643,29.7432911020831 46.7641423122445)"
16738,66824,22816,330000,3,,,,,,21258.586193869,,,,,"","SRID=4326;LINESTRING(29.7348057955724 46.7628570793445,29.9277684101777 46.6293660147862)"
78713,38882,39028,400000,3,,,,,,159189.805381994,,,,,"","SRID=4326;LINESTRING(29.9345148922724 46.6313988143424,28.5004439516381 45.7105844893624)"
51786,36862,67639,,,,,,,,203.572605926046,,,,,"","SRID=4326;LINESTRING(28.8489900296422 46.9172079661643,28.8459703428147 46.9140620783073)"
16737,38882,22816,330000,6,,,,,,344.119551259789,,,,,"","SRID=4326;LINESTRING(29.9345148922724 46.6313988143424,29.9277684101777 46.6293660147862)"
45216,41070,66824,330000,3,,,,,,14051.9969629996,,,,,"","SRID=4326;LINESTRING(29.6657576271789 46.8508310244179,29.7348057955724 46.7628570793445)"
51782,36862,27637,,,,,,,Milesti-Heres,8583.83125235729,,,,,"","SRID=4326;LINESTRING(28.8489900296422 46.9172079661643,28.7830507233474 46.9498061898085)"
