v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
27638,28.8480123931185,46.9195056582722,joint,,,,,,SRID=4326;POINT(28.8480123931185 46.9195056582722)
4931,28.5078563725496,45.7205410341863,station,,,,,,SRID=4326;POINT(28.5078563725496 45.7205410341863)
27637,28.7830507233474,46.9498061898085,joint,,,,,Milesti-Heres,SRID=4326;POINT(28.7830507233474 46.9498061898085)
4671,28.7659500708038,46.9663384298748,station,,,,PDC,,SRID=4326;POINT(28.7659500708038 46.9663384298748)
26830,29.7432911020831,46.7641423122445,joint,330000,,,,,SRID=4326;POINT(29.7432911020831 46.7641423122445)
20510,27.2291005905598,47.839169073758,merge,,,,,,SRID=4326;POINT(27.2291005905598 47.839169073758)
67763,28.5098389094659,45.7188515159143,joint,,,,,,SRID=4326;POINT(28.5098389094659 45.7188515159143)
62950,29.9040249941712,46.6376142865976,joint,110000;330000,,,,,SRID=4326;POINT(29.9040249941712 46.6376142865976)
15130,29.5542787325068,46.9583577050635,substation,,,,,,SRID=4326;POINT(29.5542787325068 46.9583577050635)
41070,29.6657576271789,46.8508310244179,station,,,,,,SRID=4326;POINT(29.6657576271789 46.8508310244179)
36862,28.8489900296422,46.9172079661643,station,,,"PDC ""Chișinău-Sud""",,,SRID=4326;POINT(28.8489900296422 46.9172079661643)
38719,28.6117655362645,47.1661785241416,station,,,,"PDC ""Chișinău-Nord""",,SRID=4326;POINT(28.6117655362645 47.1661785241416)
4891,28.2371590082333,46.7165105006318,station,,,,,,SRID=4326;POINT(28.2371590082333 46.7165105006318)
66824,29.7348057955724,46.7628570793445,joint,330000,,,,,SRID=4326;POINT(29.7348057955724 46.7628570793445)
22816,29.9277684101777,46.6293660147862,joint,330000,,,,,SRID=4326;POINT(29.9277684101777 46.6293660147862)
38882,29.9345148922724,46.6313988143424,station,,,,,,SRID=4326;POINT(29.9345148922724 46.6313988143424)
38774,27.8691684502402,47.7987724523135,station,,,,,,SRID=4326;POINT(27.8691684502402 47.7987724523135)
67639,28.8459703428147,46.9140620783073,joint,,,,,,SRID=4326;POINT(28.8459703428147 46.9140620783073)
39028,28.5004439516381,45.7105844893624,substation,,,,,,SRID=4326;POINT(28.5004439516381 45.7105844893624)
