l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
32903,25273,59162,,,,,,,,47.1159394215578,,,,,"","SRID=4326;LINESTRING(26.0574839080675 44.9106131760106,26.0571202700405 44.9109651816456)"
37495,36634,25811,400000,3,,,,,,1871.78952867511,,,,,"","SRID=4326;LINESTRING(26.1559820017236 44.4026718237121,26.1824820544015 44.3949235768576)"
65326,13336,47252,,,,,,,,1798.60616191395,,,,,"","SRID=4326;LINESTRING(23.8620868899844 46.5488893038552,23.8732435408444 46.5341095127649)"
32929,46787,25281,,,,,,,,16852.2384712713,,,,,"","SRID=4326;LINESTRING(27.480656943377 47.1779503679714,27.2781272925431 47.2304763837395)"
68326,15955,15103,,,,,,,,7776.79151336459,,,,,"","SRID=4326;LINESTRING(23.1928355858575 46.3639301631966,23.281574516802 46.3782732061827)"
40269,36634,32195,400000,6,,,,,,7361.04725969504,,,,,"","SRID=4326;LINESTRING(26.1559820017236 44.4026718237121,26.2491829523942 44.40071687559)"
31155,46857,25022,,,,,,,,772.482864841812,,,,,"","SRID=4326;LINESTRING(26.0766829423719 47.9527831946004,26.0809530236859 47.9598135888635)"
32099,46907,31213,,,,,,,,496.054291398522,,,,,"","SRID=4326;LINESTRING(22.7745487835644 46.1395130460115,22.7688826272744 46.1401712192237)"
2516,46525,55787,,,,,,,,191.826358838893,,,,,"","SRID=4326;LINESTRING(23.7208268586273 44.3891570654118,23.7243918962199 44.389100681255)"
30848,65064,65063,400000,3,,,,,,9159.14212546641,,,,,"","SRID=4326;LINESTRING(27.9234840893453 45.4664795712988,27.9548088822918 45.3949936839879)"
31169,46478,25025,,6,,,,,,777.530832411015,,,,,"","SRID=4326;LINESTRING(26.5784358009709 45.0247682404048,26.5733590669528 45.0318621176693)"
30843,46344,58861,220000,3,,,,,,15419.9975139596,,,,,"","SRID=4326;LINESTRING(23.5064691847398 45.9604741489477,23.6020347495046 46.079184283758)"
32542,25193,25210,,,,,,,,11164.3844795853,,,,,"","SRID=4326;LINESTRING(25.4156048490563 44.9215982599916,25.4893579711869 44.9398642747675)"
70116,49994,16057,,6,,,,,,26941.4322280589,,,,,"","SRID=4326;LINESTRING(23.3184387916899 45.0746405590597,23.5187780973577 44.9635882860432)"
2658,25306,62741,380000,6,,,,,,899.03644801263,,,,,"","SRID=4326;LINESTRING(25.7950455893885 45.0247216879958,25.7886931496952 45.0281985074095)"
42835,58920,60407,,,,,,,,25628.788064833,,,,,"","SRID=4326;LINESTRING(25.6775832303099 43.7327981830533,25.396932377729 43.6749989931884)"
63953,24037,46339,400000,3,,,,,,7506.05315973954,,,,,"","SRID=4326;LINESTRING(23.7735979669062 46.8368554067665,23.8566719400309 46.8170132964189)"
2294,26620,28759,,,,,,,,215.707338167944,,,,,"","SRID=4326;LINESTRING(26.1179913713339 44.325918668489,26.1166770340404 44.3279076307182)"
55255,6752,40800,,,,,,,,5357.99915939409,,,,,"","SRID=4326;LINESTRING(28.2915292439966 44.2446287579767,28.262251821804 44.2309795358759)"
70084,50010,50012,,,,,,,,1075.34692410538,,,,,"","SRID=4326;LINESTRING(23.1656197322152 46.3264979490155,23.1492176222934 46.3263098927242)"
65712,6872,13563,,,,,,,,31754.8852136391,,,,,"","SRID=4326;LINESTRING(25.9739613954326 43.9198072355178,26.2242071374656 44.1009037351807)"
64928,46968,46969,,,,,,,,20345.4254411005,,,,,"","SRID=4326;LINESTRING(23.269548383435 47.2495560084669,23.1635596032327 47.402377987488)"
65924,13705,13706,,,,,,,,1549.30538781494,,,,,"","SRID=4326;LINESTRING(24.9922945774757 45.8269392626995,24.9776849211557 45.8194262104819)"
56513,60158,41598,,,,,,,,46946.5386617634,,,,,"","SRID=4326;LINESTRING(25.803354915935 46.3867916124302,25.8018557053511 46.3838345664737)"
33498,12618,25354,,,,,,,,3332.67599343599,,,,,"","SRID=4326;LINESTRING(23.499773910498 44.5659035681594,23.5419295518225 44.562449557039)"
43624,2801,26619,,,,,,,,3327.44550260349,,,,,"","SRID=4326;LINESTRING(26.1912599565654 44.3695541968376,26.1857145521199 44.3922698670911)"
65845,47086,13656,,,,,,,,19198.2113720015,,,,,"","SRID=4326;LINESTRING(26.5696174899912 46.8160024527644,26.7333824898635 46.6917118389348)"
65024,31237,13115,,,,,,,,118.224198756657,,,,,"","SRID=4326;LINESTRING(25.2399385765945 44.2756022052097,25.2372668757236 44.2746974314556)"
6818,65298,29341,,,,,,,,409.590682568265,,,,,"","SRID=4326;LINESTRING(23.139424297076 44.9167612904392,23.1349867025223 44.9180969283805)"
32541,13144,25210,,,,,,,,3202.9732178177,,,,,"","SRID=4326;LINESTRING(25.45092305772 44.9494376827308,25.4893579711869 44.9398642747675)"
