l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
73232,50978,37146,220000,6;3;3;3;3;6;6,,,,,,1797.32224583216,,,,,"","SRID=4326;LINESTRING(37.8716168962849 55.7223789500874,37.8851880080398 55.7083366663807)"
59755,29317,9607,220000,3,1,,,,,45294.2807230418,,,,,"","SRID=4326;LINESTRING(33.2865440752145 60.5570365938814,32.8274958915593 60.2330177571532)"
78702,4830,4926,500000,3,3,50,ВЛ 500 кВ Белозерская – Череповецкая,ФСК ЕЭС,,29298.0652428295,,,,,"","SRID=4326;LINESTRING(37.6242129246344 59.2215492222199,37.8816640612181 59.3663085303502)"
47088,42634,60975,220000,6,,,,,,6204.95366900668,,,,,"","SRID=4326;LINESTRING(39.7457191816545 47.3054620141319,39.8210136285303 47.3231394950443)"
6469,33142,22237,220000,3,,,,,,472.914357020593,,,,,"","SRID=4326;LINESTRING(37.8748501269174 59.1830234931621,37.8685164941972 59.1838698739917)"
32025,25127,31206,220000,3,1,,,,,85.3235566065234,,,,,"","SRID=4326;LINESTRING(37.5953669943744 55.5601022901507,37.5966544598396 55.5598366888104)"
28980,53405,58606,220000,6,,,,,,5722.40579077921,,,,,"","SRID=4326;LINESTRING(40.1805992161529 47.7582965861935,40.1789109717187 47.8037380128192)"
67413,57805,36635,330000,3,,,,,,107088.004104182,,,,,"","SRID=4326;LINESTRING(34.7124415721231 57.5533108856303,35.8954503221876 56.9065850970714)"
44292,26705,60621,220000,3,,,,,,99.923524343207,,,,,"","SRID=4326;LINESTRING(42.3952373153073 47.553638487645,42.3957577093514 47.5544784717556)"
37953,8220,65938,220000,3,1,,,,,59380.716742045,,,,,"","SRID=4326;LINESTRING(39.4245158255934 52.4852977474099,38.679269455122 52.5831694701673)"
44206,51000,60603,,,,,,,,1334.95413792229,,,,,"","SRID=4326;LINESTRING(42.899764580928 45.3065146343403,42.9008616188224 45.2948964599675)"
70271,60187,50101,220000,3,1,,Угличская ГЭС - Вега,,,6950.66004415352,,,,,"","SRID=4326;LINESTRING(38.3610192569982 57.5502024046787,38.2994481062804 57.5218233970264)"
42313,17014,60327,330000,3,,,,,Л-330-17,4982.72295794868,,,,,"","SRID=4326;LINESTRING(42.1995917911595 45.0786370642428,42.1936897710263 45.1177806726538)"
49997,58106,27381,220000,3,1,,,,,20297.4890531172,,,,,"","SRID=4326;LINESTRING(36.7109323881935 55.2330173005924,36.6460109629472 55.0611518144419)"
24010,67950,57772,330000,3,,,,,,26786.8366044021,,,,,"","SRID=4326;LINESTRING(30.532628165825 59.7136960028757,30.2236996057414 59.567609311743)"
15270,10379,22568,220000,3;6;3,1,,,Калугаэнерго,,26772.5255873504,,,,,"","SRID=4326;LINESTRING(36.3408017767005 54.4344839132837,36.3756031503935 54.6101125776563)"
64830,8504,46918,220000,6,1,,,,,209.626780499988,,,,,"","SRID=4326;LINESTRING(37.5026832548228 55.6071830606197,37.4984154971063 55.6040490851313)"
66223,10701,13888,220000,6,,,,,,219.114916387016,,,,,"","SRID=4326;LINESTRING(40.3936061268272 56.167017454233,40.3898543328672 56.1705022490923)"
70750,20297,2872,500000,2;3;3;3;3;3;3;3;3;3;3;3,3;4;3;3,,ВЛ 500 кВ Очаково - ТЭЦ-26,,,25925.7658716827,,,,,"","SRID=4326;LINESTRING(37.4433317497616 55.6961125271958,37.6226772161562 55.5718357282553)"
73347,28365,51857,,,,,,,,1830.76855629255,,,,,"","SRID=4326;LINESTRING(42.5864897172747 44.0554980822869,42.5654774094211 44.0552177056516)"
6467,23254,22235,220000,3,1,,Нижегородская ГЭС - Вязники,,,102440.874441741,,,,,"","SRID=4326;LINESTRING(41.8513307669703 56.4232377867357,43.3787475609187 56.6480955323623)"
53026,37047,61793,220000,6,,,,,,530.623134771996,,,,,"","SRID=4326;LINESTRING(30.4554197726386 59.8245509618752,30.4365343917359 59.8272438803873)"
29494,58679,58680,220000,3,,,,,,89.9309581465301,,,,,"","SRID=4326;LINESTRING(37.3738879898954 55.866137299657,37.3748184648667 55.8667657692008)"
7066,10768,63340,220000,3,1,,Алюминиевая - Полунино,,,96989.4226366395,,,,,"","SRID=4326;LINESTRING(44.9124157937461 49.6326293941214,44.5878767683802 48.8281542970951)"
20032,23302,57150,,,,,,,,171.485051417006,,,,,"","SRID=4326;LINESTRING(32.8085076923536 52.7371853765638,32.8097775508392 52.7385322814908)"
46170,60603,26955,,,,,,,,3224.38301755184,,,,,"","SRID=4326;LINESTRING(42.9008616188224 45.2948964599675,42.9092778448877 45.2755419079113)"
30866,28579,31088,220000,3,1,,,,,1608.55845760744,,,,,"","SRID=4326;LINESTRING(34.0327743218478 53.1209403461988,34.0506999536962 53.1112118774673)"
24288,27067,64529,220000,3,1,,Мотордеталь - Тверицкая,ФСК ЕЭС,,77897.3104021562,,,,,"","SRID=4326;LINESTRING(39.8052945483627 57.5222439967539,40.8412576054895 57.725877499028)"
6568,57691,22240,220000,3,,,,,,15230.5064729343,,,,,"","SRID=4326;LINESTRING(40.3843564856806 56.1861164730427,40.2108838147545 56.1025072307263)"
2118,857,62666,,,,,,,,28661.6928477895,,,,,"","SRID=4326;LINESTRING(37.6668542958639 44.8406291828862,37.9932921293161 44.9010974418139)"
73580,32914,18154,220000,3,1,,Дорогобужская ТЭЦ - Талашкино,,,73495.597221719,,,,,"","SRID=4326;LINESTRING(32.3232901476533 54.8344187035185,33.3737936155802 54.9868810076053)"
6601,33721,22242,220000,6,1,,,,,5788.46320116718,,,,,"","SRID=4326;LINESTRING(36.4506404142228 54.0965612994623,36.494150780961 54.1359474192633)"
79268,2666,39377,330000,6;3;6;3,,,,,,21883.6472044812,,,,,"","SRID=4326;LINESTRING(30.5710683125556 59.9124086667329,30.4527716304196 59.8334194216541)"
55978,41225,7191,,,,,,,,6999.84718054824,,,,,"","SRID=4326;LINESTRING(33.3219383481001 58.3652669421096,33.2329432366555 58.3803215022684)"
67525,48693,14669,220000;110000;220000;220000;220000;110000,3,,,,,,11198.6769864717,,,,,"","SRID=4326;LINESTRING(37.1313537711818 45.2243271291078,36.9901333376386 45.2143092619193)"
73752,17202,18252,220000,3,1,,Андреановская - Вешенская-2,,,55313.7862546221,,,,,"","SRID=4326;LINESTRING(41.9131740436622 49.9535990502304,41.8155751896067 49.5439745129555)"
45562,66864,66866,220000,3,1,,,Калугаэнерго,,42088.5711065712,,,,,"","SRID=4326;LINESTRING(36.3978491199209 54.616238503665,36.4648209498033 54.9551796934906)"
24407,44176,64539,,,,,,,,20687.7942372049,,,,,"","SRID=4326;LINESTRING(29.9459053410644 59.1628334337848,29.8773068965652 59.3214378018078)"
6184,67890,29271,220000,3,,,,,,4364.10684990523,,,,,"","SRID=4326;LINESTRING(44.0408295534194 56.2639012004618,44.0448785116787 56.233809881505)"
20062,34704,23305,,,,,,,,258.551408346522,,,,,"","SRID=4326;LINESTRING(32.8474217223148 52.8245528751012,32.8488163567934 52.8220996124893)"
29492,58679,64951,220000,3,,,,,,82.2697695152937,,,,,"","SRID=4326;LINESTRING(37.3738879898954 55.866137299657,37.3727684195568 55.8665430739857)"
78838,39336,5008,500000,3,3,,ВЛ 500 кВ Конаковская ГРЭС - Белый Раст,,,88918.3660642891,,,,,"","SRID=4326;LINESTRING(36.7746501425006 56.7395559717177,37.4399330794293 56.1237170883575)"
46172,9849,66917,220000,3,1,,,,,5318.43034536167,,,,,"","SRID=4326;LINESTRING(37.6082578177876 54.124116568786,37.5506927871483 54.1423637960052)"
71984,50996,50998,,,,,,,,15737.6620787111,,,,,"","SRID=4326;LINESTRING(43.081408973808 44.9645719573841,42.9820312584705 44.8889512062575)"
27861,57667,58427,330000,3,,,,,,88.238185917039,,,,,"","SRID=4326;LINESTRING(30.5764098069848 59.9064574805093,30.5771970006682 59.9057608875902)"
2117,22227,62666,,,,,,,,926.141175066856,,,,,"","SRID=4326;LINESTRING(37.9958226588484 44.9087591650901,37.9932921293161 44.9010974418139)"
67385,33597,36633,220000,6;3;3,,,,,,2196.2934204133,,,,,"","SRID=4326;LINESTRING(30.2664219535182 60.0074170974347,30.2424077323404 59.9962885674184)"
70751,63210,2872,500000,3,3,,,,,432.389384479904,,,,,"","SRID=4326;LINESTRING(37.6286117627149 55.5765058198159,37.6226772161562 55.5718357282553)"
11986,66545,20300,330000,6,,,,,,4031.03503143894,,,,,"","SRID=4326;LINESTRING(41.9826544902089 44.6749089719724,42.0271349276088 44.6633533018872)"
53024,33748,61793,220000,3,,,,,,119.438147737984,,,,,"","SRID=4326;LINESTRING(30.4348561591221 59.8265695112423,30.4365343917359 59.8272438803873)"
19600,58869,57085,220000,3,1,,Рязанская ГРЭС - Парская-2,ФСК ЕЭС,,88225.4905009511,,,,,"","SRID=4326;LINESTRING(39.766306497222 54.0549643822421,40.8598952221837 54.2700403688096)"
15336,63576,29625,,6,,,,,,656.269865815778,,,,,"","SRID=4326;LINESTRING(30.3679193635358 60.0966025107126,30.3718744660687 60.1009375922595)"
3275,7663,62830,220000,3,1,,Арзамасская-Бобыльская,,,3193.17111940417,,,,,"","SRID=4326;LINESTRING(44.2093826811673 55.5137277061116,44.1565749553718 55.5087771224055)"
2240,20645,55753,110000,,,50,,МРСК Центра,,7019.24378325895,,,,,"","SRID=4326;LINESTRING(38.1693735267092 50.1957065594863,38.1904661999188 50.2475821159493)"
1251,59383,21774,220000,3,1,,Каширская ГРЭС - Химическая,ФСК ЕЭС,,32380.2513749219,,,,,"","SRID=4326;LINESTRING(38.1537243813609 54.1438257894879,38.2921494042157 54.3628631666009)"
57597,8219,42280,500000,3,3,,Рязанская ГРЭС - Липецкая Восточная,ФСК ЕЭС,,186634.367476461,,,,,"","SRID=4326;LINESTRING(40.070506308667 52.5390155523004,39.7792144357197 54.0388861915007)"
42558,50482,66502,,,,,,,,5201.60898957643,,,,,"","SRID=4326;LINESTRING(42.9455092043349 44.1111425920862,42.8927258467887 44.1193442885249)"
23,17879,28416,220000;110000;220000;220000;110000;220000,6,1,,,,,37312.1204370375,,,,,"","SRID=4326;LINESTRING(39.1566173368264 55.5703872676238,39.396784747405 55.6181872239744)"
50003,33395,61355,220000,3,,,,,,217.373286475637,,,,,"","SRID=4326;LINESTRING(38.1629722677163 55.6362020006384,38.1634402001478 55.6381465907764)"
47288,52382,60993,,,,,,,,22562.2096067376,,,,,"","SRID=4326;LINESTRING(40.7924380572932 47.0745696422857,40.6110131099626 46.9598225872031)"
20108,587,64088,,,,,,,,1272.90062267932,,,,,"","SRID=4326;LINESTRING(32.7666682088381 52.8230237955854,32.7800014534426 52.8212527666688)"
22558,61751,57564,220000,3,,,,,,2174.12553866935,,,,,"","SRID=4326;LINESTRING(37.8565242256268 55.7264920101106,37.8440632451631 55.7428630810965)"
3725,44455,22002,,,1,,,,,1986.76118731261,,,,,"","SRID=4326;LINESTRING(38.7254807394691 55.0695659799003,38.7150171309011 55.0843221643993)"
30003,42285,58744,220000,6,,,,,,206.388213157672,,,,,"","SRID=4326;LINESTRING(38.9936483324457 54.269444037004,38.9923532623838 54.2649904006791)"
79576,21551,5482,220000,3,1,50,Парская - Сасово;220 кВ,ФСК ЕЭС,,73524.604584453,,,,,"","SRID=4326;LINESTRING(41.9352403430612 54.3586729604176,40.8667930644375 54.2828520001193)"
69767,57687,15887,220000,3,1,,Владимирская - Заря 2 цепь,,,68234.5155363877,,,,,"","SRID=4326;LINESTRING(40.3847729446463 56.1861396688468,41.4013042449587 56.2906248248526)"
61744,45104,44831,,,,,,,,5085.32554729097,,,,,"","SRID=4326;LINESTRING(29.6207237207462 60.2221500327051,29.6913456666587 60.2350949973384)"
2229,40095,55749,220000,3,1,,,,,8692.16931711201,,,,,"","SRID=4326;LINESTRING(36.9640604973908 56.2261285756333,36.9211812130686 56.164454529158)"
59754,29317,9607,220000,3,,,,,,45297.9054475809,,,,,"","SRID=4326;LINESTRING(33.2865440752145 60.5570365938814,32.8274958915593 60.2330177571532)"
22562,57564,23674,220000,6,,,,,,123.593390802105,,,,,"","SRID=4326;LINESTRING(37.8440632451631 55.7428630810965,37.8453895178486 55.7436967682706)"
45565,63329,60781,220000,3,,,,,,698.089938483212,,,,,"","SRID=4326;LINESTRING(37.7392751265967 55.4617727457005,37.7391323842981 55.4582057927161)"
959,28579,21743,220000,3,1,,,,,18264.4462248586,,,,,"","SRID=4326;LINESTRING(34.0327743218478 53.1209403461988,34.0502222253918 53.2636806289816)"
46275,40673,32914,220000,3,1,,Талашкино - Смоленск-1,,,17808.5653513883,,,,,"","SRID=4326;LINESTRING(32.0887226476413 54.7757016219272,32.3232901476533 54.8344187035185)"
78545,27169,4830,220000,3,,,,,,4992.77774206922,,,,,"","SRID=4326;LINESTRING(37.6836316812678 59.1926520086173,37.6242129246344 59.2215492222199)"
49477,27337,27336,220000,3,1,50,,,,978.183360691198,,,,,"","SRID=4326;LINESTRING(40.2199037930789 59.4397804084254,40.2225516672104 59.4484648959778)"
6756,62357,63307,220000,,,,,,,7859.24747999401,,,,,"","SRID=4326;LINESTRING(40.0166951127373 43.4728926434108,40.0000931886191 43.4533302854456)"
45747,22485,60802,220000,6,1,,,,,1476.24827256739,,,,,"","SRID=4326;LINESTRING(38.297053279888 53.9306589956074,38.3190868876823 53.9281997700533)"
6570,62433,22240,220000,3,1,,Владимирская - Цветмет,,,18055.5137000556,,,,,"","SRID=4326;LINESTRING(39.9668765720442 56.1518879091798,40.2108838147545 56.1025072307263)"
273,22568,28468,220000,6,,,,,,2802.90214930698,,,,,"","SRID=4326;LINESTRING(36.3756031503935 54.6101125776563,36.3409197982438 54.5951548038872)"
3248,63559,28882,220000,3,,,,,,119.534334417472,,,,,"","SRID=4326;LINESTRING(37.4363262022019 55.6295585745861,37.4343417397527 55.629008902045)"
58565,39377,8843,,,,,,,,2433.04804840109,,,,,"","SRID=4326;LINESTRING(30.4527716304196 59.8334194216541,30.4706201074106 59.8503536838953)"
43357,56883,60481,330000;110000,3;3,2,50,,,,853.890158186881,,,,,"","SRID=4326;LINESTRING(20.4969226299935 54.6414168013286,20.5078341064236 54.6370646115015)"
12285,11337,55334,220000,6,,,,,,2143.92332961128,,,,,"","SRID=4326;LINESTRING(40.9988156941504 57.765443630477,41.0303949897704 57.7547568451782)"
50001,40713,61355,220000,3;6;6,1,,,ФСК ЕЭС,,29905.5845587191,,,,,"","SRID=4326;LINESTRING(38.5686579967181 55.5882872732153,38.1634402001478 55.6381465907764)"
5734,18064,56095,,,,,,,,11499.5688124491,,,,,"","SRID=4326;LINESTRING(42.6782205146022 45.5307191489131,42.8036182162755 45.5534584808111)"
77273,16515,19558,,,,,,,,3902.48475160193,,,,,"","SRID=4326;LINESTRING(35.9503931648346 51.6390602764425,35.972024656695 51.6514875228494)"
19165,5482,57004,220000,6,1,,,ФСК ЕЭС,,441.311192365899,,,,,"","SRID=4326;LINESTRING(40.8667930644375 54.2828520001193,40.876647185265 54.2827946849544)"
6348,41113,22228,220000,3,1,,Рыбинская ГЭС - Сатурн,,,3006.17675126525,,,,,"","SRID=4326;LINESTRING(38.7729350044375 58.0889737828957,38.8222049866012 58.0796406623072)"
7017,42329,22226,220000,3,1,,,ФСК ЕЭС,,9888.38642653741,,,,,"","SRID=4326;LINESTRING(38.4869281259212 55.8278618919697,38.5577142891515 55.902040755604)"
2502,43489,21898,220000,3,,,,,,110.762785402439,,,,,"","SRID=4326;LINESTRING(44.4227723939877 48.7620128790645,44.4232899530277 48.7644328426882)"
57385,5864,8060,220000,3,,,,,,56612.353378835,,,,,"","SRID=4326;LINESTRING(38.8449144209698 44.8882378608774,38.1367954236224 44.9100297275958)"
19862,23313,57120,220000,3,1,,Няндома - Коноша,,,74686.9694618455,,,,,"","SRID=4326;LINESTRING(40.1603135995492 61.6461350811212,40.2426274866745 60.9900673815327)"
46082,26939,26936,220000,3,1,50,,,,641.2297609574,,,,,"","SRID=4326;LINESTRING(40.1586234193422 59.4212973777585,40.1532107104292 59.4189634836467)"
80715,39491,40207,500000,3,3,,Арзамасская - Радуга Южная,ФСК ЕЭС,,120198.927872782,,,,,"","SRID=4326;LINESTRING(43.9374672596883 55.0962762635858,42.1963939813245 55.3689932094186)"
79485,39522,5420,220000,3;6,,,,,,2158.78919622631,,,,,"","SRID=4326;LINESTRING(37.7698369493798 55.8231606760928,37.8044134786013 55.8261146191477)"
49817,16428,67416,220000;220000;110000,3;3;3,,,,,,61518.5937362739,,,,,"","SRID=4326;LINESTRING(43.1511052486647 47.6629604814047,42.4011962897445 47.5604843750245)"
47956,8950,67182,330000,3,,,,,,1440.63687554071,,,,,"","SRID=4326;LINESTRING(41.5026580987636 45.305272504035,41.515493172551 45.3116488995552)"
53799,29271,67891,220000,6,1,,,,,4489.54890658101,,,,,"","SRID=4326;LINESTRING(44.0448785116787 56.233809881505,44.0696418483476 56.2420124661952)"
45755,9849,26895,220000,3,1,,Тула - Металлургическая,,,7634.05768866801,,,,,"","SRID=4326;LINESTRING(37.6082578177876 54.124116568786,37.7111936111521 54.116797775575)"
45992,60441,60838,220000,6,,,,,,419.695257331138,,,,,"","SRID=4326;LINESTRING(37.627018055432 55.5630985126436,37.6209476898996 55.5646646831772)"
6446,32460,29301,110000;220000,6;3,1,,,,,8630.99998594271,,,,,"","SRID=4326;LINESTRING(37.7789854232258 55.6207618706915,37.7277765067469 55.6573486966125)"
69768,11227,15887,220000,3,1,,Заря - Вичуга,,,111076.176164653,,,,,"","SRID=4326;LINESTRING(41.8839877896353 57.2011847761334,41.4013042449587 56.2906248248526)"
49818,60316,67416,220000,3,,,,,,68.5869021233098,,,,,"","SRID=4326;LINESTRING(42.4002669825831 47.5604804953859,42.4011962897445 47.5604843750245)"
6520,42447,29307,500000,3,,,ВЛ КГРЭС - Луч 500кВ,,,206688.015717607,,,,,"","SRID=4326;LINESTRING(41.1683764771478 57.4603141242236,43.6983124979568 56.3928678590177)"
45847,55621,26913,330000,3,2,50,,"ОАО ""ФСК ЕЭС""",,863.725596862001,,,,,"","SRID=4326;LINESTRING(37.9212193017117 51.1550404844591,37.9307164442683 51.1535375108161)"
13310,41483,20720,220000,3,1,50,Нововоронежская АЭС - Лиски №4,"ОАО ""ФСК ЕЭС""",,39153.1185084371,,,,,"","SRID=4326;LINESTRING(39.4714716388918 51.0100953379442,39.207712994435 51.2706763847467)"
2037,32423,62655,220000,3,,,,,,180.971004001437,,,,,"","SRID=4326;LINESTRING(37.9991867538762 44.9072682196637,38.001381212645 44.9080748608472)"
78631,29268,38971,110000,6,,,,,,3578.73646784692,,,,,"","SRID=4326;LINESTRING(37.8644788175003 59.1497199842488,37.9171607059984 59.1563501658209)"
64240,8215,12536,220000,3,1,,,,,50793.3375857953,,,,,"","SRID=4326;LINESTRING(36.4708138658312 55.9002504179327,37.0727527836911 55.8700778090437)"
57645,66202,8236,500000,3;1;1;1;1;1;1;3;1;3;1;1;3;3;3;3,3;3,,Смоленская АЭС - Михайловская,ФСК ЕЭС,,468780.353568306,,,,,"","SRID=4326;LINESTRING(33.2543094980065 54.149811089477,38.9129455520376 54.3012574050671)"
77397,63302,53463,,3,1,,,,,17981.81783428,,,,,"","SRID=4326;LINESTRING(37.544047332028 52.4182195744873,37.7604173515174 52.4579958608588)"
66829,7191,48235,,,,,,,,52623.7905427122,,,,,"","SRID=4326;LINESTRING(33.2329432366555 58.3803215022684,32.5075818652399 58.2307296793813)"
45881,68093,26919,330000,6,2,50,,"ОАО ""ФСК ЕЭС""",,14177.0127007458,,,,,"","SRID=4326;LINESTRING(35.6169520875995 51.6628203867251,35.6708991543459 51.550481193507)"
53447,67851,33804,220000,3,2,,,,,1532.83409625571,,,,,"","SRID=4326;LINESTRING(37.5968131921503 55.8481794827974,37.5800385016923 55.8394201119204)"
45844,12949,26912,330000,3,2,50,,"ОАО ""ФСК ЕЭС""",,11019.5853394723,,,,,"","SRID=4326;LINESTRING(37.9053410561818 51.0577078511483,37.9307742059411 51.1532188757347)"
64766,12949,12950,500000,3,3,50,Старый Оскол - Металлургическая,"ОАО ""ФСК ЕЭС""",,32446.298916406,,,,,"","SRID=4326;LINESTRING(37.9053410561818 51.0577078511483,37.966382377673 51.2671716592346)"
25185,46419,64618,330000,3,,,,,,1854.85875296098,,,,,"","SRID=4326;LINESTRING(32.0446196679657 59.4916813090303,32.0205649037642 59.4801716112459)"
6971,2872,29361,220000,3,1,,,,,648.760426052245,,,,,"","SRID=4326;LINESTRING(37.6226772161562 55.5718357282553,37.6309647295093 55.5765461072566)"
15049,28704,29586,220000,3,1,,,,,25556.8232592524,,,,,"","SRID=4326;LINESTRING(37.987630250469 54.9723834270569,38.3399529551018 54.8754392835345)"
2643,56217,55804,220000,3,1,,,,,856.674537777866,,,,,"","SRID=4326;LINESTRING(37.9894516213106 55.9640532983188,37.9902945122289 55.9719646613777)"
70923,50352,16417,,,,,,,,7372.42047041389,,,,,"","SRID=4326;LINESTRING(44.040719951918 43.7721797327149,44.043095284229 43.8407370939476)"
49823,60620,61332,220000,3,,,,,,74.1031061197169,,,,,"","SRID=4326;LINESTRING(42.3993507908248 47.5641856012008,42.4003342663979 47.5643178631119)"
12947,3307,20871,220000,6,1,,,,,7783.13828853849,,,,,"","SRID=4326;LINESTRING(37.5081367171761 55.8928977302709,37.4022467632954 55.8740767988078)"
40675,49904,26245,220000,3,1,50,Рузаевка - Мокша,,,67629.1449624761,,,,,"","SRID=4326;LINESTRING(43.909472855315 54.016892419294,44.9091871906234 54.049891263236)"
2346,18002,28766,220000,3,1,,Цементная - Брянская,,,26887.0770807036,,,,,"","SRID=4326;LINESTRING(34.0963380056989 53.2997649935975,34.4037249102854 53.4335466419181)"
46038,32883,66916,220000,3,1,,,,,677.620372996041,,,,,"","SRID=4326;LINESTRING(40.6463665774638 57.0061123656056,40.6461305900386 57.0058494808525)"
6657,8950,34101,330000,3,,,,,,45.8063094599519,,,,,"","SRID=4326;LINESTRING(41.5026580987636 45.305272504035,41.5069403362987 45.3080289380252)"
41896,8060,26384,220000,6,,,,,,17015.2363231056,,,,,"","SRID=4326;LINESTRING(38.1367954236224 44.9100297275958,37.961567645397 44.8773484956626)"
19861,9164,57120,220000,3,1,,Вельск - Коноша,,,114351.901475612,,,,,"","SRID=4326;LINESTRING(42.0894583733878 61.0880228719591,40.2426274866745 60.9900673815327)"
42588,25448,60375,220000,3,,,,,,264.967544445371,,,,,"","SRID=4326;LINESTRING(44.9605544755369 51.9020719054808,44.9643794121851 51.901717505639)"
70464,16187,50165,220000,6,1,,,,,1563.0273719823,,,,,"","SRID=4326;LINESTRING(39.6597649499194 52.533072105521,39.6764699769281 52.5466609582417)"
69765,23254,15887,220000,3,1,,Заря - Вязники,,,32530.7121676392,,,,,"","SRID=4326;LINESTRING(41.8513307669703 56.4232377867357,41.4013042449587 56.2906248248526)"
2050,21852,55726,35000,,,,,,,6001.40016249093,,,,,"","SRID=4326;LINESTRING(37.4751002172849 55.2706452868236,37.5306230575867 55.3108733238208)"
14663,5829,22485,220000,3,1,,Бегичево - Люторичи,,,18021.0168708516,,,,,"","SRID=4326;LINESTRING(38.2311290994036 53.7818011065467,38.297053279888 53.9306589956074)"
47289,18440,60993,,,,,,,,26053.3113003799,,,,,"","SRID=4326;LINESTRING(40.3026956307139 46.8624021310545,40.6110131099626 46.9598225872031)"
732,50895,21720,220000,3,1,,Арзамасская - Лукояновская №1,,,29303.2806376978,,,,,"","SRID=4326;LINESTRING(44.3745064796113 55.0316047776603,43.9470328417964 55.098630128381)"
24880,58679,24035,220000,6,,,,,,3631.00268859641,,,,,"","SRID=4326;LINESTRING(37.3738879898954 55.866137299657,37.3843338695137 55.8467907079819)"
42596,7612,66509,220000,3,,,,,,48467.2318581052,,,,,"","SRID=4326;LINESTRING(44.3666078548038 48.91254988305,44.1435713996001 48.6817091666214)"
