v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
13888,40.3898543328672,56.1705022490923,substation,,,,,,SRID=4326;POINT(40.3898543328672 56.1705022490923)
64582,30.8439199239265,59.8014893720309,joint,330000,,,,,SRID=4326;POINT(30.8439199239265 59.8014893720309)
63183,42.0225297756634,44.6638047441879,joint,110000,,,,,SRID=4326;POINT(42.0225297756634 44.6638047441879)
32883,40.6463665774638,57.0061123656056,joint,220000,,,,,SRID=4326;POINT(40.6463665774638 57.0061123656056)
22264,37.0309224683592,54.48766772453,joint,220000,,,,,SRID=4326;POINT(37.0309224683592 54.48766772453)
44588,37.7849260484307,44.7433200015052,substation,,,,,,SRID=4326;POINT(37.7849260484307 44.7433200015052)
60726,42.798114742076,44.0322433979938,joint,,,,,,SRID=4326;POINT(42.798114742076 44.0322433979938)
28366,32.4155554816645,55.6070538874107,joint,220000,,,,,SRID=4326;POINT(32.4155554816645 55.6070538874107)
67891,44.0696418483476,56.2420124661952,joint,220000,,,,,SRID=4326;POINT(44.0696418483476 56.2420124661952)
67672,37.9280714447458,59.054933093888,joint,220000,,,,,SRID=4326;POINT(37.9280714447458 59.054933093888)
30147,34.3213498622189,61.7694794722965,joint,220000,,,,,SRID=4326;POINT(34.3213498622189 61.7694794722965)
25581,37.7080393566949,55.6427049863757,joint,220000,,,,,SRID=4326;POINT(37.7080393566949 55.6427049863757)
50395,43.4126105679078,45.088497313913,substation,,,,,,SRID=4326;POINT(43.4126105679078 45.088497313913)
22180,37.5204245668832,52.4078521028675,joint,220000,,,,,SRID=4326;POINT(37.5204245668832 52.4078521028675)
50345,43.2857892062629,44.8548988944881,station,,,,,,SRID=4326;POINT(43.2857892062629 44.8548988944881)
34101,41.5069403362987,45.3080289380252,joint,110000;330000,,,,,SRID=4326;POINT(41.5069403362987 45.3080289380252)
44589,37.6290869114585,44.7505653174371,substation,,,,,,SRID=4326;POINT(37.6290869114585 44.7505653174371)
55767,35.4041268719886,55.518373449415,joint,220000,,,,,SRID=4326;POINT(35.4041268719886 55.518373449415)
51741,38.2400527890856,54.0864184299015,substation,,,ОРУ 220/110кВ,,,SRID=4326;POINT(38.2400527890856 54.0864184299015)
