l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
67457,43039,14639,400000,3,,,,,,92063.3165745093,,,,,"","SRID=4326;LINESTRING(19.8454934215613 45.3398389295646,20.1097032145115 44.6837144278926)"
67616,43503,14728,400000,3,2,,,,,98347.1765497141,,,,,"","SRID=4326;LINESTRING(21.9710084182088 43.3020481030968,22.1231716017339 44.0545987974637)"
70695,39115,16287,220000,3,,,,,,50581.9662409153,,,,,"","SRID=4326;LINESTRING(20.1680068265052 44.6642866284489,19.9373647633015 44.2954193484389)"
76577,19116,52908,,,,,,,,13105.1348682437,,,,,"","SRID=4326;LINESTRING(20.0716278304458 45.0373743868406,20.1707743827216 44.9734277921701)"
67450,16155,14638,,,,,,,,3712.69821368648,,,,,"","SRID=4326;LINESTRING(19.581705016427 44.987158348568,19.61243951254 45.0162055458951)"
76584,66453,52913,,,,,,,,1354.62566562576,,,,,"","SRID=4326;LINESTRING(20.2061530642208 44.6392031861049,20.2216812630868 44.6419440649841)"
73355,48734,18013,220000,3,,,,,,10202.5329534778,,,,,"","SRID=4326;LINESTRING(20.5875314182341 44.7360274819195,20.4654610197798 44.7205159912526)"
73354,39115,18013,220000,3,1,50,,,,32737.7187269763,,,,,"","SRID=4326;LINESTRING(20.1680068265052 44.6642866284489,20.4654610197798 44.7205159912526)"
61972,48687,44981,400000,3,,,,,,153749.02098039,,,,,"","SRID=4326;LINESTRING(22.5244170765389 44.6651443024912,21.2072101950698 44.729472748093)"
77662,18013,53609,,3,1,50,,,,2258.0201013499,,,,,"","SRID=4326;LINESTRING(20.4654610197798 44.7205159912526,20.4486585016187 44.7053618046345)"
10919,5018,54897,,3,1,50,,,,3117.72741664818,,,,,"","SRID=4326;LINESTRING(20.6990107490834 44.868610467185,20.6760439543743 44.8611021063586)"
48905,16049,2324,,,,,,,,184.168470668072,,,,,"","SRID=4326;LINESTRING(21.9116492329044 43.310292902727,21.9122162041671 43.3074965848169)"
10918,5018,54897,,3,1,50,,,,3084.5372770643,,,,,"","SRID=4326;LINESTRING(20.6990107490834 44.868610467185,20.6760439543743 44.8611021063586)"
77561,48569,53555,,6,1,50,,,,998.66175421225,,,,,"","SRID=4326;LINESTRING(20.3841228663307 44.8230762680002,20.3846134609735 44.8125376850288)"
78853,48734,5018,400000,3;1;1;1;3;1;1;1,2,50,,,,22553.0203051345,,,,,"","SRID=4326;LINESTRING(20.5875314182341 44.7360274819195,20.6990107490834 44.868610467185)"
67451,15884,14638,220000,3,,50,,,,64010.3017604656,,,,,"","SRID=4326;LINESTRING(19.767807600165 45.5376068591819,19.61243951254 45.0162055458951)"
3647,54665,21996,,,,,,,,157.897823337587,,,,,"","SRID=4326;LINESTRING(20.1578982733053 44.6714796282253,20.1613499159299 44.6654680021734)"
77569,49595,53558,,3,1,50,,,,1315.71290799447,,,,,"","SRID=4326;LINESTRING(20.423912891845 44.7429134022475,20.4103484692014 44.7450825098167)"
68553,49156,15218,220000,3,,50,,,,1961.64001996692,,,,,"","SRID=4326;LINESTRING(20.6853224317761 44.8273517497656,20.6669142741428 44.830142085287)"
67466,14643,48569,,4;9,1,50,,,,8008.12465937611,,,,,"","SRID=4326;LINESTRING(20.3759607055723 44.7701187528936,20.3841228663307 44.8230762680002)"
67126,43503,14453,220000,3,1,50,,,,38496.109823609,,,,,"","SRID=4326;LINESTRING(21.9710084182088 43.3020481030968,21.9842954343713 42.9760505147783)"
67617,48687,14728,400000,3,,,Djerdap Hydroelectric Dam to Bor Mine,,,82615.3162169205,,,,,"","SRID=4326;LINESTRING(22.5244170765389 44.6651443024912,22.1231716017339 44.0545987974637)"
72668,16287,51448,220000,3,1,50,,,,66369.7775274901,,,,,"","SRID=4326;LINESTRING(19.9373647633015 44.2954193484389,19.5001952569772 43.9529892720748)"
67778,12597,48744,400000,3,,,,,,36033.6829027749,,,,,"","SRID=4326;LINESTRING(20.9222862536679 44.0592537877429,21.2939712956237 43.9547039896251)"
70313,14638,16155,,,,,,,,3768.50055686619,,,,,"","SRID=4326;LINESTRING(19.61243951254 45.0162055458951,19.581705016427 44.987158348568)"
77558,48569,53552,,4,1,50,,,,1865.50925595533,,,,,"","SRID=4326;LINESTRING(20.3841228663307 44.8230762680002,20.3766712861693 44.8349017925489)"
58856,15884,43039,110000,3,1,50,,,,23702.1308448444,,,,,"","SRID=4326;LINESTRING(19.767807600165 45.5376068591819,19.8454934215613 45.3398389295646)"
58858,39115,43039,220000,3,,50,,,,93042.7334173017,,,,,"","SRID=4326;LINESTRING(20.1680068265052 44.6642866284489,19.8454934215613 45.3398389295646)"
