v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
15120,21.8344004829922,43.31502734404,substation,,,,,,SRID=4326;POINT(21.8344004829922 43.31502734404)
49595,20.423912891845,44.7429134022475,substation,,,,,,SRID=4326;POINT(20.423912891845 44.7429134022475)
44981,21.2072101950698,44.729472748093,sub_station,,,,,,SRID=4326;POINT(21.2072101950698 44.729472748093)
19915,19.4934007193074,44.8205255382456,substation,,,,,,SRID=4326;POINT(19.4934007193074 44.8205255382456)
51761,20.3236346655109,44.8609786710039,substation,,,,,,SRID=4326;POINT(20.3236346655109 44.8609786710039)
66453,20.2061530642208,44.6392031861049,joint,,,,,,SRID=4326;POINT(20.2061530642208 44.6392031861049)
19116,20.0716278304458,45.0373743868406,sub_station,,,,,,SRID=4326;POINT(20.0716278304458 45.0373743868406)
5018,20.6990107490834,44.868610467185,substation,,,,,,SRID=4326;POINT(20.6990107490834 44.868610467185)
48569,20.3841228663307,44.8230762680002,substation,,,,,,SRID=4326;POINT(20.3841228663307 44.8230762680002)
14642,20.4066019542119,44.7646605204738,substation,,,,,,SRID=4326;POINT(20.4066019542119 44.7646605204738)
49156,20.6853224317761,44.8273517497656,substation,,,,,,SRID=4326;POINT(20.6853224317761 44.8273517497656)
14639,20.1097032145115,44.6837144278926,sub_station,,,,,,SRID=4326;POINT(20.1097032145115 44.6837144278926)
49910,20.9434904497916,44.3558845426341,substation,,,,,,SRID=4326;POINT(20.9434904497916 44.3558845426341)
14819,20.96351860838,44.5966863222614,substation,,,,,,SRID=4326;POINT(20.96351860838 44.5966863222614)
53553,20.3918227087702,44.8048619685706,substation,,,,,,SRID=4326;POINT(20.3918227087702 44.8048619685706)
49863,20.3943829049419,45.4133221994052,substation,,,,,,SRID=4326;POINT(20.3943829049419 45.4133221994052)
21996,20.1613499159299,44.6654680021734,joint,220000,,,,,SRID=4326;POINT(20.1613499159299 44.6654680021734)
27377,20.1587139323817,44.6595667662199,joint,,,,,,SRID=4326;POINT(20.1587139323817 44.6595667662199)
19731,20.5191436538168,44.812926432776,substation,,,,,,SRID=4326;POINT(20.5191436538168 44.812926432776)
43503,21.9710084182088,43.3020481030968,substation,,,NIŠ 2,,,SRID=4326;POINT(21.9710084182088 43.3020481030968)
27347,20.536722758151,44.799557875281,joint,,50,,,,SRID=4326;POINT(20.536722758151 44.799557875281)
48734,20.5875314182341,44.7360274819195,substation,,,,,,SRID=4326;POINT(20.5875314182341 44.7360274819195)
16049,21.9116492329044,43.310292902727,substation,,,,,,SRID=4326;POINT(21.9116492329044 43.310292902727)
16155,19.581705016427,44.987158348568,substation,,,,,,SRID=4326;POINT(19.581705016427 44.987158348568)
14766,19.1671270133917,45.7672765510561,substation,,,,,,SRID=4326;POINT(19.1671270133917 45.7672765510561)
43039,19.8454934215613,45.3398389295646,substation,,,ТС Нови Сад 1 - Римски Шанчеви,,,SRID=4326;POINT(19.8454934215613 45.3398389295646)
14643,20.3759607055723,44.7701187528936,substation,,,,,,SRID=4326;POINT(20.3759607055723 44.7701187528936)
48536,21.1772818375533,42.6347870623568,substation,,,,,,SRID=4326;POINT(21.1772818375533 42.6347870623568)
19905,19.7204613575647,44.7455792923851,substation,,,,,,SRID=4326;POINT(19.7204613575647 44.7455792923851)
39453,20.4137647388038,44.7653556548351,substation,,,,,,SRID=4326;POINT(20.4137647388038 44.7653556548351)
53558,20.4103484692014,44.7450825098167,substation,,,,,,SRID=4326;POINT(20.4103484692014 44.7450825098167)
42889,19.8461553250693,45.2727448258247,substation,,,,,,SRID=4326;POINT(19.8461553250693 45.2727448258247)
12366,20.9006021713704,42.6654631168197,station,,,,,,SRID=4326;POINT(20.9006021713704 42.6654631168197)
16287,19.9373647633015,44.2954193484389,substation,220000;110000,,"ТС 220/110 kV ""Ваљево 3""",EMS,,SRID=4326;POINT(19.9373647633015 44.2954193484389)
53554,20.4113589603258,44.8009954462808,substation,,,,,,SRID=4326;POINT(20.4113589603258 44.8009954462808)
48744,21.2939712956237,43.9547039896251,substation,,,,,,SRID=4326;POINT(21.2939712956237 43.9547039896251)
48609,19.7393553632108,44.715171692351,substation,,,,,,SRID=4326;POINT(19.7393553632108 44.715171692351)
54665,20.1578982733053,44.6714796282253,merge,,,Термоелектрана Никола Тесла - ТЕНТ А,Електропривреда Србије,ТЕНТ А,SRID=4326;POINT(20.1578982733053 44.6714796282253)
52913,20.2216812630868,44.6419440649841,sub_station,,,,,,SRID=4326;POINT(20.2216812630868 44.6419440649841)
14728,22.1231716017339,44.0545987974637,sub_station,,,,,,SRID=4326;POINT(22.1231716017339 44.0545987974637)
19157,19.8866189938929,45.2672583373069,substation,,,,,,SRID=4326;POINT(19.8866189938929 45.2672583373069)
19702,20.6758709285712,44.8340741372977,substation,,,,,,SRID=4326;POINT(20.6758709285712 44.8340741372977)
54352,20.5032197885156,44.7790604244781,merge,,,,,,SRID=4326;POINT(20.5032197885156 44.7790604244781)
50132,19.6813781509932,44.7815352399434,substation,,,,,,SRID=4326;POINT(19.6813781509932 44.7815352399434)
52970,20.4279522317966,45.385191423812,sub_station,,,,,,SRID=4326;POINT(20.4279522317966 45.385191423812)
2324,21.9122162041671,43.3074965848169,sub_station,,,,,,SRID=4326;POINT(21.9122162041671 43.3074965848169)
53555,20.3846134609735,44.8125376850288,substation,,,,,,SRID=4326;POINT(20.3846134609735 44.8125376850288)
33332,20.360880505725,44.8011036693874,joint,220000,50,,,,SRID=4326;POINT(20.360880505725 44.8011036693874)
63173,21.0625366992802,42.6994535150629,joint,220000;400000,,,,,SRID=4326;POINT(21.0625366992802 42.6994535150629)
40013,19.7145467997508,46.0393577150256,substation,,,,,,SRID=4326;POINT(19.7145467997508 46.0393577150256)
53609,20.4486585016187,44.7053618046345,substation,,,,,,SRID=4326;POINT(20.4486585016187 44.7053618046345)
52908,20.1707743827216,44.9734277921701,sub_station,,,,,,SRID=4326;POINT(20.1707743827216 44.9734277921701)
51449,21.0664506494541,42.700599115481,station,,,Rrjeti i elektrobartjes,Srbija,,SRID=4326;POINT(21.0664506494541 42.700599115481)
32847,20.1757008947413,44.948577909896,joint,,,,,,SRID=4326;POINT(20.1757008947413 44.948577909896)
48687,22.5244170765389,44.6651443024912,sub_station,,,,,,SRID=4326;POINT(22.5244170765389 44.6651443024912)
53696,19.7208089657906,44.7426424831433,substation,,,,,,SRID=4326;POINT(19.7208089657906 44.7426424831433)
51448,19.5001952569772,43.9529892720748,station,,,Bajina Bašta,,,SRID=4326;POINT(19.5001952569772 43.9529892720748)
15218,20.6669142741428,44.830142085287,sub_station,,,,,,SRID=4326;POINT(20.6669142741428 44.830142085287)
14453,21.9842954343713,42.9760505147783,substation,,,,,,SRID=4326;POINT(21.9842954343713 42.9760505147783)
15884,19.767807600165,45.5376068591819,substation,,,Електроисток,,,SRID=4326;POINT(19.767807600165 45.5376068591819)
16154,19.64681454054,44.9788591004363,substation,,,,,,SRID=4326;POINT(19.64681454054 44.9788591004363)
14638,19.61243951254,45.0162055458951,substation,,,,,,SRID=4326;POINT(19.61243951254 45.0162055458951)
39115,20.1680068265052,44.6642866284489,sub_station,,,,,,SRID=4326;POINT(20.1680068265052 44.6642866284489)
54897,20.6760439543743,44.8611021063586,merge,,,,,,SRID=4326;POINT(20.6760439543743 44.8611021063586)
19848,20.6524665715436,44.8834274383627,substation,,,,,,SRID=4326;POINT(20.6524665715436 44.8834274383627)
53552,20.3766712861693,44.8349017925489,substation,,,,,,SRID=4326;POINT(20.3766712861693 44.8349017925489)
19703,20.6687928157331,44.8411124866273,substation,,,,,,SRID=4326;POINT(20.6687928157331 44.8411124866273)
12597,20.9222862536679,44.0592537877429,substation,,,,,,SRID=4326;POINT(20.9222862536679 44.0592537877429)
19941,20.5275375997141,44.7955124189771,substation,,,,,,SRID=4326;POINT(20.5275375997141 44.7955124189771)
53695,19.6727651940329,44.7383272433258,substation,,,,,,SRID=4326;POINT(19.6727651940329 44.7383272433258)
18013,20.4654610197798,44.7205159912526,substation,,,,,,SRID=4326;POINT(20.4654610197798 44.7205159912526)
48971,21.991055301314,43.2959234970999,substation,,,,,,SRID=4326;POINT(21.991055301314 43.2959234970999)
51760,20.1955225357718,44.9553355434826,substation,,,,,,SRID=4326;POINT(20.1955225357718 44.9553355434826)
52673,19.8789513235542,45.2806110016853,substation,,,,,,SRID=4326;POINT(19.8789513235542 45.2806110016853)
11327,20.0068389482605,44.6525411171363,plant,,,Термоелектрана Никола Тесла - ТЕНТ Б,Електропривреда Србије,ТЕНТ Б,SRID=4326;POINT(20.0068389482605 44.6525411171363)
61341,19.7192695938261,44.7408099179454,joint,,50,,,,SRID=4326;POINT(19.7192695938261 44.7408099179454)
