l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
4759,63260,29110,,,,,,,,2288.54054777318,,,,,"","SRID=4326;LINESTRING(21.2746312019889 48.7018595847965,21.2868327748008 48.6838693946439)"
33204,7739,59203,400000,3,3,,,,461,17608.2646158015,,,,,"","SRID=4326;LINESTRING(19.4893849932186 49.086162061366,19.3048931025999 49.0545170824133)"
5748,2400,56098,,,,,,,,9161.24474296791,,,,,"","SRID=4326;LINESTRING(17.2177653233461 48.1127631115912,17.3350799942483 48.1321637802717)"
31846,65065,65171,220000,3,,,,,,356.581891889815,,,,,"","SRID=4326;LINESTRING(21.8267740238964 48.831945261449,21.8240281435675 48.8346044784056)"
63339,3140,11960,,,,,,,,648.138309736133,,,,,"","SRID=4326;LINESTRING(17.1476244929327 48.1895662232691,17.1464341938878 48.1952683798508)"
49733,27363,61288,,,,,,,,148.218008717009,,,,,"","SRID=4326;LINESTRING(17.0410616908304 48.1978204849392,17.0403696287355 48.1990833001475)"
33190,46605,59202,220000,6,,,,,,4464.0060633829,,,,,"","SRID=4326;LINESTRING(17.3921204909099 48.6661258416525,17.4424412666944 48.6870636711504)"
62022,39492,45016,110000,3,1,,,,,57824.5051198371,,,,,"","SRID=4326;LINESTRING(18.2990767661818 49.0495847374904,18.7467019389138 48.7224289421345)"
5747,2400,56098,,,,,,,,9204.71942225915,,,,,"","SRID=4326;LINESTRING(17.2177653233461 48.1127631115912,17.3350799942483 48.1321637802717)"
78806,39104,2400,400000,3,,50,,,,45543.2511229264,,,,,"","SRID=4326;LINESTRING(17.6601372997386 48.3366932169791,17.2177653233461 48.1127631115912)"
49730,27362,61324,,,,,,,,38.2489525278127,,,,,"","SRID=4326;LINESTRING(17.0393742055692 48.2024252691319,17.0394798474466 48.2020763891625)"
32244,30963,25172,,,,,,,,24784.00118728,,,,,"","SRID=4326;LINESTRING(21.1834431975545 48.6364624097324,21.076128657083 48.8192386650278)"
38695,50383,32005,,,,,,,,21925.7548848816,,,,,"","SRID=4326;LINESTRING(17.8019393733938 48.5885507035346,17.8374065121036 48.7265216070555)"
54626,30963,67977,,,,,,,,11791.4704300158,,,,,"","SRID=4326;LINESTRING(21.1834431975545 48.6364624097324,21.1691186620339 48.70649129749)"
38663,30862,32001,110000,6,,,,,,2893.87936037831,,,,,"","SRID=4326;LINESTRING(17.846189430468 48.7802100958636,17.8084886651295 48.7764086044526)"
45989,66858,32875,,,,,,,,203.137023115808,,,,,"","SRID=4326;LINESTRING(21.8160659260467 48.8361142874069,21.8138070224332 48.8350389655838)"
21323,63582,23490,220000,3;6;3,2,,,SEPS,,50077.1615607941,,,,,"","SRID=4326;LINESTRING(18.5133056692398 48.6841064992816,18.2605457096003 49.0702439005608)"
49734,61324,61289,,,,,,,,159.275115437179,,,,,"","SRID=4326;LINESTRING(17.0394798474466 48.2020763891625,17.0399089726578 48.2006607874497)"
24921,57919,57920,,,,,,,,234.070452033395,,,,,"","SRID=4326;LINESTRING(18.1137087102256 48.953682591397,18.1164565668482 48.9547803162708)"
55264,2262,6753,,,,,,,,13809.0531818558,,,,,"","SRID=4326;LINESTRING(21.2686786754783 48.9692823626663,21.2547318857611 48.8589411907765)"
33206,7153,59204,400000,3,,,,,461,34520.6917055979,,,,,"","SRID=4326;LINESTRING(19.366716427036 48.7962331144971,19.3007047974192 49.0610882163049)"
78807,62554,2400,,,,,,,,9308.78827905392,,,,,"","SRID=4326;LINESTRING(17.3362127056718 48.1322738649724,17.2177653233461 48.1127631115912)"
38696,32005,32006,,,,,,,,169.437031061468,,,,,"","SRID=4326;LINESTRING(17.8374065121036 48.7265216070555,17.8396556240805 48.7269006179604)"
38659,66029,66028,,,,,,,,2066.83545825648,,,,,"","SRID=4326;LINESTRING(17.8376111483254 48.7763156620839,17.8182035856011 48.7720503694068)"
15553,40516,63601,,,,,,,,188.193506576582,,,,,"","SRID=4326;LINESTRING(17.189744170468 48.2189944857699,17.1925591498991 48.2202321743749)"
28327,30862,64849,,,,,,,,1189.2104768978,,,,,"","SRID=4326;LINESTRING(17.846189430468 48.7802100958636,17.8428328754089 48.7906831010541)"
62023,30683,45016,,,,,,,,18465.7675368421,,,,,"","SRID=4326;LINESTRING(18.8424437181017 48.5740271032925,18.7467019389138 48.7224289421345)"
41132,59206,26298,400000,6,3,,,,"406, 494",8512.28493205278,,,,,"","SRID=4326;LINESTRING(19.2116493235812 49.1110386805277,19.3000334864074 49.0621450806733)"
1329,40541,62554,,,,,,,,12222.528347444,,,,,"","SRID=4326;LINESTRING(17.412076007214 48.2052393856642,17.3362127056718 48.1322738649724)"
6103,29110,56161,,,,,,,,6697.12373347146,,,,,"","SRID=4326;LINESTRING(21.2868327748008 48.6838693946439,21.247147736682 48.6324749106727)"
66850,43109,48249,,6,1,,,,,31897.5800922048,,,,,"","SRID=4326;LINESTRING(18.5122714463412 48.666291439052,18.741824264903 48.5591165672106)"
8655,60023,21122,,,,,,,,4180.10708903704,,,,,"","SRID=4326;LINESTRING(17.082400363575 48.1172329628757,17.0567771682393 48.1488057875557)"
29777,48249,24817,400000,6;3,,,,,,993.11173478794,,,,,"","SRID=4326;LINESTRING(18.741824264903 48.5591165672106,18.7463503931703 48.5504959123057)"
55260,22250,6753,,,,,,,,32869.6512868314,,,,,"","SRID=4326;LINESTRING(20.8733706518547 48.924955281007,21.2547318857611 48.8589411907765)"
4939,39104,56008,,3,1,,,,,2617.15025677433,,,,,"","SRID=4326;LINESTRING(17.6601372997386 48.3366932169791,17.6286709175403 48.3201313260741)"
