v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
5296,18.1458609061252,48.9630871089966,substation,,,,,,SRID=4326;POINT(18.1458609061252 48.9630871089966)
6753,21.2547318857611,48.8589411907765,station,,,Elektrická stanica Lemešany,"Východoslovenská energetika, a.s.",,SRID=4326;POINT(21.2547318857611 48.8589411907765)
64213,18.2544428250546,49.0922915925291,joint,220000,,,,,SRID=4326;POINT(18.2544428250546 49.0922915925291)
29235,17.2656485976403,48.1192309120008,joint,400000,50,,,,SRID=4326;POINT(17.2656485976403 48.1192309120008)
56008,17.6286709175403,48.3201313260741,joint,,,,,,SRID=4326;POINT(17.6286709175403 48.3201313260741)
40543,17.2837256253689,48.3026603446135,sub_station,,,,,,SRID=4326;POINT(17.2837256253689 48.3026603446135)
2262,21.2686786754783,48.9692823626663,substation,,,,,,SRID=4326;POINT(21.2686786754783 48.9692823626663)
62651,18.289370092202,49.0447398580248,joint,,,,,,SRID=4326;POINT(18.289370092202 49.0447398580248)
30683,18.8424437181017,48.5740271032925,joint,,,,,,SRID=4326;POINT(18.8424437181017 48.5740271032925)
7153,19.366716427036,48.7962331144971,substation,,,,,,SRID=4326;POINT(19.366716427036 48.7962331144971)
46878,19.9092936728497,49.0089432097798,substation,,,,,,SRID=4326;POINT(19.9092936728497 49.0089432097798)
11960,17.1464341938878,48.1952683798508,substation,,,,,,SRID=4326;POINT(17.1464341938878 48.1952683798508)
66028,17.8182035856011,48.7720503694068,joint,,,,,,SRID=4326;POINT(17.8182035856011 48.7720503694068)
27363,17.0410616908304,48.1978204849392,joint,,,,,,SRID=4326;POINT(17.0410616908304 48.1978204849392)
43109,18.5122714463412,48.666291439052,substation,,,,,,SRID=4326;POINT(18.5122714463412 48.666291439052)
30632,17.8544899535248,48.7688202111928,joint,,,,,,SRID=4326;POINT(17.8544899535248 48.7688202111928)
29110,21.2868327748008,48.6838693946439,joint,,,,,,SRID=4326;POINT(21.2868327748008 48.6838693946439)
57920,18.1164565668482,48.9547803162708,joint,,,,,,SRID=4326;POINT(18.1164565668482 48.9547803162708)
17238,17.0892344694416,48.1176905442602,substation,,,,,,SRID=4326;POINT(17.0892344694416 48.1176905442602)
64849,17.8428328754089,48.7906831010541,joint,,,,,,SRID=4326;POINT(17.8428328754089 48.7906831010541)
59203,19.3048931025999,49.0545170824133,joint,400000,,,,461,SRID=4326;POINT(19.3048931025999 49.0545170824133)
21804,17.6536444929777,48.3331761671446,joint,,,,,,SRID=4326;POINT(17.6536444929777 48.3331761671446)
66858,21.8160659260467,48.8361142874069,joint,,,,,,SRID=4326;POINT(21.8160659260467 48.8361142874069)
