l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
74370,42675,37280,400000,6,2,,400 kV RTP Beričevo-RTP Okroglo,,,30952.3164582694,,,,,"","SRID=4326;LINESTRING(14.6136864183822 46.09307357613,14.3261726389217 46.2526122203625)"
24701,42675,57888,220000,,,,,,,9691.83745019271,,,,,"","SRID=4326;LINESTRING(14.6136864183822 46.09307357613,14.506385525953 46.1280141944486)"
34837,21534,1519,220000,3,,,Obersielach - Podlog,Austrian Power Grid AG,247,26325.4427537684,,,,,"","SRID=4326;LINESTRING(15.1298577828775 46.2761565223168,15.0525658001056 46.4836316035248)"
81183,42675,6465,400000,3,2,,400 kV RTP Beričevo-RTP Divača,ELES,3005,75974.2511907123,,,,,"","SRID=4326;LINESTRING(14.6136864183822 46.09307357613,13.9687577838935 45.6912801294237)"
58254,21534,42675,400000,3,2,,400 kV RTP Beričevo-RTP Podlog,,,49741.5126288249,,,,,"","SRID=4326;LINESTRING(15.1298577828775 46.2761565223168,14.6136864183822 46.09307357613)"
24700,21534,57888,220000,,,,,,,53320.6134282964,,,,,"","SRID=4326;LINESTRING(15.1298577828775 46.2761565223168,14.506385525953 46.1280141944486)"
24702,44336,57888,220000,,,,220 kV Beričevo-Kleče,,,3319.74464290104,,,,,"","SRID=4326;LINESTRING(14.4844483665141 46.1028413806463,14.506385525953 46.1280141944486)"
17634,21534,29163,400000,3,2,50,400 kV Mihovci-RTP Podlog,,,51346.3724610765,,,,,"","SRID=4326;LINESTRING(15.1298577828775 46.2761565223168,15.7422690088867 46.381519597913)"
81184,44336,6465,220000,3,1,,220 kV Kleče-Divača,,,65979.256602572,,,,,"","SRID=4326;LINESTRING(14.4844483665141 46.1028413806463,13.9687577838935 45.6912801294237)"
56285,21534,41441,220000,3,,50,,,,50580.3086354116,,,,,"","SRID=4326;LINESTRING(15.1298577828775 46.2761565223168,15.7327329429881 46.3987043026573)"
8745,42675,54052,400000,6,,,2x400kV Berčicvo - Krško,,,80147.7592435007,,,,,"","SRID=4326;LINESTRING(14.6136864183822 46.09307357613,15.5157472973574 45.9386588184893)"
8742,29163,54052,400000,3,2,50,400 kV Mihovci-RTP Krško,,,55595.338041622,,,,,"","SRID=4326;LINESTRING(15.7422690088867 46.381519597913,15.5157472973574 45.9386588184893)"
56289,29163,41442,400000,3;6,2,50,400 kV RTP Maribor-Mihovci;400 kV RTP Maribor/Podlog-Mihovci,,,19878.8523954579,,,,,"","SRID=4326;LINESTRING(15.7422690088867 46.381519597913,15.6956755477046 46.5219550288855)"
