v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
1519,15.0525658001056,46.4836316035248,sub_station,,,Raduše - Herman,,,SRID=4326;POINT(15.0525658001056 46.4836316035248)
37280,14.3261726389217,46.2526122203625,substation,,,RTP Okroglo,,,SRID=4326;POINT(14.3261726389217 46.2526122203625)
29163,15.7422690088867,46.381519597913,joint,400000,50,400 kV Mihovci-RTP Krško;400 kV Mihovci-RTP Podlog;400 kV RTP Maribor/Podlog-Mihovci,,,SRID=4326;POINT(15.7422690088867 46.381519597913)
6465,13.9687577838935,45.6912801294237,substation,400000;220000;110000,,RTP Divača,,,SRID=4326;POINT(13.9687577838935 45.6912801294237)
42675,14.6136864183822,46.09307357613,substation,,,RTP Beričevo,ELES,,SRID=4326;POINT(14.6136864183822 46.09307357613)
41441,15.7327329429881,46.3987043026573,substation,,,RTP Cirkovce,,,SRID=4326;POINT(15.7327329429881 46.3987043026573)
41442,15.6956755477046,46.5219550288855,substation,,,RTP Maribor,,,SRID=4326;POINT(15.6956755477046 46.5219550288855)
44336,14.4844483665141,46.1028413806463,substation,220000;110000,50,RTP Kleče,ELES,,SRID=4326;POINT(14.4844483665141 46.1028413806463)
54052,15.5157472973574,45.9386588184893,merge,,,RTP Krško;Nuklearna elektrarna Krško,,,SRID=4326;POINT(15.5157472973574 45.9386588184893)
21534,15.1298577828775,46.2761565223168,merge,,,RTP Podlog,,,SRID=4326;POINT(15.1298577828775 46.2761565223168)
57888,14.506385525953,46.1280141944486,joint,220000,,220 kV Beričevo-Kleče,,,SRID=4326;POINT(14.506385525953 46.1280141944486)
