l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
10511,11437,54494,220000,3;6,,,,,,17790.905274588,,,,,"","SRID=4326;LINESTRING(-5.24732180307393 37.6435172656315,-5.16410542406533 37.5280199292517)"
44130,54918,60593,400000,3;6;3,,,,Red Eléctrica de España,,17445.4951082181,,,,,"","SRID=4326;LINESTRING(-3.4432025717727 40.2559850887884,-3.60005554412952 40.1969957109312)"
21561,33810,64061,220000;132000,,,50,,,,161.967666623394,,,,,"","SRID=4326;LINESTRING(-8.58637335823814 42.1891276162896,-8.5845103421704 42.1896232796535)"
6078,45479,56155,220000,6,,,,Red Eléctrica de España,,15072.7578533329,,,,,"","SRID=4326;LINESTRING(-6.30101554213644 36.670634027794,-6.14269051432274 36.6246423114672)"
27821,53709,24545,220000,6,,,,,,4637.97597449399,,,,,"","SRID=4326;LINESTRING(1.39549588681305 42.3238879181004,1.34468491486349 42.3188959058286)"
25296,23650,57967,400000,6,,,,Red Eléctrica de España,,2511.3425306952,,,,,"","SRID=4326;LINESTRING(-3.96021053328999 40.629245207649,-3.98257085835312 40.6145815951401)"
81413,63606,6579,400000,3;6;3,2,,,,,5403.52769996363,,,,,"","SRID=4326;LINESTRING(-5.574732022018 36.0624910169833,-5.60606444849094 36.0323467199753)"
2000,62647,28732,220000,3,,50,,Red Eléctrica Española,,8863.15934972623,,,,,"","SRID=4326;LINESTRING(-8.34892391192202 43.1847018229235,-8.36417175918438 43.2632996300856)"
6453,45940,29302,132000,,,50,,,,16464.4249749218,,,,,"","SRID=4326;LINESTRING(-5.6928142324394 43.3183245157985,-5.87382460084775 43.3131436028904)"
58315,8676,8677,220000,3,,,,,,28631.4923280787,,,,,"","SRID=4326;LINESTRING(2.74436494875914 39.6002667420688,3.03948760450681 39.6737541792535)"
30421,41017,65033,220000,3,,,,Red Eléctrica de España,,39449.8606955579,,,,,"","SRID=4326;LINESTRING(-6.28769395186069 42.9391098027112,-5.84021778546694 43.0298994106107)"
25196,44531,24080,220000,6,,,,Red Eléctrica de España,,18180.2693623668,,,,,"","SRID=4326;LINESTRING(-1.69275428599388 41.8625260525627,-1.90080073572153 41.8259390945301)"
19176,23164,57007,220000,3,2;1,,,,,354.609504433892,,,,,"","SRID=4326;LINESTRING(-0.463924148700117 39.5607566756188,-0.460382091534834 39.561348115796)"
78693,4847,4922,220000,3,,,,Red Eléctrica de España,,5640.53372426778,,,,,"","SRID=4326;LINESTRING(-1.36184024368308 41.7983992205137,-1.37994298591362 41.8468286341014)"
34264,63274,31437,,3,1,50,,,,5091.81266051139,,,,,"","SRID=4326;LINESTRING(-0.0156893359813713 39.9806593615267,-0.000512399038061775 40.0210745607129)"
8345,55980,20585,400000,3,,,,,,41842.7166480219,,,,,"","SRID=4326;LINESTRING(-6.54427373686854 42.6250753667703,-6.04098212897735 42.6316838065302)"
9649,28134,54279,220000,3,,,,Red Eléctrica de España,,49598.4856408418,,,,,"","SRID=4326;LINESTRING(-4.49438464400729 42.0503563617023,-4.93759178518029 41.7894087912987)"
61480,44620,44642,220000,6,,,,Red Eléctrica de España,,34106.4341802788,,,,,"","SRID=4326;LINESTRING(-0.72263229102186 38.7189908242984,-0.477323108352617 38.4920626686836)"
20313,39485,57189,,6,1,50,,,,154.365875792951,,,,,"","SRID=4326;LINESTRING(0.0719963870876542 40.0609062048221,0.0739503023355315 40.0601762823703)"
48383,12344,33182,,,,,,,,3328.49547305333,,,,,"","SRID=4326;LINESTRING(-2.9819702193263 43.2470521136878,-2.94177962606875 43.243302517602)"
73922,18355,18359,,6;3;3;3,1,50,,,,954.425635758273,,,,,"","SRID=4326;LINESTRING(-6.90371952013457 37.191026433576,-6.8948576594771 37.1862612416213)"
29763,33941,30989,220000,6,,50,,Red Eléctrica de España,,20326.1056661158,,,,,"","SRID=4326;LINESTRING(1.89313559106519 41.4993806909328,1.67553461366777 41.5793363037314)"
30419,58725,31057,220000,3,,,,Red Eléctrica de España,,16519.3127428971,,,,,"","SRID=4326;LINESTRING(-6.49170621290397 42.8280907871987,-6.53131401175914 42.6940389886635)"
