v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
44535,-0.858256184668034,41.5719223884162,substation,220000,50,Subestacion Electrica Aceralia,,,SRID=4326;POINT(-0.858256184668034 41.5719223884162)
13988,-6.87409540171595,37.6492316494486,station,,,,,,SRID=4326;POINT(-6.87409540171595 37.6492316494486)
2973,-3.74208675196667,40.4340605446895,substation,,,,,,SRID=4326;POINT(-3.74208675196667 40.4340605446895)
56993,-0.125800252051155,39.9698442137936,joint,400000,50,,Red Eléctrica de España,,SRID=4326;POINT(-0.125800252051155 39.9698442137936)
44569,-3.82034010666586,40.1320881300892,substation,220000,50,,,,SRID=4326;POINT(-3.82034010666586 40.1320881300892)
67522,-5.72871161604823,43.5562666178308,joint,220000,50,,,,SRID=4326;POINT(-5.72871161604823 43.5562666178308)
30303,-4.80343025457236,37.8260377106067,joint,220000,,,Red Eléctrica de España,,SRID=4326;POINT(-4.80343025457236 37.8260377106067)
58510,-1.68305063798694,42.0948224691888,joint,220000,,,Red Eléctrica de España,,SRID=4326;POINT(-1.68305063798694 42.0948224691888)
43062,-4.81224902706756,37.8580242062569,substation,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-4.81224902706756 37.8580242062569)
4858,-3.86739896525171,43.4360223976038,substation,220000;66000,50,Subestación de Cacicedo,,,SRID=4326;POINT(-3.86739896525171 43.4360223976038)
43026,-6.34164518419734,38.8965536593624,substation,220000,50,Subestación de Mérida,Red Eléctrica de España,,SRID=4326;POINT(-6.34164518419734 38.8965536593624)
56992,0.144191460862934,40.1580063638588,joint,220000;138000,50,,,,SRID=4326;POINT(0.144191460862934 40.1580063638588)
38698,-0.0150924232499094,39.9783855971493,substation,220000,50,El Ingenio,Iberdrola,,SRID=4326;POINT(-0.0150924232499094 39.9783855971493)
64586,-8.40789715556761,43.1727056984304,joint,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-8.40789715556761 43.1727056984304)
10651,-0.374366244890462,39.4390298412501,substation,,,,,,SRID=4326;POINT(-0.374366244890462 39.4390298412501)
59252,-2.90181438756203,43.2448743804447,joint,,,,,,SRID=4326;POINT(-2.90181438756203 43.2448743804447)
56445,2.22419926857014,41.4725971201242,joint,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(2.22419926857014 41.4725971201242)
10646,-3.87199402821659,39.3405998641974,substation,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-3.87199402821659 39.3405998641974)
28302,-2.23903674211795,43.0490870923325,joint,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-2.23903674211795 43.0490870923325)
44532,-1.40892536493975,41.6949556926953,substation,,,,,,SRID=4326;POINT(-1.40892536493975 41.6949556926953)
64975,-5.80938814390513,43.1789853177599,joint,,,,,,SRID=4326;POINT(-5.80938814390513 43.1789853177599)
63398,-5.72869598536228,43.5545844565437,joint,220000,50,,,,SRID=4326;POINT(-5.72869598536228 43.5545844565437)
39103,-0.680356648164647,39.9893340462393,substation,,,,,,SRID=4326;POINT(-0.680356648164647 39.9893340462393)
8987,-6.26614580132624,37.4402930608992,substation,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-6.26614580132624 37.4402930608992)
7425,-2.60354556012785,42.8839203937523,substation,400000;220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-2.60354556012785 42.8839203937523)
8922,-8.26629540684128,42.6072423050523,station,,,,,,SRID=4326;POINT(-8.26629540684128 42.6072423050523)
58509,-1.67526763436532,42.0889698034041,joint,220000,,,Red Eléctrica de España,,SRID=4326;POINT(-1.67526763436532 42.0889698034041)
41614,-4.85823531814255,42.8219721203794,substation,400000,50,Subestacion de Velilla,Red Eléctrica de España,,SRID=4326;POINT(-4.85823531814255 42.8219721203794)
53636,-0.969670073619577,40.792031758362,substation,,50,,,,SRID=4326;POINT(-0.969670073619577 40.792031758362)
52751,-2.9005346302675,43.2437416357259,substation,,,,,,SRID=4326;POINT(-2.9005346302675 43.2437416357259)
8876,-8.26932755383456,42.2610892693062,substation,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-8.26932755383456 42.2610892693062)
8926,-8.84528066549911,42.8306932234101,substation,220000,50,,,,SRID=4326;POINT(-8.84528066549911 42.8306932234101)
27859,-3.36696383830968,42.4886943565661,joint,220000,,,*,,SRID=4326;POINT(-3.36696383830968 42.4886943565661)
23962,-6.06349854091127,37.4806011211589,joint,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-6.06349854091127 37.4806011211589)
44496,0.622081515238418,41.5775256732041,substation,220000,50,Subestació d'Albatàrrec,Red Electrica Española,,SRID=4326;POINT(0.622081515238418 41.5775256732041)
55141,2.19127537309059,41.4605221959745,merge,220000,50,Subestació de Santa Coloma,R.E.E.,,SRID=4326;POINT(2.19127537309059 41.4605221959745)
57962,-3.06655094779347,40.523335592922,joint,400000,,,Red Eléctrica de España,,SRID=4326;POINT(-3.06655094779347 40.523335592922)
5807,-7.4013531203356,42.3256866048944,station,,,Parque eólico Pena da Cruz,Sistemas Energéticos Chandrexa S.A.,RE-3506,SRID=4326;POINT(-7.4013531203356 42.3256866048944)
44486,1.58192669589325,41.255996504547,substation,220000,50,,Fecsa Endesa,,SRID=4326;POINT(1.58192669589325 41.255996504547)
8990,-7.93824868977278,42.7421095720045,substation,,50,,,,SRID=4326;POINT(-7.93824868977278 42.7421095720045)
18358,-6.89454518843469,37.1791613514223,substation,,50,,,,SRID=4326;POINT(-6.89454518843469 37.1791613514223)
11924,-6.39544720784931,43.2918854109803,substation,400000,50,,,,SRID=4326;POINT(-6.39544720784931 43.2918854109803)
41881,2.02384235731313,41.4747978928074,substation,400000;132000,50,Subestació elèctrica de Can Jardí,,,SRID=4326;POINT(2.02384235731313 41.4747978928074)
11404,-2.32283466863857,40.0303196436594,substation,400000,50,,Red Eléctrica de España,,SRID=4326;POINT(-2.32283466863857 40.0303196436594)
24077,0.957964586794927,42.2569317961659,joint,220000,,,Red Eléctrica de España,,SRID=4326;POINT(0.957964586794927 42.2569317961659)
42979,-6.27377885904152,41.9973239036163,substation,220000,50,Subestación de Valparaíso,,,SRID=4326;POINT(-6.27377885904152 41.9973239036163)
10492,-0.218362713470132,41.2800237643135,substation,400000,16.67,,,,SRID=4326;POINT(-0.218362713470132 41.2800237643135)
57432,-6.81880463691329,38.8179593861671,joint,220000,,,Red Eléctrica de España,,SRID=4326;POINT(-6.81880463691329 38.8179593861671)
46317,-2.99418544214854,43.0773791713771,substation,220000,50,,,,SRID=4326;POINT(-2.99418544214854 43.0773791713771)
10543,-6.86479642304948,37.3048074729603,station,,,,,,SRID=4326;POINT(-6.86479642304948 37.3048074729603)
29762,2.11417487021258,41.6267980111651,joint,400000,,,Red Eléctrica de España,,SRID=4326;POINT(2.11417487021258 41.6267980111651)
33024,-2.15474835799818,37.0394636530787,joint,400000,,,Red Eléctrica de España,,SRID=4326;POINT(-2.15474835799818 37.0394636530787)
62311,-2.9325771944667,43.2423751904614,joint,,,,,,SRID=4326;POINT(-2.9325771944667 43.2423751904614)
26494,-5.87664599737397,41.1916786909656,joint,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(-5.87664599737397 41.1916786909656)
8991,-0.783559982992619,37.9072557156068,substation,220000,50,Subestación de Campoamor,,,SRID=4326;POINT(-0.783559982992619 37.9072557156068)
32838,0.566073915277087,41.2245762117034,joint,220000,50,,Red Eléctrica de España,,SRID=4326;POINT(0.566073915277087 41.2245762117034)
47786,-5.93093713175838,41.6697397334756,substation,,,,,,SRID=4326;POINT(-5.93093713175838 41.6697397334756)
15919,-3.47876690836114,40.5537903208197,station,,,,,,SRID=4326;POINT(-3.47876690836114 40.5537903208197)
41882,2.00966097133332,41.4733321082004,substation,,,,Red Eléctrica de España,,SRID=4326;POINT(2.00966097133332 41.4733321082004)
29258,-4.15124537180507,42.9415247369397,joint,,,,,,SRID=4326;POINT(-4.15124537180507 42.9415247369397)
12337,-3.01132722420966,43.0841687244908,substation,220000,50,,,,SRID=4326;POINT(-3.01132722420966 43.0841687244908)
18345,-7.22453437057481,37.5851403548579,substation,,,,,,SRID=4326;POINT(-7.22453437057481 37.5851403548579)
30664,-4.77492572246044,37.2526900232375,joint,400000,,,Red Eléctrica de España,,SRID=4326;POINT(-4.77492572246044 37.2526900232375)
45933,1.52578146389794,41.7395033316182,substation,,,,,,SRID=4326;POINT(1.52578146389794 41.7395033316182)
57474,-1.84107983731798,43.301459992186,joint,220000,,,,,SRID=4326;POINT(-1.84107983731798 43.301459992186)
18484,-3.05639769437895,37.2160818415406,substation,,,,,,SRID=4326;POINT(-3.05639769437895 37.2160818415406)
30970,-7.22784872861292,42.299074311994,joint,220000,,,Red Eléctrica de España,,SRID=4326;POINT(-7.22784872861292 42.299074311994)
32837,0.557046924650027,41.194011767291,joint,110000;220000;220000,50,,Red Eléctrica de España,,SRID=4326;POINT(0.557046924650027 41.194011767291)
9181,-6.42131019818328,42.5431292227766,substation,,50,,,,SRID=4326;POINT(-6.42131019818328 42.5431292227766)
7893,2.07653369823323,41.4869518275217,substation,220000,50,,,,SRID=4326;POINT(2.07653369823323 41.4869518275217)
12329,-2.25240256306582,43.2126737537989,substation,400000,50,Subestación Eléctrica de Azpeitia,,,SRID=4326;POINT(-2.25240256306582 43.2126737537989)
10517,-0.767434150009899,41.6457251611195,substation,132000,50,Subestacion de Malpica,,,SRID=4326;POINT(-0.767434150009899 41.6457251611195)
