l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
54932,5122,33999,,3,,,,,,3447.20895430143,,,,,"","SRID=4326;LINESTRING(18.2587994196991 59.2447455672826,18.271770608233 59.2160579798021)"
63190,15593,11859,400000,3,2,50,,,,43093.5306692407,,,,,"","SRID=4326;LINESTRING(12.2172884090817 58.2939686898707,12.2637134927457 57.9156807161049)"
67405,21836,14620,400000,3,2,50,,Svenska Kraftnät,,44466.094545736,,,,,"","SRID=4326;LINESTRING(14.1465404820459 56.0882438663717,13.6023686982877 55.8331460398898)"
70093,35960,50014,400000,3,,,,,,72259.1446186887,,,,,"","SRID=4326;LINESTRING(16.9310495095607 62.5414408947632,17.1010795323036 63.1761646155732)"
69220,15587,49550,400000,3,2,50,CL32 S4-6 Stenkullen-Horred,,,23299.0631257971,,,,,"","SRID=4326;LINESTRING(12.5577339932651 57.3802884785462,12.4559253128414 57.5791095955113)"
55725,3022,7027,400000,3,,,,,,613.152891186346,,,,,"","SRID=4326;LINESTRING(16.9905864550795 60.604394790998,16.9788657335441 60.600301889278)"
70670,16271,16275,400000,3,,,,Svenska Kraftnät,,9168.14320871096,,,,,"","SRID=4326;LINESTRING(19.82482930599 66.8817948462768,19.9064136363494 66.8116381846267)"
63169,11845,11846,400000,3,,,,Svenska kraftnät,,30.7442630010641,,,,,"","SRID=4326;LINESTRING(15.2406855161347 63.2353475723446,15.2408279119227 63.2382162959091)"
52973,5113,27823,,3,,,,,,719.526407293074,,,,,"","SRID=4326;LINESTRING(14.8416058810471 56.8250664974246,14.844762567849 56.8319767078859)"
70058,62290,49996,400000;220000;400000;400000;400000;400000;400000;400000;400000;400000,3,,,,Svenska Kraftnät,,5.26954889031318,,,,,"","SRID=4326;LINESTRING(16.7916370860093 63.5442888022496,16.7890457331208 63.543932613957)"
39465,15524,32100,220000,3,,,,,,47299.1036713423,,,,,"","SRID=4326;LINESTRING(16.8758348156694 59.9597248864938,16.4201235289018 60.3097854748601)"
