v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
12854,18.3926279585518,60.1789897073672,substation,,,,,,SRID=4326;POINT(18.3926279585518 60.1789897073672)
27824,14.8743045642826,56.8298878749765,joint,,,,,,SRID=4326;POINT(14.8743045642826 56.8298878749765)
49243,14.9103778293572,59.5417101444479,sub_station,,,,,,SRID=4326;POINT(14.9103778293572 59.5417101444479)
8648,17.3429345551267,60.4363276331874,substation,220000,,,,,SRID=4326;POINT(17.3429345551267 60.4363276331874)
62340,17.9502502729804,59.5046483978699,joint,,,,,,SRID=4326;POINT(17.9502502729804 59.5046483978699)
12855,18.3303249544086,60.2661679900137,substation,,,,,,SRID=4326;POINT(18.3303249544086 60.2661679900137)
21624,14.4959479930524,59.7761705872526,merge,,,,,,SRID=4326;POINT(14.4959479930524 59.7761705872526)
37281,17.8435738025817,59.2440861722012,substation,220000,,,,,SRID=4326;POINT(17.8435738025817 59.2440861722012)
39226,18.2363308901153,59.2910543061305,substation,220000,,,,,SRID=4326;POINT(18.2363308901153 59.2910543061305)
56043,17.579822602219,60.5326333535551,joint,,,,,,SRID=4326;POINT(17.579822602219 60.5326333535551)
12665,14.712879077805,56.3183025738926,substation,400000,,400 kV Hemsjö,,,SRID=4326;POINT(14.712879077805 56.3183025738926)
50118,16.1767627282347,60.1327744798026,substation,220000,,,,,SRID=4326;POINT(16.1767627282347 60.1327744798026)
27128,17.9230096704732,59.4948531825098,joint,,,,,,SRID=4326;POINT(17.9230096704732 59.4948531825098)
29890,18.2344139874798,59.2849914745063,joint,,,,,,SRID=4326;POINT(18.2344139874798 59.2849914745063)
50015,16.9872745978411,63.3671701340429,substation,220000,,,,,SRID=4326;POINT(16.9872745978411 63.3671701340429)
28887,17.9011318776005,59.2608804126982,joint,220000,,,,,SRID=4326;POINT(17.9011318776005 59.2608804126982)
10425,17.6551468250169,59.9146031222264,substation,220000;70000,,,,,SRID=4326;POINT(17.6551468250169 59.9146031222264)
