l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
22139,43193,23620,220000;132000,9,2,50,,ATEL; BKW,,489.727561091647,,,,,"","SRID=4326;LINESTRING(7.61602141237887 47.2325986006218,7.61790468099447 47.2273267897278)"
40203,36803,32185,220000,1;6,2,50,,,,251.714134880247,,,,,"","SRID=4326;LINESTRING(9.09267752676315 47.559810336732,9.09337226380096 47.5562224188639)"
69513,32184,36803,220000,1;6,2,50,,NOK,,266.954285501086,,,,,"","SRID=4326;LINESTRING(9.09314112727835 47.5561893179956,9.09267752676315 47.559810336732)"
80470,63851,5974,132000;220000;132000;220000;132000,2;7,,16.7;50;16.7;50;16.7,,,,5778.65698366155,,,,,"","SRID=4326;LINESTRING(8.18114090812055 47.4062534977426,8.10572748287089 47.4064638178409)"
7781,6542,21282,,,,,,,,1354.71169427354,,,,,"","SRID=4326;LINESTRING(8.25637454742491 47.0586339763276,8.27323084031668 47.0570272496656)"
32694,49596,59116,220000,3,,,,,,2664.55958929496,,,,,"","SRID=4326;LINESTRING(7.06160939232783 46.1103922787822,7.03261786791522 46.1223716777706)"
2852,24861,21880,380000;220000,6,2,50,,Swissgrid,,33560.7247643553,,,,,"","SRID=4326;LINESTRING(9.37935156332111 47.067895217713,9.50858200408968 46.8605446771678)"
40903,62495,66278,,,,,,,,1324.94696647251,,,,,"","SRID=4326;LINESTRING(8.832525069384 47.1638802015677,8.83171080817957 47.1555978082296)"
16899,22832,56723,220000,3,1,50,,,,24.0682047682254,,,,,"","SRID=4326;LINESTRING(6.14268260775514 46.2963790166469,6.1424235336272 46.2965209639829)"
87,60111,21669,,,,,,,,334.459916599649,,,,,"","SRID=4326;LINESTRING(8.90386456977839 47.1731563659,8.90078623479994 47.1707752188473)"
47268,31832,67103,,,,,,,,53.4177715680132,,,,,"","SRID=4326;LINESTRING(6.38299497182873 46.6606002068426,6.38324209836339 46.6601376836596)"
10873,65267,54509,380000;380000;150000;380000;150000,3;9;3;3,2,50,,swissgrid,,13990.8509211484,,,,,"","SRID=4326;LINESTRING(10.1348191764112 46.2370997952502,10.0615353904253 46.3480050094147)"
41144,5515,66303,400000,3,2,50,,RTE,,1189.46024631509,,,,,"","SRID=4326;LINESTRING(6.05718594311781 46.2318409640947,6.04905740406682 46.2397437938458)"
11526,25291,20666,220000,3,,,,,,2006.73711862442,,,,,"","SRID=4326;LINESTRING(6.9663996347247 46.065889605144,6.9495386187839 46.0508833413464)"
51804,32286,61590,220000,3,2,50,,,,286.113610720379,,,,,"","SRID=4326;LINESTRING(8.73408343023744 47.3876307031348,8.73037275929333 47.3882095759292)"
30607,63346,31070,132000;220000;132000;220000,16;6,1,16.7;50;16.7;50,,,,2691.18170166454,,,,,"","SRID=4326;LINESTRING(7.94227860457859 47.3157664885306,7.91480201464628 47.3011146153414)"
16853,8270,22832,220000,6,2,50,,,,8846.9499027837,,,,,"","SRID=4326;LINESTRING(6.19600218189265 46.3667834926853,6.14268260775514 46.2963790166469)"
