v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
47820,8.94546455022104,47.4643679434768,sub_station,,,,,,SRID=4326;POINT(8.94546455022104 47.4643679434768)
39205,6.11576479750662,46.2345885017099,substation,,,,,,SRID=4326;POINT(6.11576479750662 46.2345885017099)
28453,9.23502084166898,46.7723373802121,joint,380000;220000,50,,Swissgrid,,SRID=4326;POINT(9.23502084166898 46.7723373802121)
31127,9.02474510834453,47.4631520139207,joint,,,,,,SRID=4326;POINT(9.02474510834453 47.4631520139207)
25781,6.46587129415339,46.7331499732534,joint,,,,,,SRID=4326;POINT(6.46587129415339 46.7331499732534)
55146,8.18355007158923,47.6009086670334,merge,380000,,Leibstadt;Kernkraftwerk Leibstadt,,,SRID=4326;POINT(8.18355007158923 47.6009086670334)
5515,6.05718594311781,46.2318409640947,substation,,,,,,SRID=4326;POINT(6.05718594311781 46.2318409640947)
21088,9.9328526487961,46.463707444156,merge,,,Montebello,Repower,,SRID=4326;POINT(9.9328526487961 46.463707444156)
41330,6.1335825608215,46.1599304705799,sub_station,,,,,,SRID=4326;POINT(6.1335825608215 46.1599304705799)
21683,7.02504224541865,46.1802794743625,joint,132000;225000,16.7;50,,SBB,,SRID=4326;POINT(7.02504224541865 46.1802794743625)
36759,7.51418575885855,46.7785568644932,substation,220000,,Unterstation Wattenwil (BKW Energie),,,SRID=4326;POINT(7.51418575885855 46.7785568644932)
53450,8.60913899236695,46.342521519533,substation,,,,,,SRID=4326;POINT(8.60913899236695 46.342521519533)
31270,10.1109351289632,46.6957450744118,joint,220000;380000;380000;220000,,Ova Spin - Pradella,,,SRID=4326;POINT(10.1109351289632 46.6957450744118)
14851,8.23473728607213,46.7020324051974,sub_station,,,,,,SRID=4326;POINT(8.23473728607213 46.7020324051974)
65078,7.25773585777863,47.3446498669212,joint,380000,50,Interconnexion Bassecourt (CH) - Sierentz (F),,,SRID=4326;POINT(7.25773585777863 47.3446498669212)
49594,7.18267702018663,46.9677406264219,station,,,,,,SRID=4326;POINT(7.18267702018663 46.9677406264219)
26489,8.71855685903519,47.4495382933016,joint,220000,50,,,Rossberg,SRID=4326;POINT(8.71855685903519 47.4495382933016)
44727,8.51264305128872,47.1842293469272,station,,,,,,SRID=4326;POINT(8.51264305128872 47.1842293469272)
22483,6.61219733179445,46.5568017989223,joint,220000,50,,,,SRID=4326;POINT(6.61219733179445 46.5568017989223)
31095,8.15393255513209,47.1960167989952,joint,,50,,,,SRID=4326;POINT(8.15393255513209 47.1960167989952)
4905,7.53836505620879,47.4173614396684,substation,,,,,,SRID=4326;POINT(7.53836505620879 47.4173614396684)
31530,8.50282132315677,47.1905176796953,joint,220000;380000;220000,50,,,,SRID=4326;POINT(8.50282132315677 47.1905176796953)
40244,9.30249334139847,47.3977182134451,substation,220000,,Winkeln,,,SRID=4326;POINT(9.30249334139847 47.3977182134451)
48602,7.12072983583487,46.8682259309241,sub_station,,,,Groupe E,,SRID=4326;POINT(7.12072983583487 46.8682259309241)
67895,8.21831400306118,47.5698715920936,joint,,50,,,,SRID=4326;POINT(8.21831400306118 47.5698715920936)
49531,8.72403992835105,47.3891666291664,substation,,,,,,SRID=4326;POINT(8.72403992835105 47.3891666291664)
25293,8.12135694798406,46.1659226740295,joint,220000,,,,,SRID=4326;POINT(8.12135694798406 46.1659226740295)
33786,7.99562038648655,47.5400362069593,joint,380000;220000;220000,50,,,,SRID=4326;POINT(7.99562038648655 47.5400362069593)
8248,7.51235447525529,46.9888017678588,station,,,,,,SRID=4326;POINT(7.51235447525529 46.9888017678588)
32286,8.73408343023744,47.3876307031348,joint,220000,50,,,,SRID=4326;POINT(8.73408343023744 47.3876307031348)
13615,7.55801412763577,46.2869859484929,substation,,,,,,SRID=4326;POINT(7.55801412763577 46.2869859484929)
55280,6.02690333886635,46.190594931197,merge,400000;132000;132000;132000;132000;132000;132000;132000;400000;400000;225000;225000;225000;400000;225000;150000;400000,50,Verbois,,,SRID=4326;POINT(6.02690333886635 46.190594931197)
12593,8.23644492501938,47.2178330456611,substation,,,,,,SRID=4326;POINT(8.23644492501938 47.2178330456611)
63966,8.55104935547835,47.2871361594757,joint,220000,,,,,SRID=4326;POINT(8.55104935547835 47.2871361594757)
33568,6.14123102008753,46.3058219640043,joint,380000;132000;400000;132000,50;16.7;16.7,Bois Tollot - Chamoson,RTE,,SRID=4326;POINT(6.14123102008753 46.3058219640043)
64533,8.96872392143863,47.2231600049001,joint,380000;220000;220000;380000,50,,,,SRID=4326;POINT(8.96872392143863 47.2231600049001)
65291,6.98262464606035,46.224393416847,joint,225000,50,,swissgrid,,SRID=4326;POINT(6.98262464606035 46.224393416847)
51831,7.42713735949721,46.9719745376153,station,,,Lastverteilerwerk Neubrück,Energie Wasser Bern,,SRID=4326;POINT(7.42713735949721 46.9719745376153)
57625,6.4714790273145,46.5421754697526,joint,,,,,,SRID=4326;POINT(6.4714790273145 46.5421754697526)
65038,7.68427122603841,47.0321372003681,joint,220000,,,,,SRID=4326;POINT(7.68427122603841 47.0321372003681)
29668,8.22623579639419,47.0752514137634,joint,220000;380000,50,,,,SRID=4326;POINT(8.22623579639419 47.0752514137634)
47203,10.1434867594928,46.6801121685113,substation,,,Ouvras Electricas d'Engiadina,,,SRID=4326;POINT(10.1434867594928 46.6801121685113)
12326,9.21539894662735,47.1091014116311,substation,,,,,,SRID=4326;POINT(9.21539894662735 47.1091014116311)
57280,8.46207634698343,47.0871251044647,joint,132000;380000;380000;132000,16.7;50;50;16.7,,SBB,,SRID=4326;POINT(8.46207634698343 47.0871251044647)
