l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
73472,46343,18065,400000,3,,,,,,152.361631548798,,,,,"","SRID=4326;LINESTRING(21.4725125268043 41.0571346760066,21.4884897182959 41.0594298132622)"
73469,46343,18065,,,,,,,,181.935365373963,,,,,"","SRID=4326;LINESTRING(21.4725125268043 41.0571346760066,21.4884897182959 41.0594298132622)"
63958,46343,12357,400000,3,,,,,,113294.143787172,,,,,"","SRID=4326;LINESTRING(21.4725125268043 41.0571346760066,21.4914198692489 41.9487730241619)"
63960,39359,12357,400000,3,,,,,,19810.9718365084,,,,,"","SRID=4326;LINESTRING(21.4573665187919 42.0380031475664,21.4914198692489 41.9487730241619)"
73466,46343,18065,,,,,,,,101.269599643818,,,,,"","SRID=4326;LINESTRING(21.4725125268043 41.0571346760066,21.4884897182959 41.0594298132622)"
73465,46343,18065,,,,,,,,109.1788623319,,,,,"","SRID=4326;LINESTRING(21.4725125268043 41.0571346760066,21.4884897182959 41.0594298132622)"
73471,46343,18065,400000,3,,,,,,686.649788822426,,,,,"","SRID=4326;LINESTRING(21.4725125268043 41.0571346760066,21.4884897182959 41.0594298132622)"
73468,46343,18065,400000,3,,,,,,131.526157685032,,,,,"","SRID=4326;LINESTRING(21.4725125268043 41.0571346760066,21.4884897182959 41.0594298132622)"
63956,12355,46342,400000,3,,,,,,40469.7664546079,,,,,"","SRID=4326;LINESTRING(22.1453966326962 41.4615106781874,22.173437463296 41.7747184795577)"
73467,46343,18065,,,,,,,,91.5165789483241,,,,,"","SRID=4326;LINESTRING(21.4725125268043 41.0571346760066,21.4884897182959 41.0594298132622)"
73470,12355,18065,400000,3,,,,,,82463.0011710715,,,,,"","SRID=4326;LINESTRING(22.1453966326962 41.4615106781874,21.4884897182959 41.0594298132622)"
63959,12355,12357,400000,3,,,,,,82258.8227937673,,,,,"","SRID=4326;LINESTRING(22.1453966326962 41.4615106781874,21.4914198692489 41.9487730241619)"
