l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
9204,55435,54845,380000,3,,,Yatağan TES TM - Yeniköy TES TM EİH,,,40600.286676184,,,,,"","SRID=4326;LINESTRING(27.8783241792571 37.1379603506014,28.0995839920281 37.3288583476966)"
67115,44494,48375,380000,3,,,Kayabaşı TM - Kurşunlu TM EİH,,,216437.781257734,,,,,"","SRID=4326;LINESTRING(35.7376843574562 40.5712871307808,33.3351729498164 40.7848188482672)"
33556,16744,59246,380000,3,,,Temelli TM - Adapazarı TM EİH,,,52588.6593628678,,,,,"","SRID=4326;LINESTRING(30.8359019010239 40.5756168754745,30.3181492831975 40.7426307817253)"
28062,20419,58453,380000,3,,,Bandırma DGKÇS TM  - Bursa DGKÇ TM EİH;Bandırma DGKÇS TM - Bursa DGKÇ TM EİH,,,114223.33735976,,,,,"","SRID=4326;LINESTRING(29.0736651109884 40.2940756801221,27.7527651086478 40.2521081057933)"
67112,10916,48375,380000,3,,,Osmanca TM - Kurşunlu TM EİH,,,206096.974659025,,,,,"","SRID=4326;LINESTRING(31.1380562498821 40.9163905895708,33.3351729498164 40.7848188482672)"
57285,42059,42060,154000,,,,,,,4051.14334656219,,,,,"","SRID=4326;LINESTRING(37.025874945474 38.3495749893622,36.9827140940629 38.3561387646109)"
61365,55502,10562,380000,3,,,Kangal TS - Keban HES EİH,,,139628.956498419,,,,,"","SRID=4326;LINESTRING(38.6778440154942 38.8152653399515,37.2962055165983 39.079584506946)"
9520,45028,54277,380000,,,,,,,3204.63751283566,,,,,"","SRID=4326;LINESTRING(27.3140398714771 38.616587189045,27.3511093255455 38.6134435451581)"
25626,24138,58017,154000,,,,,,,206.050194226525,,,,,"","SRID=4326;LINESTRING(37.6946138551107 38.7252050979732,37.6947454582998 38.7264983194029)"
9445,6445,55448,380000,,,,Erzurum 3 TM - Borçka TM EİH,,,198456.126884491,,,,,"","SRID=4326;LINESTRING(41.6832608239661 41.3510243027809,41.1071723573 39.928952424871)"
4378,23178,55959,380000,,,,TUTES ŞALT EİH,,,1197.19732552408,,,,,"","SRID=4326;LINESTRING(29.4613520653848 39.6162826016457,29.4627903646968 39.6266397425603)"
10647,8158,55094,380000,3,3,,,,,33519.8016707312,,,,,"","SRID=4326;LINESTRING(32.5381117711587 39.9771240680495,32.8188992233227 39.8048195102954)"
525,10247,21664,380000,3,,,Adapazarı-3 TM - Tepeören TM EİH,,,17136.7269244894,,,,,"","SRID=4326;LINESTRING(29.3994390896407 40.8929500205874,29.5983641462236 40.8532631578364)"
25623,55502,24139,380000,,,,Kayseri SKM - Keban-2 TM EİH,,,90993.1184144779,,,,,"","SRID=4326;LINESTRING(38.6778440154942 38.8152653399515,37.694429790309 38.7259497911754)"
61444,14312,44622,380000,3,,,Göksun SKM - Atatürk HES TM EİH,,3Ph-180,180222.115228499,,,,,"","SRID=4326;LINESTRING(38.3083893963386 37.4568257682811,36.6051412669327 38.0906311630564)"
69736,10408,15874,380000,3,,,Yeşilhisar TM - Temelli TM EİH,,3D-266,124412.243130164,,,,,"","SRID=4326;LINESTRING(35.1339028050442 38.2432172749889,33.9779286737484 38.8689419053413)"
57286,42059,42061,380000,3,,,,,,10071.3273286045,,,,,"","SRID=4326;LINESTRING(37.025874945474 38.3495749893622,36.9118099869754 38.3544742707161)"
9348,55434,20964,380000,3,3,,,,,232.53257887984,,,,,"","SRID=4326;LINESTRING(30.393274045649 40.8636763243651,30.3876708824173 40.865800402865)"
6993,14312,29364,380000,3;6;3;3;3,,,Atatürk HES TM EİH,,,3064.76569373997,,,,,"","SRID=4326;LINESTRING(38.3083893963386 37.4568257682811,38.313000132126 37.4818086657026)"
25627,24138,24140,380000,,,,,,,76971.1864529437,,,,,"","SRID=4326;LINESTRING(37.6946138551107 38.7252050979732,36.8844010221443 38.8402276801371)"
26115,44844,24212,380000,6,,,KAPTAN TM EİH,,,704.351547264306,,,,,"","SRID=4326;LINESTRING(27.962344007204 41.0174911695832,27.9709543028932 41.0138557589939)"
63760,58505,12226,380000,2,,,Atatürk HES TM - Karakaya HES TM EİH,,,81339.4876440728,,,,,"","SRID=4326;LINESTRING(38.9688289003755 37.5756402616978,39.139577477756 38.2011526448115)"
9209,13375,20235,154000,,,,,,,974.947991643162,,,,,"","SRID=4326;LINESTRING(28.953927027432 40.2371987116859,28.9653526402404 40.2329244942247)"
61710,10408,10794,380000,3,,,Yeşihisar TM - Konya-4 TM EİH,,,223089.923575125,,,,,"","SRID=4326;LINESTRING(35.1339028050442 38.2432172749889,32.7508137008043 37.8415539974787)"
71999,11488,17100,380000,,,,İZMDC EİH,,,407.897221094671,,,,,"","SRID=4326;LINESTRING(26.9231614862976 38.7385371075052,26.9263194063477 38.7419992630049)"
33557,42338,59246,380000,6,,,,,,5589.68651062132,,,,,"","SRID=4326;LINESTRING(30.3841503083544 40.7424679253375,30.3181492831975 40.7426307817253)"
61716,44810,44811,380000,,,,,,,2378.27693686872,,,,,"","SRID=4326;LINESTRING(31.8627121709621 37.4595361180409,31.8524904661728 37.4409601103242)"
2446,58665,21893,380000,,,,,,,232.28057027696,,,,,"","SRID=4326;LINESTRING(26.9527945072247 38.7457238606978,26.9539072951584 38.7477028449597)"
57538,54269,42235,380000,3,,,Soma-B TES TM - Aliağa-2 TM EİH;Soma-B - Aliağa-2 TM EİH,,,82066.0851824463,,,,,"","SRID=4326;LINESTRING(27.6378230585572 39.1966933064314,26.9603758737041 38.7559559719295)"
7872,58108,21287,380000,,,,Afyon-2 TM - Denizli OSB TM EİH,,,2805.19411418797,,,,,"","SRID=4326;LINESTRING(29.2656630638922 37.798954589089,29.2384332906614 37.7996764770451)"
1319,55094,55648,380000,2,,,Gölbaşı TM - Kayseri Kapasitör SKM EİH,,,2762.35066103068,,,,,"","SRID=4326;LINESTRING(32.8188992233227 39.8048195102954,32.8451211246144 39.7878800741084)"
61467,42059,10621,380000,3,,,Kayseri Kapasitör SKM - Elbistan-A TS EİH;Kayseri SKM - Elbistan-A TES EİH;Kayseri Kapasitör SKM - Elbistan-A TS EİH;Kayseri Kapasitör SKM - Elbistan-A TS EİH;Kayseri Kapasitör SKM - Elbistan-A TS EİH;Kayseri Kapasitör SKM - Elbistan-A TS EİH;Kayseri Kapasitör SKM - Elbistan-A TS EİH;Kayseri Kapasitör SKM - Elbistan-A TS EİH,,,146221.687882622,,,,,"","SRID=4326;LINESTRING(37.025874945474 38.3495749893622,35.6686905763978 38.8591886057636)"
57508,54634,8158,380000,3,3,,Ürgüp SKM - Elbistan-A TS EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Ürgüp SKM - Elbistan-A TS EİH;Ürgüp SKM - Elbistan-A TS EİH;Ürgüp SKM - Elbistan-A TS EİH;Ürgüp SKM - Elbistan-A TS EİH;Ürgüp SKM - Elbistan-A TS EİH;Ürgüp SKM - Elbistan-A TS EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Sincan TM - Ürgüp SKM EİH;Ürgüp SKM - Elbistan-A TS EİH;Sincan TM - Ürgüp SKM EİH,,,265200.005834442,,,,,"","SRID=4326;LINESTRING(34.94110291954 38.6436037891183,32.5381117711587 39.9771240680495)"
10946,11747,54898,380000,2,,,Hasan Uğurlu HES TM - Çarşamba TM EİH,,,18474.8170883117,,,,,"","SRID=4326;LINESTRING(36.6471260866251 40.9391874136428,36.6706863391254 41.0959454273507)"
12804,45297,55137,380000;154000;380000;154000,9;3,3;2;3,,Yıldıztepe TM EİH,,,4031.92277402906,,,,,"","SRID=4326;LINESTRING(28.955024369507 41.0601012912183,28.9575423195352 41.0967340394446)"
26114,44843,24212,380000,3,,,Habibler TM - UNİMAR TM EİH,,,510.084639456669,,,,,"","SRID=4326;LINESTRING(27.9727625119929 41.0084876784956,27.9709543028932 41.0138557589939)"
10648,45106,55094,380000,3,3,,Gökçekaya HES TM - Sincan TM EİH,,,167620.73691674,,,,,"","SRID=4326;LINESTRING(31.0217644776655 40.0350376329122,32.8188992233227 39.8048195102954)"
15226,58108,29604,380000,3,,,Varsak TM - Denizli OSB TM EİH,,,148059.617059535,,,,,"","SRID=4326;LINESTRING(29.2656630638922 37.798954589089,30.6331838719303 37.1548944937968)"
28362,11411,58505,380000,,,,Hilvan TM EİH,,,1109.20992217206,,,,,"","SRID=4326;LINESTRING(38.9766961174069 37.5660894870133,38.9688289003755 37.5756402616978)"
25631,10621,24133,380000,,,,Kayseri Kapasitör SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH,,,106195.572777113,,,,,"","SRID=4326;LINESTRING(35.6686905763978 38.8591886057636,36.8852102245522 38.8410631820183)"
10310,42169,54488,380000,3,,,Kızıltepe-2 TM - Batman-2 TM EİH,,,104890.9256027,,,,,"","SRID=4326;LINESTRING(41.1468814083551 37.8526689196321,40.6384561221918 37.2424849003979)"
62149,20235,45107,380000,3,,,,,,87601.0010842583,,,,,"","SRID=4326;LINESTRING(28.9653526402404 40.2329244942247,29.446431586219 39.6182346002786)"
64922,45643,13054,380000,,,,Yedigöze HES TM - Adana TM EİH,,,35808.5706036467,,,,,"","SRID=4326;LINESTRING(35.5111069912806 37.1063538531248,35.4442723693548 37.3997617235758)"
61715,44810,44811,380000,,,,,,,2205.16484252389,,,,,"","SRID=4326;LINESTRING(31.8627121709621 37.4595361180409,31.8524904661728 37.4409601103242)"
24514,10247,23979,380000,3,,,Tepeören TM EİH,,,54609.3993190604,,,,,"","SRID=4326;LINESTRING(29.3994390896407 40.8929500205874,30.0108283481464 40.797073695773)"
1320,10621,55648,380000,2,,,Gölbaşı TM - Kayseri Kapasitör SKM EİH,,,268734.669546566,,,,,"","SRID=4326;LINESTRING(35.6686905763978 38.8591886057636,32.8451211246144 39.7878800741084)"
1323,10621,28628,380000,2,,,Gölbaşı TM - Kayseri Kapasitör SKM EİH;Gölbaşı TM - Kayseri Kap. hattı;Gölbaşı TM - Kayseri Kapasitör SKM EİH;Gölbaşı TM - Kayseri Kapasitör SKM EİH;Gölbaşı TM - Kayseri Kapasitör SKM EİH,,,270742.647289737,,,,,"","SRID=4326;LINESTRING(35.6686905763978 38.8591886057636,32.8276136223822 39.8007310962515)"
9350,59240,20964,380000,3,,,Adapazarı-2 DGKÇ- Osmanca TM EİH,,,7426.10064529134,,,,,"","SRID=4326;LINESTRING(30.335297043993 40.8262878657159,30.3876708824173 40.865800402865)"
1401,55435,21791,380000,3,,,Germencik TM - Yeniköy TES TM EİH,,,31256.1571692219,,,,,"","SRID=4326;LINESTRING(27.8783241792571 37.1379603506014,27.8127966008574 37.4130362966516)"
57338,42061,8019,380000,2,,,Andırın TM - Elbistan-B TS TM EİH,,,103620.727249018,,,,,"","SRID=4326;LINESTRING(36.9118099869754 38.3544742707161,36.3612521892074 37.5980129891907)"
524,59246,21664,380000,3,,,Adapazarı-3 TM - Tepeören TM EİH,,,62643.5054364101,,,,,"","SRID=4326;LINESTRING(30.3181492831975 40.7426307817253,29.5983641462236 40.8532631578364)"
9207,42233,54845,380000,3,,,Işıklar TM - Yatağan TM EİH,,,145626.110708597,,,,,"","SRID=4326;LINESTRING(27.2422557455036 38.418672749197,28.0995839920281 37.3288583476966)"
62233,7970,45180,380000,3,,,Sugözü TES TM - Erzin TM EİH,,,36804.4844729547,,,,,"","SRID=4326;LINESTRING(35.8787907984706 36.8324380082477,36.1916634538722 36.9906474041919)"
28363,14312,58505,380000,2,,,Atatürk HES TM - Karakaya HES TM EİH,,,73497.1341302857,,,,,"","SRID=4326;LINESTRING(38.3083893963386 37.4568257682811,38.9688289003755 37.5756402616978)"
9342,23979,20419,380000,3,,,Bursa DGKÇ TM EİH,,,118428.139863764,,,,,"","SRID=4326;LINESTRING(30.0108283481464 40.797073695773,29.0736651109884 40.2940756801221)"
9339,24211,54851,380000,3,,,,,,19754.1469567239,,,,,"","SRID=4326;LINESTRING(27.113884805718 41.4266778883202,27.3384045505555 41.48151023423)"
28064,45009,58453,380000,3,,,İÇDAŞ DGKÇ - Bandırma DGKÇ EİH,,,59455.0354868448,,,,,"","SRID=4326;LINESTRING(27.1287115052069 40.4412260459923,27.7527651086478 40.2521081057933)"
11429,54845,55306,380000,3,,,Yatağan TES TM - Kemerköy TM EİH,,,47325.7771151732,,,,,"","SRID=4326;LINESTRING(28.0995839920281 37.3288583476966,27.9009906814016 37.035189578367)"
6995,14312,29364,380000,3;6;3;3;3,,,Atatürk HES TM EİH,,,2835.87734318003,,,,,"","SRID=4326;LINESTRING(38.3083893963386 37.4568257682811,38.313000132126 37.4818086657026)"
25632,58017,24133,380000,,,,Kayseri SKM - Keban-2 TM EİH,,,73797.0966257683,,,,,"","SRID=4326;LINESTRING(37.6947454582998 38.7264983194029,36.8852102245522 38.8410631820183)"
9444,46226,55448,380000,3,,,Erzurum 2-3 TM - Özlüce HES TM EİH;Erzurum 3 TM - Özlüce HES TM EİH;Erzurum 3 TM - Özlüce HES TM EİH;Erzurum 2-3 TM - Özlüce HES TM EİH;Erzurum 2-3 TM - Özlüce HES TM EİH;Erzurum 2-3 TM - Özlüce HES TM EİH;Erzurum 2-3 TM - Özlüce HES TM EİH;Erzurum 2-3 TM - Özlüce HES TM EİH;Erzurum 2-3 TM - Özlüce HES TM EİH,,,202195.493742751,,,,,"","SRID=4326;LINESTRING(40.0792049045596 39.136249757094,41.1071723573 39.928952424871)"
25628,10621,58018,380000,,,,Kayseri SKM - Keban-2 TM EİH;Kayseri Kapasitör SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH;Kayseri SKM - Keban-2 TM EİH,,,106153.89160042,,,,,"","SRID=4326;LINESTRING(35.6686905763978 38.8591886057636,36.8850271478973 38.8404352795859)"
63761,8098,12226,380000,3,,,Karakaya HES TM - Diyarbakır-3 TM EİH,,,94374.3111278768,,,,,"","SRID=4326;LINESTRING(40.1424374206745 38.0243110682432,39.139577477756 38.2011526448115)"
