v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
24139,37.694429790309,38.7259497911754,joint,380000;154000;380000,,Kayseri SKM - Keban-2 TM EİH,,,SRID=4326;POINT(37.694429790309 38.7259497911754)
14394,28.6668789352557,41.0649390056606,substation,154000,,Esenyurt DGKÇS TM,,,SRID=4326;POINT(28.6668789352557 41.0649390056606)
52955,29.4144402220153,37.8513520266172,substation,154000,,Kaklık DGKÇS TM,,,SRID=4326;POINT(29.4144402220153 37.8513520266172)
48555,43.0385072008642,40.5803517042123,substation,154000,,Kars TM,,,SRID=4326;POINT(43.0385072008642 40.5803517042123)
42233,27.2422557455036,38.418672749197,substation,380000,,Işıklar TM,,,SRID=4326;POINT(27.2422557455036 38.418672749197)
59246,30.3181492831975,40.7426307817253,joint,380000,,Temelli TM - Adapazarı TM EİH;Adapazarı-3 TM - Tepeören TM EİH,,,SRID=4326;POINT(30.3181492831975 40.7426307817253)
45180,36.1916634538722,36.9906474041919,substation,,,Erzin TM,TEİAŞ,,SRID=4326;POINT(36.1916634538722 36.9906474041919)
21664,29.5983641462236,40.8532631578364,joint,380000,,Adapazarı-3 TM - Tepeören TM EİH,,,SRID=4326;POINT(29.5983641462236 40.8532631578364)
45664,31.4483279282615,41.2333350513819,substation,380000,,Ereğli-2 TM,,,SRID=4326;POINT(31.4483279282615 41.2333350513819)
20235,28.9653526402404,40.2329244942247,merge,380000;154000,,Bursa Sanayi 380kV TM;Bursa Sanayi 154kV TM,,,SRID=4326;POINT(28.9653526402404 40.2329244942247)
13733,27.0513148519355,40.3966932535657,substation,380000,,Bekirli TES TM,,,SRID=4326;POINT(27.0513148519355 40.3966932535657)
13375,28.953927027432,40.2371987116859,substation,154000,,,,,SRID=4326;POINT(28.953927027432 40.2371987116859)
7970,35.8787907984706,36.8324380082477,substation,380000,,Sugözü TES TM,ALARKO,,SRID=4326;POINT(35.8787907984706 36.8324380082477)
57020,27.5158375965647,37.8251436620583,joint,380000,,Germencik TM EİH;Germencik TM - Uzundere TM EİH;Germencik TM - Yeniköy TES TM EİH,,,SRID=4326;POINT(27.5158375965647 37.8251436620583)
9509,34.0878786481141,37.5403077438858,substation,380000,,Ereğli TM,,,SRID=4326;POINT(34.0878786481141 37.5403077438858)
