l_id,v_id_1,v_id_2,voltage,cables,wires,frequency,name,operator,ref,length_m,r_ohmkm,x_ohmkm,c_nfkm,i_th_max_a,from_relation,wkt_srid_4326
64824,54679,46913,330000,3,2,,,,,37646.3910391416,,,,,"","SRID=4326;LINESTRING(36.5270110078199 49.5842010736009,36.2465309010136 49.3663692493583)"
21195,23455,57339,330000,1,,50,,,,74.6240868220414,,,,,"","SRID=4326;LINESTRING(37.1042916255379 47.9881074120645,37.1032829971369 47.9880166865583)"
65683,14655,13547,330000,3,2,,,,,92515.8170868159,,,,,"","SRID=4326;LINESTRING(34.806497504716 50.9671496135781,33.7695210955653 50.6903713876309)"
71779,29297,16954,220000,3;6,,,ВЛ 220 кВ Луганская ТЭС - Сысоево.,,,127984.126210937,,,,,"","SRID=4326;LINESTRING(39.2678104816005 48.7484878725245,40.06990952225 49.3980494036587)"
11819,57380,20489,330000,3,2,,,,,3450.01831876412,,,,,"","SRID=4326;LINESTRING(34.6317546238089 47.5386877923706,34.6275457373793 47.5084294301087)"
10956,9891,21594,330000,3,2,50,,Черкасиобленерго,Крем ГЕС - Черкаси,78238.9610999611,,,,,"","SRID=4326;LINESTRING(31.9707783031476 49.3593303989364,31.4735247083859 49.7613337588427)"
12161,27356,20856,,,,,,,,4312.214332926,,,,,"","SRID=4326;LINESTRING(29.3487655820054 48.5501783095264,29.3923498629485 48.5232211069359)"
9360,47791,20608,330000,3,2,,,,,17730.6638073771,,,,,"","SRID=4326;LINESTRING(38.0902014136316 48.5587368348657,38.1989756275042 48.4658659879929)"
70968,46913,50401,330000,3,2,,,,,66093.4496854868,,,,,"","SRID=4326;LINESTRING(36.2465309010136 49.3663692493583,36.6011223999336 48.9200256749632)"
42800,66256,26503,220000,3,,,,,,38966.4147836374,,,,,"","SRID=4326;LINESTRING(31.8362476754533 47.0928283724803,31.3686009082158 46.9552820690452)"
57228,36950,42022,750000,3,,,,,,14.6155158858321,,,,,"","SRID=4326;LINESTRING(26.6479936514485 50.3018891431108,26.6449735029238 50.2962827672493)"
58486,42022,8789,750000,3,4,,ХАЭС — Западноукраинская,,,227754.068116932,,,,,"","SRID=4326;LINESTRING(26.6449735029238 50.2962827672493,24.250155312437 49.3866463059254)"
21186,23461,57338,330000,1,,50,,,,219.645526517831,,,,,"","SRID=4326;LINESTRING(37.1458297242756 47.9858276824625,37.1428693262567 47.9858404892001)"
21343,23494,57366,330000,2,,50,,,,2620.02207192101,,,,,"","SRID=4326;LINESTRING(35.550680314818 47.8742264143838,35.5853908580703 47.8772237940336)"
9420,30176,55063,220000,3;6;3;6,,,220 kV,,,17740.8004060774,,,,,"","SRID=4326;LINESTRING(38.4472867195204 48.5424318951693,38.5659161032864 48.654210590293)"
6540,66281,63276,330000,3,,,,,,265.964215691446,,,,,"","SRID=4326;LINESTRING(25.8898721101062 51.3200672821401,25.8897978164869 51.3224115728355)"
5268,47160,63145,220000,3,,,,,,3361.61594555162,,,,,"","SRID=4326;LINESTRING(24.7164216073251 51.1915668899134,24.7652496840055 51.1895190648661)"
67583,29190,48635,330000,3,2,,,,,78839.6064937509,,,,,"","SRID=4326;LINESTRING(33.4683626833809 51.7182335150599,33.1672080081646 51.1922606493874)"
26034,24196,58095,330000,3,2,,,,,12930.3861486958,,,,,"","SRID=4326;LINESTRING(36.4678930084119 49.8436079137506,36.4560483620647 49.7356655052927)"
