v_id,lon,lat,typ,voltage,frequency,name,operator,ref,wkt_srid_4326
45518,38.2154050764474,48.0664012417985,substation,330000;110000;10000,50,Харцизька-330,,,SRID=4326;POINT(38.2154050764474 48.0664012417985)
50562,30.6132295880043,48.1452885817562,substation,330000;150000;35000,50,Побузька-330,,,SRID=4326;POINT(30.6132295880043 48.1452885817562)
44043,25.9531576920634,48.249617142178,station,,,,,,SRID=4326;POINT(25.9531576920634 48.249617142178)
23463,37.0790982835632,47.9834456942662,joint,330000,50,,,,SRID=4326;POINT(37.0790982835632 47.9834456942662)
16441,24.3250583148645,50.102230103093,substation,,,,,,SRID=4326;POINT(24.3250583148645 50.102230103093)
15856,37.5003252904084,48.1074995414051,substation,,,,,,SRID=4326;POINT(37.5003252904084 48.1074995414051)
46715,24.650086535291,49.2084053878217,substation,,,,,,SRID=4326;POINT(24.650086535291 49.2084053878217)
55373,38.8745546000555,48.5651253220864,merge,110000;220000;110000;35000;110000;110000,50,Черкаська-220,,,SRID=4326;POINT(38.8745546000555 48.5651253220864)
62619,30.5861503382909,50.4964752309496,joint,,,,Київобленерго,,SRID=4326;POINT(30.5861503382909 50.4964752309496)
18248,24.1211227234448,49.4592972328903,substation,,,,,,SRID=4326;POINT(24.1211227234448 49.4592972328903)
54679,36.5270110078199,49.5842010736009,merge,330000,50,"ПС 330 кВ ""Зміївська ТЕС"";Зміївська ТЕС",Центренерго,,SRID=4326;POINT(36.5270110078199 49.5842010736009)
63321,26.2229211188511,50.6409264177084,joint,,,,,,SRID=4326;POINT(26.2229211188511 50.6409264177084)
10466,36.0110461635705,45.3407808770573,substation,220000;35000;10000,,ПС 220/35/10 кВ НС-3,,,SRID=4326;POINT(36.0110461635705 45.3407808770573)
57337,37.1397988846156,47.9861334800329,joint,330000,50,,,,SRID=4326;POINT(37.1397988846156 47.9861334800329)
49891,30.9317651048384,46.6994071911738,substation,,,Аджалик-330,,,SRID=4326;POINT(30.9317651048384 46.6994071911738)
42911,33.4007452988145,47.8110750871894,substation,330000;150000;35000;10000,50,Гірнича-330,,,SRID=4326;POINT(33.4007452988145 47.8110750871894)
53237,38.541611567222,48.4405937622433,station,,,,,,SRID=4326;POINT(38.541611567222 48.4405937622433)
30495,29.2127074677249,48.6902136928251,joint,330000,,,,,SRID=4326;POINT(29.2127074677249 48.6902136928251)
16906,38.5338792899999,48.01889637446,substation,330000;110000;10000,50,Південна-330,,,SRID=4326;POINT(38.5338792899999 48.01889637446)
47526,27.7437863241604,49.0831648874345,substation,,,Бар-330,,,SRID=4326;POINT(27.7437863241604 49.0831648874345)
54718,29.2197321920949,48.7044789164642,merge,,,Ладижинська ТЕС,,,SRID=4326;POINT(29.2197321920949 48.7044789164642)
19302,30.7650728816534,46.578035752899,substation,110000;6000,,Марсельська-110,,,SRID=4326;POINT(30.7650728816534 46.578035752899)
58096,36.4525276848032,49.7365647798749,joint,330000,,,,,SRID=4326;POINT(36.4525276848032 49.7365647798749)
15886,38.279729988286,48.4576943995193,substation,,,,,,SRID=4326;POINT(38.279729988286 48.4576943995193)
47160,24.7164216073251,51.1915668899134,substation,330000;220000;110000;35000,50,Ковель-330,,,SRID=4326;POINT(24.7164216073251 51.1915668899134)
47175,25.6339209854855,49.4900742220593,substation,,,Тернопіль,,,SRID=4326;POINT(25.6339209854855 49.4900742220593)
49006,34.0336899158021,48.4859364383353,substation,330000;150000;35000;6000,50,ВДГМК-330,,,SRID=4326;POINT(34.0336899158021 48.4859364383353)
57379,34.6553634274539,47.5917480189967,joint,330000,,,,Л-243;Л-244,SRID=4326;POINT(34.6553634274539 47.5917480189967)
14416,34.052275904324,45.7452475643676,substation,,,,,,SRID=4326;POINT(34.052275904324 45.7452475643676)
12781,24.3197516060512,49.0478090079809,substation,,,ГПП-1,,,SRID=4326;POINT(24.3197516060512 49.0478090079809)
42022,26.6449735029238,50.2962827672493,substation,750000;330000,,,,,SRID=4326;POINT(26.6449735029238 50.2962827672493)
57361,36.2255341024581,47.9059432919726,joint,330000,50,,,,SRID=4326;POINT(36.2255341024581 47.9059432919726)
64517,25.9561742459443,48.3117351598072,joint,,,,,,SRID=4326;POINT(25.9561742459443 48.3117351598072)
29074,37.8198148483946,47.9725543234465,joint,220000,,220 kV,,,SRID=4326;POINT(37.8198148483946 47.9725543234465)
28430,33.4883131585719,47.985221041205,joint,330000,,,,Л-207;Л-208,SRID=4326;POINT(33.4883131585719 47.985221041205)
66205,38.8797747740104,48.5893425803111,joint,220000,,,,,SRID=4326;POINT(38.8797747740104 48.5893425803111)
14023,29.4469597453808,45.9924469275525,station,,,,,,SRID=4326;POINT(29.4469597453808 45.9924469275525)
59099,26.0141321107712,48.2878617804894,joint,,,,,,SRID=4326;POINT(26.0141321107712 48.2878617804894)
23968,37.2307565410677,47.9885886934778,joint,330000,,,,,SRID=4326;POINT(37.2307565410677 47.9885886934778)
44213,35.1146989584976,48.4068109807026,substation,,,,,,SRID=4326;POINT(35.1146989584976 48.4068109807026)
67043,34.1508382126889,47.6315233719329,joint,,,,,,SRID=4326;POINT(34.1508382126889 47.6315233719329)
23455,37.1042916255379,47.9881074120645,joint,330000,50,,,,SRID=4326;POINT(37.1042916255379 47.9881074120645)
48995,36.064225434096,45.3303869932269,substation,,,,,,SRID=4326;POINT(36.064225434096 45.3303869932269)
32600,33.5809884986096,48.1332592008728,joint,,,,,,SRID=4326;POINT(33.5809884986096 48.1332592008728)
65937,35.8767016588017,45.3960456772089,joint,220000,,,,,SRID=4326;POINT(35.8767016588017 45.3960456772089)
13334,33.8379307126005,45.9183110478086,station,,,,,,SRID=4326;POINT(33.8379307126005 45.9183110478086)
49890,32.7228442565676,46.7946390095926,substation,330000;150000;35000,,Херсонська-330,"Херсонские МЭС Южной ЭС ДП НЭК ""Укрэнерго""",,SRID=4326;POINT(32.7228442565676 46.7946390095926)
51126,24.0923826309087,49.4571308312196,substation,,,,,,SRID=4326;POINT(24.0923826309087 49.4571308312196)
64930,30.6559213995812,50.5292388039449,joint,,,,,,SRID=4326;POINT(30.6559213995812 50.5292388039449)
44045,25.9289688418428,48.322222399841,sub_station,,,,,,SRID=4326;POINT(25.9289688418428 48.322222399841)
11612,34.8500739142541,50.8825638573599,substation,330000;110000;35000;6000,,Суми-330,,,SRID=4326;POINT(34.8500739142541 50.8825638573599)
